depth,transform,n_alleles,s2_molecule_mean,s2_well_mean,s2_total_mean,frac_across_well_mean,frac_across_well_median,frac_across_well_min,frac_across_well_max
100000,shifted_log_count,18,0.674836032102228,0.06019155681782667,0.7350275889200546,0.08170753701157231,0.07907050765925633,0.05490353092969792,0.11615312277718239
200000,shifted_log_count,18,0.6018884931570289,0.09711458994544173,0.6990030831024707,0.138489994017882,0.13433159491764393,0.1142247895163826,0.1940360414447484
400000,shifted_log_count,18,0.4908688303054357,0.14825480981723468,0.6391236401226705,0.2308364107726178,0.2300966011506348,0.1916554078328169,0.31696744876840316
