transform,depth,residual_k,n_alleles,pds_S,pds_B,pds_S_lo,pds_S_hi,pds_B_lo,pds_B_hi,top1_S,top1_B,delta,delta_lo,delta_hi,signflip_p,alleles_delta_gt0,sib_margin_S,sib_margin_B,sib_delta_exact_p,sib_exact_p_floor
freeman_tukey,250,0,18,0.6616830065359477,0.6326797385620915,0.629656862745098,0.6925653594771242,0.6013616557734205,0.6630998093681918,0.12916666666666668,0.12453703703703704,0.02900326797385624,-0.00103485838779953,0.06081222766884535,0.09319068093190681,12,0.003607447545275337,0.003936366872954756,0.9375,0.0625
freeman_tukey,500,0,18,0.7211601307189542,0.695942265795207,0.6843954248366013,0.7589869281045751,0.6594771241830066,0.7323270697167756,0.15694444444444444,0.14444444444444446,0.025217864923747293,-0.002559912854030499,0.052342047930283214,0.09779022097790221,11,0.0059702903102774475,0.0048769323582622025,0.25,0.0625
freeman_tukey,1000,0,18,0.798202614379085,0.7469771241830065,0.7631535947712419,0.8338235294117646,0.7007890795206971,0.7933006535947712,0.24305555555555555,0.18379629629629635,0.05122549019607842,0.03208061002178647,0.07355936819172107,0.00019998000199980003,17,0.008463698781579099,0.006141046225545942,0.125,0.0625
freeman_tukey,2000,0,18,0.8445261437908497,0.7812636165577342,0.8045751633986928,0.8839052287581699,0.7288364651416122,0.8325721677559911,0.33749999999999997,0.21898148148148147,0.06326252723311544,0.04183006535947711,0.08850830610021787,9.999000099990002e-05,18,0.012503416159005729,0.00856093664139557,0.0625,0.0625
freeman_tukey,5000,0,18,0.8944444444444444,0.8244825708061003,0.8576797385620915,0.9272896241830065,0.7689794389978215,0.8772337962962964,0.4541666666666666,0.3125,0.06996187363834416,0.04109477124183004,0.1058013344226579,9.999000099990002e-05,18,0.01813641581785886,0.012107821582157915,0.0625,0.0625
freeman_tukey,10000,0,18,0.9263888888888889,0.8492647058823529,0.894033905228758,0.955392156862745,0.7923468137254901,0.9014712690631811,0.5819444444444444,0.3740740740740741,0.07712418300653591,0.04512459150326795,0.1153880718954248,9.999000099990002e-05,16,0.025139857535481584,0.016829450265840016,0.0625,0.0625
freeman_tukey,20000,0,18,0.9576797385620915,0.870615468409586,0.92859272875817,0.980639297385621,0.8141060729847495,0.9208884803921568,0.7236111111111111,0.4319444444444444,0.08706427015250542,0.05215073529411761,0.12941244553376904,0.00019998000199980003,15,0.034677661011691216,0.022681377841424384,0.0625,0.0625
freeman_tukey,50000,0,18,0.988153594771242,0.9020424836601306,0.977203839869281,0.9970588235294119,0.852013888888889,0.9451252723311548,0.8999999999999999,0.5162037037037037,0.08611111111111108,0.04792892156862741,0.1309715413943353,9.999000099990002e-05,15,0.052864278967415176,0.03325949558601333,0.0625,0.0625
freeman_tukey,100000,0,18,0.998937908496732,0.9257897603485841,0.9977124183006537,0.9999183006535949,0.882951388888889,0.9616019880174294,0.9819444444444445,0.6046296296296296,0.07314814814814806,0.03741761982570802,0.1157972494553376,0.00019998000199980003,15,0.06729046542304178,0.041728875719369785,0.0625,0.0625
freeman_tukey,200000,0,18,1.0,0.9422657952069717,1.0,1.0,0.9075156590413943,0.9708605664488018,1.0,0.6513888888888889,0.0577342047930283,0.02913943355119827,0.09248434095860561,0.00019998000199980003,15,0.08041495161494365,0.04914012294756224,0.0625,0.0625
freeman_tukey,400000,0,18,1.0,0.9501361655773422,1.0,1.0,0.9198250272331155,0.974400871459695,1.0,0.6745370370370369,0.04986383442265785,0.02559912854030492,0.08017497276688443,9.999000099990002e-05,15,0.09007646826629688,0.05420891572656052,0.0625,0.0625
freeman_tukey,250,1,18,0.6323529411764706,0.6055283224400871,0.6020404411764706,0.663235294117647,0.5729302832244008,0.6384538398692811,0.125,0.09537037037037037,0.02682461873638345,0.0028322440087145896,0.05109000544662312,0.052394760523947606,13,0.004478528082969643,0.0026195340811460688,0.125,0.0625
freeman_tukey,500,1,18,0.6933823529411764,0.6601851851851852,0.650733251633987,0.7379105392156862,0.6174285130718953,0.7032135076252722,0.13194444444444445,0.13333333333333333,0.03319716775599129,0.004492783224400863,0.06119349128540309,0.0392960703929607,13,0.005249233004391983,0.003941686121243722,0.3125,0.0625
freeman_tukey,1000,1,18,0.7479575163398693,0.707516339869281,0.6964052287581699,0.7999999999999999,0.6496997549019607,0.7654139433551197,0.2138888888888889,0.1611111111111111,0.04044117647058823,0.017293028322440087,0.06710375816993465,0.004299570042995701,13,0.007175663610267784,0.005397710324879996,0.125,0.0625
freeman_tukey,2000,1,18,0.7982026143790849,0.730855119825708,0.7415829248366012,0.854579248366013,0.6590883714596949,0.8055562363834422,0.2805555555555556,0.2027777777777778,0.06734749455337694,0.04153050108932463,0.09428308823529413,9.999000099990002e-05,17,0.011178119858286008,0.007511919367937392,0.0625,0.0625
freeman_tukey,5000,1,18,0.8071895424836601,0.7269063180827887,0.7400285947712418,0.8738562091503267,0.639161220043573,0.817405364923747,0.3499999999999999,0.24861111111111114,0.08028322440087148,0.049400190631808255,0.1125830610021786,9.999000099990002e-05,16,0.01632620346247,0.011177470481628532,0.0625,0.0625
freeman_tukey,10000,1,18,0.8209967320261439,0.7158769063180829,0.749591503267974,0.8893811274509803,0.6139971405228757,0.8193103213507626,0.4138888888888889,0.275,0.105119825708061,0.06429602396514156,0.14722290305010896,9.999000099990002e-05,18,0.023124540124877774,0.015079015700249322,0.0625,0.0625
freeman_tukey,20000,1,18,0.835375816993464,0.7091230936819172,0.7602103758169935,0.9065359477124182,0.5987731481481481,0.8203982843137256,0.45694444444444443,0.30972222222222223,0.12625272331154677,0.07423679193899774,0.18112745098039207,0.00019998000199980003,17,0.032581523317138796,0.020625690779094534,0.0625,0.0625
