perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"ataluren|0.05",False,False,False,262.939,1789.39
"ataluren|0.5",True,False,False,371.231,3354
"ataluren|5.0",True,False,False,26.8277,1140.85
"atazanavir|0.05",True,False,False,175.283,2425.54
"atazanavir|0.5",True,False,False,-367.004,862.311
"atazanavir|5.0",True,False,False,-130.454,1720.15
"auranofin|0.05",False,False,False,-135.926,1169.59
"auranofin|0.5",True,False,False,-116.844,1090.4
"auranofin|5.0",True,False,False,2332.51,5281.16
"azd-7648|0.05",True,False,False,3330.4,9189.51
"azd-7648|0.5",True,False,False,-165.48,793.073
"azd-7648|5.0",True,False,False,-435.971,587.369
"azd-8055|0.05",True,False,False,193.603,3473.11
"azd-8055|0.5",True,False,False,178.649,1727.87
"azd-8055|5.0",True,False,False,362.454,3904.62
"azd1390|0.05",True,False,False,2983.28,7437.53
"azd1390|0.5",True,False,False,-95.4669,830.555
"azd1390|5.0",True,False,False,-301.535,601.358
"azd2858|0.05",False,False,False,-31.3752,1523.4
"azd2858|0.5",True,False,False,56.0589,1243.25
"azd2858|5.0",True,False,False,-435.299,447.618
"azithromycin|0.05",False,False,False,762.732,2633.25
"azithromycin|0.5",False,False,False,242.983,2084.77
"azithromycin|5.0",False,False,False,370.537,3289.66
"baicalin|0.05",True,False,False,19.8568,1061.31
"baicalin|0.5",True,False,False,-386.556,491.806
"baicalin|5.0",True,False,False,382.568,1968.61
"balsalazide|0.05",True,False,False,1890.36,5978.07
"balsalazide|0.5",True,False,False,929.886,1917.66
"balsalazide|5.0",True,False,False,1297.25,2237.04
"bay1125976|0.05",True,False,False,2121.98,6173.57
"bay1125976|0.5",True,False,False,-19.9664,1323.06
"bay1125976|5.0",True,False,False,1771.58,6351.1
"belinostat|0.05",True,False,False,-145.671,1340.09
"belinostat|0.5",True,False,False,-5.73374,2270.61
"belinostat|5.0",True,False,False,2642.61,4076.94
"belumosudil|0.05",False,False,False,406.447,3052.65
"belumosudil|0.5",True,False,False,182.196,2138.49
"belumosudil|5.0",True,False,False,-143.049,1422.51
"belzutifan|0.5",False,False,False,1325.15,4540.24
"belzutifan|5.0",True,False,False,-231.843,960.701
"bendamustine|0.05",False,False,False,418.619,2960.4
"bendamustine|0.5",True,False,False,601.427,3194.07
"bendamustine|5.0",True,False,False,52.0312,1778.43
"benproperine|0.05",True,False,False,544.895,1868.19
"benproperine|0.5",True,False,False,587.241,4233.28
"benproperine|5.0",True,False,False,5.96727,1229.87
"bentamapimod|0.05",True,False,False,414.562,3103.08
"bentamapimod|0.5",False,False,False,118.354,1466.3
"bentamapimod|5.0",True,False,False,-184.654,801.765
"benztropine|0.05",True,False,False,143.284,1922.88
"benztropine|0.5",False,False,False,1146.36,5432.17
"benztropine|5.0",False,False,False,-27.4976,897.632
"berbamine|0.05",True,False,False,-143.127,1019.79
"berbamine|0.5",True,False,False,546.469,5057.69
"berbamine|5.0",True,False,False,318.562,3356.73
"berberine|0.05",True,False,False,221.896,2234.73
"berberine|0.5",True,False,False,547.455,3038.33
"berberine|5.0",True,False,False,76.392,967.746
"bergenin|0.05",False,False,False,70.0934,1873.92
"bergenin|0.5",True,False,False,445.793,3457.97
"bergenin|5.0",False,False,False,805.656,3506.15
"bestatin|0.05",True,False,False,-17.687,1941.09
"bestatin|0.5",False,False,False,438.202,2306.58
"bestatin|5.0",True,False,False,729.245,3301.53
"betamethasone dipropionate|0.05",True,False,False,8.31508,1817.69
"betamethasone dipropionate|0.5",True,False,False,-340.039,470.506
"betamethasone dipropionate|5.0",True,False,False,473.032,2483.03
"bexarotene|0.05",True,False,False,1326.13,6277.57
"bexarotene|0.5",True,False,False,58.7349,1380.1
"bexarotene|5.0",True,False,False,1680.15,6822
"bi-3406|0.05",True,False,False,315.282,2078.65
"bi-3406|0.5",True,False,False,-110.888,1173.61
"bi-3406|5.0",True,False,False,73.8319,1747.33
"bi-78d3|0.05",True,False,False,504.582,4020.45
"bi-78d3|0.5",True,False,False,136.876,2618.37
"bi-78d3|5.0",True,False,False,691.335,2973.39
"bicalutamide|0.05",True,False,False,564.892,1721.81
"bicalutamide|0.5",True,False,False,-52.4253,2183.3
"bicalutamide|5.0",True,False,False,1397.78,4200.37
"bimatoprost|0.05",False,False,False,431.269,3657.25
"bimatoprost|0.5",True,False,False,478.503,5156.76
"bimatoprost|5.0",False,False,False,901.922,5183.05
"bimiralisib|0.05",True,False,False,441.27,2500.46
"bimiralisib|0.5",True,False,False,895.837,4353.45
"bimiralisib|5.0",False,False,False,612.687,4214.66
"binimetinib|0.05",True,False,False,-203.114,683.377
"binimetinib|0.5",False,False,False,30.7218,1259.72
"binimetinib|5.0",False,False,False,295.209,1682.17
"bisoprolol|0.05",True,False,False,453.094,2452.18
"bisoprolol|0.5",True,False,False,581.101,2670.39
"bisoprolol|5.0",True,False,False,67.034,3763.54
"bortezomib|0.05",True,False,False,2593.33,5860.98
"bortezomib|0.5",True,False,False,1170.84,3485.92
"bortezomib|5.0",True,False,False,1447.89,6465.39
"bosentan|0.05",True,False,False,-269.921,669.63
"bosentan|0.5",True,False,False,-27.9628,1844.31
"bosentan|5.0",False,False,False,-0.128246,1340.02
"brimonidine|0.05",True,False,False,102.918,1191.41
"brimonidine|0.5",True,False,False,-143.166,1321.8
"brimonidine|5.0",True,False,False,-227.537,507.157
"brivudine|0.05",True,False,False,246.354,2273.85
"brivudine|0.5",True,False,False,-208.748,1916.6
"brivudine|5.0",True,False,False,186.167,1837.34
"budesonide|0.05",True,False,False,2472.63,14968.8
"budesonide|0.5",True,False,False,2933.43,12525.3
"budesonide|5.0",True,False,False,4766.68,8546.56
"busulfan|0.05",True,False,False,877.229,5779.19
"busulfan|0.5",True,False,False,177.515,2926.93
"busulfan|5.0",True,False,False,1253.41,4039.86
"c-kit-in-1|0.05",True,False,False,409.664,2016.97
"c-kit-in-1|0.5",True,False,False,1317.18,3868.62
"c-kit-in-1|5.0",True,False,False,4.70191,1849.31
"cabozantinib|0.05",True,False,False,649.027,4658.14
"cabozantinib|0.5",True,False,False,504.584,3150.51
"cabozantinib|5.0",False,False,False,1247.5,6069.49
"canagliflozin|0.05",True,False,False,76.7431,1683.14
"canagliflozin|0.5",True,False,False,-241.115,638.118
"canagliflozin|5.0",False,False,False,-145.743,884.398
"capivasertib|0.05",True,False,False,2198.39,11308.4
"capivasertib|0.5",True,False,False,1647.27,7782.88
"capivasertib|5.0",True,False,False,-97.8752,1232.35
"capmatinib|0.05",True,False,False,357.8,3588.88
"capmatinib|0.5",True,False,False,623.331,2678.15
"capmatinib|5.0",True,False,False,-24.835,1963.2
"captopril|0.05",False,False,False,68.1282,1169.1
"captopril|0.5",True,False,False,-290.787,461.921
"captopril|5.0",True,False,False,-213.657,1213.05
"carbamazepine|0.05",False,False,False,423.483,3521.99
"carbamazepine|0.5",True,False,False,-5.22727,1199.51
"carbamazepine|5.0",True,False,False,495.461,3364.98
"carbidopa|0.05",False,False,False,447.536,4521.62
"carbidopa|0.5",True,False,False,1469.75,9610.96
"carbidopa|5.0",True,False,False,120.967,1934.38
"celecoxib|0.05",True,False,False,24.517,1073.68
"celecoxib|0.5",True,False,False,133.257,2162.68
"celecoxib|5.0",True,False,False,-231.164,1706.92
"cepharanthine|0.05",False,False,False,817.451,6310.63
"cepharanthine|0.5",True,False,False,65.9077,1415.84
"cepharanthine|5.0",False,False,False,222.598,2248.46
"chlorhexidine|0.05",True,False,False,2.07432,1449.54
"chlorhexidine|0.5",False,False,False,363.597,3151.58
"chlorhexidine|5.0",True,False,False,511.846,1890.77
"ciclopirox|0.05",True,False,False,-368.601,502.78
"ciclopirox|0.5",True,False,False,401.495,4185.95
"ciclopirox|5.0",True,False,False,438.486,4829.12
"cilostazol|0.05",True,False,False,639.265,6261.85
"cilostazol|0.5",True,False,False,478.819,2460.75
"cilostazol|5.0",True,False,False,1486.92,8306.3
"cinacalcet|0.05",True,False,False,-161.216,1140.28
"cinacalcet|0.5",True,False,False,2482.31,16923.5
"cinacalcet|5.0",True,False,False,431.103,3577.76
"citalopram|0.05",True,False,False,-393.498,580.977
"citalopram|0.5",True,False,False,723.315,4459.62
"citalopram|5.0",True,False,False,115.773,1229.87
"clobetasol propionate|0.05",True,False,False,299.627,3187.89
"clobetasol propionate|0.5",True,False,False,-497.237,450.863
"clobetasol propionate|5.0",True,False,False,191.16,2282.65
"clofarabine|0.05",False,False,False,80.1598,1764.92
"clofarabine|0.5",True,False,False,2615.69,5421.53
"clofarabine|5.0",False,False,False,770.995,3128.12
"clonidine|0.05",False,False,False,1553.93,8132.27
"clonidine|0.5",True,False,False,-170.302,1161.62
"clonidine|5.0",True,False,False,2871.14,11638.1
"clopidogrel|0.05",True,False,False,-137.994,920.17
"clopidogrel|0.5",True,False,False,-358.687,548.161
"clopidogrel|5.0",True,False,False,722.211,6313.66
"clotrimazole|0.05",False,False,False,365.044,2836.59
"clotrimazole|0.5",True,False,False,-233.785,727.966
"clotrimazole|5.0",False,False,False,-226.726,550.345
"cloxacillin|0.05",False,False,False,440.667,2150.36
"cloxacillin|0.5",True,False,False,-108.729,1038.5
"cloxacillin|5.0",False,False,False,161.137,1285.39
"cobimetinib|0.05",True,False,False,162.195,2746.81
"cobimetinib|0.5",True,False,False,695.789,3385.31
"cobimetinib|5.0",True,False,False,368.621,2066.02
"cp21r7|0.05",True,False,False,973.186,4562.53
"cp21r7|0.5",True,False,False,-325.16,904.22
"cp21r7|5.0",True,False,False,-500.422,447.876
"crizotinib|0.05",False,False,False,34.4077,1131.31
"crizotinib|0.5",True,False,False,1197.52,5281.58
"crizotinib|5.0",True,False,False,389.522,2380.98
"cyclosporin a|0.05",True,False,False,-292.649,860.658
"cyclosporin a|0.5",True,False,False,42.4323,1872.77
"cyclosporin a|5.0",True,False,False,-197.115,1005.07
"cysteamine|0.05",False,False,False,111.872,2088.49
"cysteamine|0.5",True,False,False,17.3927,1760.63
"cysteamine|5.0",False,False,False,1139.09,8922.44
"cytarabine|0.05",True,False,False,64.8114,2158.09
"cytarabine|0.5",True,False,False,-11.9444,1383.57
"cytarabine|5.0",True,False,False,-175.681,761.253
"dabrafenib|0.05",True,False,False,1356.82,5645.15
"dabrafenib|0.5",True,False,False,1073.27,4222.73
"dabrafenib|5.0",False,False,False,-66.0104,740.597
"daidzin|0.05",False,False,False,-6.43395,1852.68
"daidzin|0.5",False,False,False,193.834,1674.06
"daidzin|5.0",False,False,False,84.1686,2681.81
"dapagliflozin ((2s)-1,2-propanediol, hydrate)|0.05",True,False,False,38.8358,2040.27
"dapagliflozin ((2s)-1,2-propanediol, hydrate)|0.5",True,False,False,-319.198,522.861
"dapagliflozin ((2s)-1,2-propanediol, hydrate)|5.0",False,False,False,-338.574,806.837
"dapagliflozin|0.05",True,False,False,595.463,3692.89
"dapagliflozin|0.5",True,False,False,-204.276,779.821
"dapagliflozin|5.0",True,False,False,-164.337,1137.94
"daptomycin|0.05",True,False,False,1079.66,6040.38
"daptomycin|0.5",True,False,False,527.364,3902.59
"daptomycin|5.0",True,False,False,1572.53,5716.04
"darinaparsin|0.05",True,False,False,1439.68,6816.36
"darinaparsin|0.5",True,False,False,-249.227,802.651
"darinaparsin|5.0",False,False,False,1970.16,7226.59
"darolutamide|0.05",True,False,False,163.751,1938.16
"darolutamide|0.5",True,False,False,-55.1823,731.098
