perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Baricitinib (LY3009104, INCB028050) | 10000.0",False,False,False,3357.26,13642.1
"Belinostat (PXD101) | 10.0",False,False,False,-204.762,2008.78
"Belinostat (PXD101) | 100.0",True,False,False,756.536,3744.52
"Belinostat (PXD101) | 1000.0",False,False,False,-458.645,1815.29
"Bisindolylmaleimide IX (Ro 31-8220 Mesylate) | 10.0",False,False,False,2085.3,16689.5
"Bisindolylmaleimide IX (Ro 31-8220 Mesylate) | 100.0",False,False,False,1669.07,8097.89
"Bisindolylmaleimide IX (Ro 31-8220 Mesylate) | 1000.0",False,False,False,-929.585,913.71
"Bosutinib (SKI-606) | 10.0",False,False,False,-323.487,2412.44
"Busulfan  | 10.0",True,False,False,2783.39,8382.02
"Busulfan  | 100.0",False,False,False,304.98,2469.88
"Busulfan  | 1000.0",False,False,False,-92.9186,2242.47
"Busulfan  | 10000.0",False,False,False,517.838,3186.15
"CEP-33779 | 10.0",False,False,False,44.0935,3305.84
"CEP-33779 | 100.0",False,False,False,-708.303,1571.57
"CEP-33779 | 1000.0",False,False,False,72.6234,5083.18
"CEP-33779 | 10000.0",False,False,False,-720.751,1212.17
"CUDC-101 | 10.0",False,False,False,-374.984,2215.69
"CUDC-101 | 100.0",False,False,False,181.403,3987.88
"CYC116 | 10.0",False,False,False,311.987,3287.8
"CYC116 | 100.0",False,False,False,-701.176,981.908
"CYC116 | 1000.0",False,False,False,639.907,4668.26
"Capecitabine  | 10.0",False,False,False,1291.9,7835.57
"Capecitabine  | 100.0",False,False,False,845.124,7965.42
"Capecitabine  | 1000.0",False,False,False,137.93,3250.12
"Capecitabine  | 10000.0",False,False,False,153.106,2833.76
"Carmofur | 10.0",False,False,False,7420.98,28200.1
"Carmofur | 100.0",False,False,False,1296.73,4984.31
"Carmofur | 1000.0",False,False,False,-443.617,2042.62
"Carmofur | 10000.0",False,False,False,-404.14,2304.89
"Cediranib (AZD2171) | 10.0",True,False,False,327.114,3001.04
"Cediranib (AZD2171) | 100.0",True,False,False,-451.185,1992.59
"Cediranib (AZD2171) | 1000.0",False,False,False,1848.45,13044.6
"Celecoxib | 10.0",False,False,False,664.581,4569.92
"Celecoxib | 100.0",False,False,False,349.259,4120.99
"Celecoxib | 1000.0",False,False,False,-264.806,4707.8
