perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"BRD2",False,False,False,63.3867,1120.02
"BRD7",False,False,False,53.9719,905.274
"BRMS1L",False,False,False,-213.52,450.365
"BRPF1",True,False,False,-55.1281,1127.18
"BSX",False,False,False,-235.771,340.505
"BTBD1",False,False,False,627.784,2440.89
"C14orf28",True,False,False,-187.048,434.493
"C19orf25",False,False,False,-141.829,694.792
"C1GALT1",False,False,False,198.016,1216.89
"C1R",False,False,False,-91.7915,758.469
"C1orf35",True,False,False,-24.7805,860.551
"C1orf56",False,False,False,-88.4057,729.33
"C22orf23",False,False,False,-155.679,617.896
"C2orf15",True,False,False,-1.61741,781.427
"C4orf48",True,False,False,7.14019,822.831
"C8orf48",False,False,False,-13.197,1358.99
"CA2",False,False,False,145.82,863.462
"CABLES1",True,False,False,-149.673,739.463
"CACNG7",False,False,False,160.434,1187.63
"CACUL1",True,False,False,-121.679,544.583
"CADM4",False,False,False,56.6135,931.73
"CALCOCO1",False,False,False,-21.4701,1069.17
"CAMTA2",False,False,False,11.2717,764.925
"CAND1",False,False,False,-176.424,692.915
"CAP1",False,False,False,18.8316,782.83
"CAPNS1",True,False,False,-114.824,920.895
"CAPRIN2",True,False,False,172.701,1148.35
"CARD10",False,False,False,1.19465,970.198
"CARNS1",False,False,False,-86.287,718.72
"CASKIN2",False,False,False,-142.615,798.726
"CBFB",True,False,False,100.245,798.881
"CBLN1",False,False,False,299.625,1190
"CBX3",False,False,False,-76.1799,707.606
"CBY3",False,False,False,-248.255,591.321
"CCDC112",True,False,False,7.06379,902.586
"CCDC115",False,False,False,236.021,900.946
"CCDC142",False,False,False,-197.993,559.243
"CCDC153",False,False,False,19.4154,813.107
"CCDC24",True,False,False,-203.447,563.622
"CCDC25",False,False,False,-17.8366,330.767
"CCDC88A",False,False,False,220.951,1849.04
"CCDC97",False,False,False,336.666,1655.97
"CCER2",False,False,False,-88.6481,583.741
"CCNC",True,False,False,117.799,1138.09
"CCND1",False,False,False,-38.0746,833.523
"CCNE2",False,False,False,27.2236,1045.72
"CCNG2",True,False,False,175.492,987.993
"CCNI2",True,False,False,-171.855,561.464
"CCNL2",False,False,False,-74.2937,741.891
"CCNQ",False,False,False,342.445,1345.34
"CCNYL2",True,False,False,122.918,892.126
"CD24",False,False,False,53.0649,710.462
"CD2BP2",False,False,False,7.46208,1070.1
"CD47",True,False,False,-68.6217,798.859
"CD59",False,False,False,47.7245,1495.25
"CD63",False,False,False,115.421,1659.42
"CD68",False,False,False,-51.5883,1077.93
"CDC42SE1",False,False,False,246.284,1266
"CDH3",False,False,False,-45.3761,634.543
"CDKN3",True,False,False,32.9324,932.883
"CDV3",False,False,False,-28.0234,652.878
"CDY1",False,False,False,61.8468,895.962
"CELF2",False,False,False,-0.755571,656.971
"CELSR1",True,False,False,-88.3137,650.532
"CENPT",False,False,False,-75.2092,566.165
"CEP68",False,False,False,-72.1706,602.174
"CEP85",False,False,False,80.5947,921.04
"CERS2",False,False,False,150.912,745.666
"CFAP126",True,False,False,-190.514,257.077
"CFAP298",False,False,False,50.1422,1401.65
"CFAP36",False,False,False,-46.0105,907.999
"CFAP418",False,False,False,-1.12342,793.404
"CFAP97",True,False,False,-136.722,570.648
"CHCHD1",True,False,False,61.3987,992.722
"CHID1",False,False,False,86.8953,885.166
"CHMP4A",False,False,False,-192.662,450.739
"CHN1",False,False,False,-115.969,561.666
"CHRAC1",False,False,False,-123.071,661.283
"CHST15",True,False,False,-122.319,490.62
"CHST4",False,False,False,115.917,1644.91
"CIB1",False,False,False,-194.64,524.199
"CITED2",False,False,False,-79.0937,1050.28
"CKAP2",False,False,False,121.728,1044.57
"CKAP4",True,False,False,-113.929,815.737
"CKB",False,False,False,282.071,2423.65
"CLDN15",True,False,False,79.2947,984.336
"CLDN7",True,False,False,-120.438,709.485
"CLDN9",False,False,False,-125.146,755.399
"CLP1",False,False,False,-63.2509,602.491
"CLPSL2",True,False,False,-172.725,521.927
"CMTM6",False,False,False,16.7308,986.149
"CMTR2",False,False,False,265.241,1402.23
"CNN3",False,False,False,-153.975,294.01
"CNOT11",False,False,False,727.959,1758.56
"CNOT6L",False,False,False,169.13,1622.56
"CNPY2",True,False,False,18.9763,895.362
"COA3",True,False,False,16.9035,994.907
"COA4",False,False,False,32.825,1126.33
"COA5",True,False,False,194.656,1121.68
"COIL",False,False,False,35.4147,1238.42
"COL6A1",False,False,False,440.263,2774.87
"COL7A1",True,False,False,238.11,1578.03
"COPG2",False,False,False,-275.062,351.914
"COQ4",True,False,False,29.2663,923.145
"COTL1",True,False,False,-3.12325,1369.45
"COX11",True,False,False,-62.1512,483.526
"COX7A2L",True,False,False,-94.6361,784.308
"CPHXL2",False,False,False,-15.538,452.635
"CPS1",False,False,False,212.744,2038.72
"CR2",False,False,False,-141.806,542.437
"CRB2",False,False,False,373.274,1638.03
"CREB3L4",False,False,False,348.37,2000.57
"CREBBP",False,False,False,25.7029,768.19
"CRELD1",False,False,False,-51.6614,912.684
"CRIM1",True,False,False,198.077,1226.21
"CRK",False,False,False,453.728,1561.63
"CRMP1",False,False,False,-48.3493,691.87
"CRX",False,False,False,-104.661,524.056
"CRYGD",False,False,False,180.474,1187.23
"CSDC2",True,False,False,-45.5639,1393.15
"CSNK1G2",False,False,False,-204.6,707.149
"CSRNP2",True,False,False,-103.429,606.344
"CSTB",True,False,False,-52.3333,656.59
"CTAGE1",False,False,False,-245.42,437.513
"CTBP2",True,False,False,-180.519,467.543
"CTDSP1",False,False,False,187.834,1564.47
"CTSB",False,False,False,-37.5212,964.856
"CTSH",True,False,False,116.031,1090.97
"CTSV",True,False,False,112.533,1310.25
"CWF19L1",True,False,False,-8.04775,865.422
"CX3CL1",False,False,False,107.011,1156.58
"CYB561D2",False,False,False,-194.178,898.673
"CYB5R1",False,False,False,-149.072,511.952
"CYB5R3",False,False,False,-118.439,345.695
"CYC1",False,False,False,129.794,869.686
"CYP2U1",True,False,False,0.927138,720.724
"CYRIB",False,False,False,-161.877,834.023
"CYTH2",False,False,False,168.128,1437.92
"CYYR1",False,False,False,32.3787,906.365
"DACH2",True,False,False,-223.272,606.406
"DAGLB",False,False,False,75.1457,953.394
"DBF4B",False,False,False,-67.787,513.61
"DCP2",True,False,False,77.1154,1128.83
"DDX19B",False,False,False,233.313,1872.19
"DDX25",True,False,False,-150.035,689.71
"DDX3Y",False,False,False,-234.304,378.283
"DDX50",False,False,False,68.9998,1631.79
"DEDD2",False,False,False,287.307,1083.43
"DENND10",True,False,False,-164.135,408.606
"DFFA",False,False,False,-236.266,419.964
"DGCR2",False,False,False,11.0392,855.001
"DGKQ",False,False,False,-4.27588,718.148
"DGUOK",False,False,False,-22.7567,713.699
"DHODH",True,False,False,-42.2581,733.977
"DHTKD1",False,False,False,-188.532,430.797
"DHX32",False,False,False,-195.789,510.464
"DICER1",False,False,False,-143.147,786.425
"DIS3L",True,False,False,-116.829,994.116
"DIS3L2",True,False,False,-133.802,749.363
"DLC1",False,False,False,35.8013,1022.83
"DLX5",False,False,False,-140.543,442.481
"DLX6",False,False,False,-61.4363,855.567
"DMRTB1",False,False,False,13.4058,547.781
"DNAAF3",False,False,False,39.7552,1026.45
"DNAJC21",False,False,False,-110.233,716.232
"DNAJC4",False,False,False,64.8029,599.423
"DNASE1L1",False,False,False,-155.456,868.799
"DNASE2B",False,False,False,63.6335,1030.55
"DNPH1",True,False,False,-156.633,723.113
"DPF1",False,False,False,-41.0341,675.107
"DPM3",False,False,False,-201.921,471.591
"DPRX",False,False,False,-179.929,404.966
"DPY19L3",False,False,False,97.1271,940.322
"DPYSL4",False,False,False,-72.8354,744.547
"DSP",False,False,False,-205.005,330.426
"DTD1",False,False,False,87.4771,1340.91
"DUSP14",True,False,False,-149.692,446.275
"DUSP2",False,False,False,372.549,1275.83
"DUSP23",True,False,False,-159.787,567.363
"DUXB",False,False,False,22.1939,819.674
"DVL2",True,False,False,-91.9617,539.669
"DYNC1LI2",False,False,False,219.316,1159.95
"DYNLL2",False,False,False,-206.723,618.143
"DYNLT1",True,False,False,-119.149,735.002
"EBF3",False,False,False,-184.823,439.817
"EBLN2",False,False,False,76.2542,1661.82
"ECE1",False,False,False,-82.959,424.269
"ECHDC1",False,False,False,-161.663,378.231
"ECHDC3",True,False,False,-41.8508,696.242
"ECSIT",False,False,False,412.034,2301.35
"EDEM3",False,False,False,-31.698,792.872
"EEF1A2",False,False,False,272.887,1994.54
"EEF1B2",False,False,False,48.8754,1492.51
"EFNA2",False,False,False,-83.2948,794.569
"EFNB3",True,False,False,-118.772,786.114
"EHBP1L1",True,False,False,-50.4865,1308.76
"EHD1",False,False,False,18.9845,701.083
"EI24",False,False,False,47.4937,837.731
"EIF1AY",False,False,False,159.885,1575.43
"ELK4",False,False,False,-81.9281,479.586
"ELL3",False,False,False,-1.4626,963.521
"EMILIN1",False,False,False,351.714,2385.01
"EML3",False,False,False,-138.457,780.688
"EMP2",False,False,False,-115.529,1612.6
"ENDOG",False,False,False,179.903,2213.28
"ENG",True,False,False,-108.082,801.97
"ENHO",True,False,False,434.93,1552.71
"ENKD1",True,False,False,-123.388,576.475
"ENSG00000170846",True,False,False,608.037,2348.85
"ENTPD8",True,False,False,-80.0545,686.743
"EP300",True,False,False,-11.797,670.175
"EPC1",False,False,False,-32.4975,591.031
"EPHX1",False,False,False,148.696,1413.15
"EPN2",False,False,False,31.7494,1671.85
"EPS8L1",True,False,False,91.0057,1436.74
"ERFL",True,False,False,-46.058,1003.28
"ERG",True,False,False,-10.4724,955.489
"ERLEC1",False,False,False,174.229,1020.61
"ERLIN2",True,False,False,-12.6899,1143.88
"ERV3-1",False,False,False,84.6868,1087.23
"ESX1",False,False,False,-109.779,650.586
"ETV2",False,False,False,128.869,1254.22
"ETV3L",False,False,False,-125.156,814.487
"ETV6",False,False,False,-12.3115,653.916
"EVX2",False,False,False,-85.3947,288.425
"EXT2",True,False,False,79.8272,1390.54
"EXTL2",True,False,False,37.9079,775.738
"EYA4",True,False,False,-41.167,532.453
"F2R",True,False,False,-248.978,304.909
"FAAP20",True,False,False,94.7484,1241.79
"FAM110A",True,False,False,245.736,1276.92
"FAM117A",False,False,False,106.603,1108.84
"FAM124A",True,False,False,-139.875,429.051
