bin,mean_predicted,observed_rate,lo,hi,n
0,0.22324048645093217,0.13725490196078433,0.08355290247590341,0.21728911049442212,102
1,0.5174129328778831,0.504950495049505,0.40906319132283897,0.6004750072548249,101
2,0.8098961302667206,0.8725490196078431,0.794071763006565,0.9239823858347225,102
3,0.9697331117783957,0.9900990099009901,0.9460315253904806,0.998250133798238,101
4,0.9989160477464111,1.0,0.9637042523922542,1.0,102
