dataset,fpr,tpr,threshold
Replogle,0.0,0.0,1.7514572855418595
Replogle,0.0,0.001221001221001221,0.7514572855418595
Replogle,0.0,0.3785103785103785,0.5308117922449332
Replogle,0.0009871668311944718,0.3785103785103785,0.5299825339498275
Replogle,0.0009871668311944718,0.518925518925519,0.4944957933994642
Replogle,0.0019743336623889436,0.518925518925519,0.493075833723438
Replogle,0.0019743336623889436,0.6019536019536019,0.47195332857970174
Replogle,0.0029615004935834156,0.6019536019536019,0.47186352792674163
Replogle,0.0029615004935834156,0.612942612942613,0.46868229771291864
Replogle,0.003948667324777887,0.612942612942613,0.4673364795828349
Replogle,0.003948667324777887,0.6141636141636142,0.46675278529654746
Replogle,0.004935834155972359,0.6141636141636142,0.46675164522804546
Replogle,0.004935834155972359,0.6385836385836385,0.4609016230443408
Replogle,0.005923000987166831,0.6385836385836385,0.4604909046655735
Replogle,0.005923000987166831,0.6446886446886447,0.45779361364994975
Replogle,0.007897334649555774,0.6446886446886447,0.4563629625256213
Replogle,0.007897334649555774,0.6507936507936508,0.45527684558918136
Replogle,0.008884501480750246,0.6507936507936508,0.4551096442665872
Replogle,0.008884501480750246,0.6532356532356532,0.4541558152826268
Replogle,0.009871668311944718,0.6532356532356532,0.4540273378088883
Replogle,0.009871668311944718,0.663003663003663,0.4513502420925777
Replogle,0.01085883514313919,0.663003663003663,0.4513463869734124
Replogle,0.01085883514313919,0.6678876678876678,0.449885697147076
Replogle,0.012833168805528134,0.6678876678876678,0.4493806634084906
Replogle,0.012833168805528134,0.6800976800976801,0.4472007484180154
Replogle,0.014807502467917079,0.6800976800976801,0.44655346329630546
Replogle,0.014807502467917079,0.6923076923076923,0.4430853376873171
Replogle,0.01579466929911155,0.6923076923076923,0.4425094641822015
Replogle,0.01579466929911155,0.6947496947496947,0.4423681360814089
Replogle,0.01678183613030602,0.6947496947496947,0.4423290851673493
Replogle,0.01678183613030602,0.7191697191697192,0.4357306656603647
Replogle,0.018756169792694965,0.7191697191697192,0.4353804544847879
Replogle,0.018756169792694965,0.7252747252747253,0.4336060625029715
Replogle,0.019743336623889437,0.7252747252747253,0.4335836807143678
Replogle,0.019743336623889437,0.7264957264957265,0.43354068065895723
Replogle,0.02073050345508391,0.7264957264957265,0.4335125133603061
Replogle,0.02073050345508391,0.7289377289377289,0.4334252086762529
Replogle,0.02171767028627838,0.7289377289377289,0.4331787358119806
Replogle,0.02171767028627838,0.7301587301587301,0.43289810169969883
Replogle,0.024679170779861797,0.7301587301587301,0.43208441497995326
Replogle,0.024679170779861797,0.7313797313797313,0.43175080010694417
Replogle,0.02566633761105627,0.7313797313797313,0.4312137751699735
Replogle,0.02566633761105627,0.7326007326007326,0.43107494979241984
Replogle,0.02665350444225074,0.7326007326007326,0.43091806486372297
Replogle,0.02665350444225074,0.7435897435897436,0.428404571870054
Replogle,0.028627838104639685,0.7435897435897436,0.4281964266524341
Replogle,0.028627838104639685,0.7655677655677655,0.4229244077673081
Replogle,0.029615004935834157,0.7655677655677655,0.42195280161479853
Replogle,0.029615004935834157,0.7667887667887668,0.421887971847497
Replogle,0.03060217176702863,0.7667887667887668,0.4217478605617577
Replogle,0.03060217176702863,0.7692307692307693,0.4210874885949748
Replogle,0.03257650542941757,0.7692307692307693,0.4209166887023925
Replogle,0.03257650542941757,0.7728937728937729,0.42063057642741547
Replogle,0.03356367226061204,0.7728937728937729,0.4205908352111328
Replogle,0.03356367226061204,0.7741147741147741,0.420462583402949
Replogle,0.034550839091806514,0.7741147741147741,0.42039323067886225
Replogle,0.034550839091806514,0.7765567765567766,0.42026419061579245
Replogle,0.035538005923000986,0.7765567765567766,0.4191807578624232
Replogle,0.035538005923000986,0.7875457875457875,0.4144805061569555
Replogle,0.03751233958538993,0.7875457875457875,0.41366621709723767
Replogle,0.03751233958538993,0.7887667887667887,0.4130987953165901
Replogle,0.0384995064165844,0.7887667887667887,0.4130206324031029
Replogle,0.0384995064165844,0.7912087912087912,0.4129225024147856
Replogle,0.039486673247778874,0.7912087912087912,0.4129037026593488
Replogle,0.039486673247778874,0.7924297924297924,0.41267599029310004
Replogle,0.04244817374136229,0.7924297924297924,0.4124906473901437
Replogle,0.04244817374136229,0.8034188034188035,0.40956694731028986
Replogle,0.044422507403751234,0.8034188034188035,0.40850590581734486
Replogle,0.044422507403751234,0.8083028083028083,0.4074134596593333
Replogle,0.04639684106614018,0.8083028083028083,0.40675748144132085
Replogle,0.04639684106614018,0.8095238095238095,0.40658193502209256
Replogle,0.04837117472852912,0.8095238095238095,0.40630264406470706
Replogle,0.04837117472852912,0.8131868131868132,0.4053273952073677
Replogle,0.049358341559723594,0.8131868131868132,0.4051143771132984
Replogle,0.049358341559723594,0.8144078144078144,0.4050624534308605
Replogle,0.05330700888450148,0.8144078144078144,0.4043873963494495
Replogle,0.05330700888450148,0.8156288156288156,0.4043731535961246
Replogle,0.0562685093780849,0.8156288156288156,0.4040355273879715
Replogle,0.0562685093780849,0.8168498168498168,0.4039641102662726
Replogle,0.05725567620927937,0.8168498168498168,0.4039256573739754
Replogle,0.05725567620927937,0.8205128205128205,0.40278781539716374
Replogle,0.06219151036525173,0.8205128205128205,0.4020755941422658
Replogle,0.06219151036525173,0.8217338217338217,0.40201350268326247
Replogle,0.0631786771964462,0.8217338217338217,0.4019696884345867
Replogle,0.0631786771964462,0.8241758241758241,0.40157658806151003
Replogle,0.06416584402764067,0.8241758241758241,0.40013074124861653
Replogle,0.06416584402764067,0.8253968253968254,0.4000942349696678
Replogle,0.06614017769002961,0.8253968253968254,0.39914121725192997
Replogle,0.06614017769002961,0.8290598290598291,0.39872768081728643
Replogle,0.06712734452122408,0.8290598290598291,0.39824016856052596
Replogle,0.06712734452122408,0.8302808302808303,0.39736856755157635
Replogle,0.06811451135241856,0.8302808302808303,0.3971902095849372
Replogle,0.06811451135241856,0.8315018315018315,0.3957862692756901
Replogle,0.06910167818361303,0.8315018315018315,0.39566989207530207
Replogle,0.06910167818361303,0.8327228327228328,0.3954797703142989
Replogle,0.07206317867719644,0.8327228327228328,0.39380993140823994
Replogle,0.07206317867719644,0.833943833943834,0.39361756024646477
Replogle,0.07305034550839092,0.833943833943834,0.39334790142044224
Replogle,0.07305034550839092,0.8351648351648352,0.3931262529121261
Replogle,0.07502467917077986,0.8351648351648352,0.3927927807949744
