dataset,resource,configuration,src,arm,perturbation_class,modality,n,n_units_total,n_units_eligible,n_units_scored,n_units_cell_capped,n_cells_scored,n_control_cells,detectable_fraction,identifiable_fraction,jointly_evaluable_fraction,replicate_ceiling,rho2,rho2_nn_median,rho2_nn_floor_limited,p_correct_order,verdict,depth,n_seeds,n_boot,seed,n_components,reduce_path,demonstration_subsample,demonstration_note,correction_note,source_file
frangieh_rna_Coculture,Frangieh 2021,Co-culture / RNA,v2,additional,genetic,RNA,159,248,159,159,0,73114,18334,0.09433962264150944,0.0,0.0,0.5824974126263833,0.27331371302151947,0.18928480645501364,False,0.214,not detectable,50,8,1000,0,50,pca,False,,,results/resolution_panel_v2/panel/frangieh_rna_Coculture.json
papalexi_rna,Papalexi 2021 ECCITE,RNA,v2,additional,genetic,RNA,23,25,23,23,0,20729,2386,0.08695652173913043,0.0,0.0,0.7067687747035573,1.7587729574910842,0.18392468060218803,False,0.615,not detectable,50,8,1000,0,50,pca,False,,,results/resolution_panel_v2/panel/papalexi_rna.json
sciplex3_A549_24h,sci-Plex 3,A549 / 24.0,v2,additional,chemical,RNA,495,752,495,495,0,162171,3773,0.07272727272727272,0.0,0.0,0.659305095489306,0.5807693822861157,0.05100391124246851,False,0.991,not detectable,50,8,1000,0,50,rsvd,False,,,results/resolution_panel_v2/panel/sciplex3_A549_24h.json
frangieh_protein_Coculture,Frangieh 2021,Co-culture / protein,v2,additional,genetic,protein,159,248,159,159,0,73114,18334,0.06918238993710692,0.0,0.0,0.5752477907809888,0.30700333503926125,0.12324232282210285,False,0.067,not detectable,50,8,1000,0,50,none,False,,,results/resolution_panel_v2/panel/frangieh_protein_Coculture.json
sciplex3_MCF7_24h,sci-Plex 3,MCF7 / 24.0,v2,additional,chemical,RNA,735,752,735,735,0,344862,7786,0.053061224489795916,0.0,0.0,0.6535943669020742,0.8058664287924847,0.06907420433489625,False,0.003,not detectable,50,8,1000,0,50,rsvd,False,,,results/resolution_panel_v2/panel/sciplex3_MCF7_24h.json
sciplex3_K562_24h,sci-Plex 3,K562 / 24.0,v2,additional,chemical,RNA,590,752,590,590,0,173652,3935,0.05254237288135593,0.0,0.0,0.6149894967051308,0.7049011014522939,0.10551177566096594,False,0.814,not detectable,50,8,1000,0,50,rsvd,False,,,results/resolution_panel_v2/panel/sciplex3_K562_24h.json
frangieh_rna_IFNg,Frangieh 2021,IFNγ / RNA,v2,additional,genetic,RNA,179,248,179,179,0,87590,23910,0.0335195530726257,0.0,0.0,0.6121123909359111,0.3832169096961106,0.22791225845210838,False,0.0,not detectable,50,8,1000,0,50,pca,False,,,results/resolution_panel_v2/panel/frangieh_rna_IFNg.json
perturbmulti_rna,PerturbMulti,RNA,v2,additional,genetic,RNA,110,202,110,110,0,79179,4161,0.02727272727272727,0.03636363636363636,0.02727272727272727,0.7135633861551293,0.3929838689656248,0.13132613457491565,False,0.994,not detectable,50,8,1000,0,50,pca,False,,,results/resolution_panel_v2/panel/perturbmulti_rna.json
frangieh_rna_Control,Frangieh 2021,Control / RNA,v2,additional,genetic,RNA,87,248,87,87,0,57627,15361,0.022988505747126436,0.011494252873563218,0.0,0.5689655172413793,0.2507455097929822,0.062306385290209806,False,0.03,not detectable,50,8,1000,0,50,pca,False,,,results/resolution_panel_v2/panel/frangieh_rna_Control.json
xatlas_hek293t,X-Atlas/Orion,whole resource,v2,additional,genetic,RNA,1500,1500,1500,1500,0,761697,218838,0.014,0.0,0.0,0.5823397264843229,0.32150448491920464,0.15301776569236894,False,0.999,not detectable,50,8,1000,0,50,rsvd,False,,,results/resolution_panel_v2/panel/xatlas_hek293t.json
frangieh_protein_Control,Frangieh 2021,Control / protein,v2,additional,genetic,protein,87,248,87,87,0,57627,15361,0.011494252873563218,0.0,0.0,0.5381582464581662,0.15010250777258644,-0.2060729428729251,True,0.001,not detectable,50,8,1000,0,50,none,False,,,results/resolution_panel_v2/panel/frangieh_protein_Control.json
xatlas_hct116,X-Atlas/Orion,whole resource,v2,additional,genetic,RNA,1500,1500,1500,1500,0,634070,165777,0.008,0.0,0.0,0.543985212363798,0.12957266383606367,0.042821540340991025,False,0.931,not detectable,50,8,1000,0,50,rsvd,False,,,results/resolution_panel_v2/panel/xatlas_hct116.json
frangieh_protein_IFNg,Frangieh 2021,IFNγ / protein,v2,additional,genetic,protein,179,248,179,179,0,87590,23910,0.0,0.0,0.0,0.5574312660849915,0.015863564945765445,-0.9350045232558397,True,0.027,not detectable,50,8,1000,0,50,none,False,,,results/resolution_panel_v2/panel/frangieh_protein_IFNg.json
