dataset_name,n_perturbations,detectable_fraction,identifiable_fraction,replicate_ceiling,rho2,rho2_nn_median,p_correct_order,smallest_resolved_gap,verdict
mcfarland,10,0.9,0.2,0.9277777777777778,15.039714076644975,1.87306681429908,0.418,0.040000000000000036,detectable
tahoe100m,7,0.7142857142857143,0.42857142857142855,0.9285714285714286,1.389286254131106,0.6140799152365104,0.106,0.07500000000000007,detectable
norman2019,195,0.6871794871794872,0.005128205128205128,0.8975713719270421,5.947260807581858,0.7108467641514068,0.997,0.03499999999999992,detectable
replogle,414,0.5120772946859904,0.014492753623188406,0.8648264144763775,6.894495702910165,0.5256118711948438,0.959,0.03499999999999992,detectable
adamson2016,94,0.4787234042553192,0.031914893617021274,0.8509637382749943,4.657357310246475,0.5481471366042009,0.974,0.03499999999999992,not detectable
vcc_training,139,0.2589928057553957,0.04316546762589928,0.8055208007507038,2.295253651961661,0.4259592185712756,0.903,0.03499999999999992,not detectable
