source,gene,depth_m,n_var,eta2,rho2,rho2_nn_median,rho2_nn_median_lo,rho2_nn_median_hi,rho2_nn_geomean,frac_above_noise,nn_nonpositive,ceiling_pds,p_correct,p_winner,eff_rank,rho2_target,rank,hetero
dialled,TP53,25,20,37.666,0.05003,0.00396,-0.00474,0.02104,,0.54,9,0.5837,0.36,0.548,1.95,0.05,5.0,2.0
dialled,TP53,25,20,37.666,0.20062,0.01397,0.00135,0.04031,,0.6,5,0.6371,0.294,0.332,1.95,0.2,5.0,2.0
dialled,TP53,25,20,37.666,0.60066,0.02437,0.00801,0.04053,,0.645,5,0.6721,0.746,0.984,1.95,0.6,5.0,2.0
dialled,TP53,25,20,37.666,1.99786,0.04765,0.02018,0.0923,,0.725,4,0.7242,0.774,0.774,1.95,2.0,5.0,2.0
dialled,TP53,25,20,37.666,5.98532,0.08208,0.01593,0.24389,,0.805,4,0.7779,0.834,0.842,1.95,6.0,5.0,2.0
dialled,TP53,25,20,37.666,-0.00102,0.00211,-0.00865,0.00656,,0.45,9,0.4953,0.0,0.0,,0.0,3.0,0.0
dialled,TP53,25,20,37.666,0.04936,0.02474,0.00831,0.04254,,0.635,4,0.6308,0.866,0.96,2.96,0.05,3.0,0.0
dialled,TP53,25,20,37.666,0.19927,0.05012,0.03427,0.07984,,0.705,1,0.8242,0.994,0.996,2.96,0.2,3.0,0.0
dialled,TP53,25,20,37.666,0.59831,0.11302,0.08753,0.1251,0.10134,0.81,0,0.9147,0.84,0.942,2.96,0.6,3.0,0.0
dialled,TP53,25,20,37.666,1.99359,0.29806,0.25299,0.32167,0.291069,0.965,0,0.9566,0.0,0.0,2.96,2.0,3.0,0.0
dialled,TP53,25,20,37.666,5.97792,0.84687,0.75705,0.93671,0.833713,0.99,0,0.9763,0.0,0.0,2.96,6.0,3.0,0.0
dialled,TP53,25,20,37.666,-0.00102,0.00211,-0.00865,0.00656,,0.45,9,0.4953,0.0,0.0,,0.0,3.0,1.0
dialled,TP53,25,20,37.666,0.04935,0.0171,0.00482,0.03522,,0.565,5,0.6108,0.28,0.3,2.35,0.05,3.0,1.0
dialled,TP53,25,20,37.666,0.19925,0.04426,0.01545,0.08139,,0.705,3,0.7124,0.04,0.314,2.35,0.2,3.0,1.0
dialled,TP53,25,20,37.666,0.59828,0.0755,0.03941,0.13763,,0.785,2,0.7795,0.612,0.97,2.35,0.6,3.0,1.0
dialled,TP53,25,20,37.666,1.99353,0.16407,0.08456,0.35077,0.16671,0.855,0,0.8408,0.082,0.192,2.35,2.0,3.0,1.0
dialled,TP53,25,20,37.666,5.97782,0.40251,0.16526,1.01622,0.482172,0.945,0,0.8805,0.796,0.824,2.35,6.0,3.0,1.0
dialled,TP53,25,20,37.666,-0.00102,0.00211,-0.00865,0.00656,,0.45,9,0.4953,0.0,0.0,,0.0,3.0,2.0
dialled,TP53,25,20,37.666,0.04963,0.00931,-0.00118,0.03304,,0.53,6,0.5787,0.358,0.57,1.75,0.05,3.0,2.0
dialled,TP53,25,20,37.666,0.19982,0.01755,0.00117,0.04892,,0.61,5,0.6421,0.052,0.052,1.75,0.2,3.0,2.0
dialled,TP53,25,20,37.666,0.59927,0.03116,0.00815,0.07305,,0.65,5,0.6808,0.738,0.75,1.75,0.6,3.0,2.0
dialled,TP53,25,20,37.666,1.99533,0.04951,0.01295,0.12726,,0.725,5,0.7147,0.124,0.616,1.75,2.0,3.0,2.0
dialled,TP53,25,20,37.666,5.98094,0.08476,0.0243,0.26056,,0.785,3,0.7611,0.46,0.538,1.75,6.0,3.0,2.0
dialled,TP53,25,20,37.666,-0.00102,0.00211,-0.00865,0.00656,,0.45,9,0.4953,0.0,0.0,,0.0,2.0,0.0
dialled,TP53,25,20,37.666,0.04719,0.01981,0.00485,0.03139,,0.59,4,0.6255,0.83,0.994,1.99,0.05,2.0,0.0
dialled,TP53,25,20,37.666,0.19493,0.03556,0.02792,0.0584,0.031069,0.69,0,0.7845,0.898,0.998,1.99,0.2,2.0,0.0
dialled,TP53,25,20,37.666,0.59079,0.08263,0.05013,0.09252,,0.725,1,0.8626,0.71,0.714,1.99,0.6,2.0,0.0
dialled,TP53,25,20,37.666,1.97985,0.16197,0.13599,0.19345,0.153883,0.905,0,0.9039,0.174,0.486,1.99,2.0,2.0,0.0
dialled,TP53,25,20,37.666,5.95414,0.41976,0.33676,0.51887,0.42474,0.95,0,0.93,0.0,0.0,1.99,6.0,2.0,0.0
dialled,TP53,25,20,37.666,-0.00102,0.00211,-0.00865,0.00656,,0.45,9,0.4953,0.0,0.0,,0.0,2.0,1.0
dialled,TP53,25,20,37.666,0.04795,0.01867,0.00815,0.0407,,0.6,5,0.6071,0.506,0.59,1.77,0.05,2.0,1.0
