gene,arm,method,K,n_var,pds,ci_lo,ci_hi
JAK1,hard,KNN-theta,25,26,0.40836,0.32068,0.49402
JAK1,hard,KNN-theta,26,26,0.41351,0.32853,0.49788
JAK1,hard,Lasso-esm,5,23,0.27367,0.19903,0.35425
JAK1,hard,Lasso-esm,10,23,0.32601,0.2405,0.41274
JAK1,hard,Lasso-esm,20,23,0.427,0.33864,0.5196
JAK1,hard,Lasso-esm,25,23,0.44925,0.35976,0.53552
JAK1,hard,Lasso-esm,26,23,0.45424,0.36836,0.53951
JAK1,hard,Lasso-esm+theta,5,23,0.32464,0.25059,0.39771
JAK1,hard,Lasso-esm+theta,10,23,0.33983,0.26467,0.41412
JAK1,hard,Lasso-esm+theta,20,23,0.41378,0.33219,0.49275
JAK1,hard,Lasso-esm+theta,25,23,0.42987,0.34861,0.50642
JAK1,hard,Lasso-esm+theta,26,23,0.43307,0.35532,0.50745
JAK1,hard,Lasso-theta,5,26,0.33616,0.26506,0.40903
JAK1,hard,Lasso-theta,10,26,0.32925,0.25294,0.4034
JAK1,hard,Lasso-theta,20,26,0.37638,0.2926,0.46479
JAK1,hard,Lasso-theta,25,26,0.39179,0.30327,0.47536
JAK1,hard,Lasso-theta,26,26,0.39716,0.3085,0.47496
JAK1,hard,MLP-esm,5,23,0.29601,0.22221,0.37838
JAK1,hard,MLP-esm,10,23,0.33961,0.25758,0.43194
JAK1,hard,MLP-esm,20,23,0.43713,0.3445,0.53369
JAK1,hard,MLP-esm,25,23,0.447,0.36004,0.53152
JAK1,hard,MLP-esm,26,23,0.45184,0.36126,0.53627
JAK1,hard,MLP-esm+theta,5,23,0.38913,0.30398,0.48116
JAK1,hard,MLP-esm+theta,10,23,0.3869,0.30354,0.46594
JAK1,hard,MLP-esm+theta,20,23,0.43118,0.33912,0.51564
JAK1,hard,MLP-esm+theta,25,23,0.42794,0.34772,0.5121
JAK1,hard,MLP-esm+theta,26,23,0.4305,0.35061,0.51064
JAK1,hard,MLP-theta,5,26,0.34204,0.26923,0.41677
JAK1,hard,MLP-theta,10,26,0.34117,0.26557,0.42004
JAK1,hard,MLP-theta,20,26,0.3913,0.30031,0.47473
JAK1,hard,MLP-theta,25,26,0.39316,0.30849,0.48489
JAK1,hard,MLP-theta,26,26,0.39631,0.30605,0.47749
JAK1,hard,PerturbNet,5,21,0.1996,0.10675,0.30476
JAK1,hard,PerturbNet,10,21,0.29882,0.18835,0.42176
JAK1,hard,PerturbNet,20,21,0.45661,0.33873,0.57241
JAK1,hard,PerturbNet,25,21,0.53483,0.42506,0.64994
JAK1,hard,PerturbNet,26,21,0.54919,0.43875,0.65761
JAK1,hard,RF-esm,5,23,0.29903,0.21872,0.38176
JAK1,hard,RF-esm,10,23,0.3442,0.25445,0.43039
JAK1,hard,RF-esm,20,23,0.43472,0.34128,0.52645
JAK1,hard,RF-esm,25,23,0.44473,0.35723,0.53002
JAK1,hard,RF-esm,26,23,0.44905,0.35737,0.53289
JAK1,hard,RF-esm+theta,5,23,0.30483,0.22198,0.38808
JAK1,hard,RF-esm+theta,10,23,0.34667,0.25875,0.43525
JAK1,hard,RF-esm+theta,20,23,0.4371,0.34386,0.5282
JAK1,hard,RF-esm+theta,25,23,0.44651,0.36029,0.53109
JAK1,hard,RF-esm+theta,26,23,0.45045,0.36315,0.54187
JAK1,hard,RF-theta,5,26,0.32949,0.26201,0.396
JAK1,hard,RF-theta,10,26,0.3386,0.26447,0.40723
JAK1,hard,RF-theta,20,26,0.40306,0.31609,0.49038
JAK1,hard,RF-theta,25,26,0.41407,0.32855,0.4964
JAK1,hard,RF-theta,26,26,0.4187,0.33567,0.49744
JAK1,hard,Ridge-esm,5,23,0.29686,0.21823,0.38056
JAK1,hard,Ridge-esm,10,23,0.34114,0.25906,0.42862
JAK1,hard,Ridge-esm,20,23,0.42966,0.33632,0.51956
JAK1,hard,Ridge-esm,25,23,0.45076,0.36376,0.53813
JAK1,hard,Ridge-esm,26,23,0.45587,0.369,0.53754
JAK1,hard,Ridge-esm+theta,5,23,0.33877,0.2635,0.41402
JAK1,hard,Ridge-esm+theta,10,23,0.33765,0.26518,0.41087
JAK1,hard,Ridge-esm+theta,20,23,0.39508,0.30943,0.48369
JAK1,hard,Ridge-esm+theta,25,23,0.40862,0.32477,0.49382
JAK1,hard,Ridge-esm+theta,26,23,0.41242,0.3363,0.49329
JAK1,hard,Ridge-theta,5,26,0.32153,0.24775,0.39081
JAK1,hard,Ridge-theta,10,26,0.31443,0.24255,0.38799
JAK1,hard,Ridge-theta,20,26,0.36499,0.27651,0.45115
JAK1,hard,Ridge-theta,25,26,0.38044,0.29482,0.46501
JAK1,hard,Ridge-theta,26,26,0.38604,0.29834,0.46764
JAK1,hard,WT-null,5,26,0.5,0.5,0.5
JAK1,hard,WT-null,10,26,0.5,0.5,0.5
JAK1,hard,WT-null,20,26,0.5,0.5,0.5
JAK1,hard,WT-null,25,26,0.5,0.5,0.5
JAK1,hard,WT-null,26,26,0.5,0.5,0.5
JAK1,hard,scGen,5,26,0.23873,0.18114,0.2961
JAK1,hard,scGen,10,26,0.26365,0.19828,0.32864
JAK1,hard,scGen,20,26,0.36901,0.28625,0.44987
JAK1,hard,scGen,25,26,0.39801,0.31381,0.47146
JAK1,hard,scGen,26,26,0.40468,0.31971,0.47955
JAK1,hard,split-half measurement,5,26,0.44487,0.28075,0.60643
JAK1,hard,split-half measurement,10,26,0.57265,0.42868,0.71712
JAK1,hard,split-half measurement,20,26,0.74669,0.64588,0.84305
JAK1,hard,split-half measurement,25,26,0.79882,0.72051,0.87222
JAK1,hard,split-half measurement,26,26,0.80687,0.72728,0.88104
JAK1,random,Biolord,5,26,0.48124,0.37657,0.58457
JAK1,random,Biolord,10,26,0.48225,0.37514,0.59549
JAK1,random,Biolord,20,26,0.48231,0.38043,0.5844
JAK1,random,Biolord,25,26,0.48236,0.38,0.5876
JAK1,random,Biolord,26,26,0.4825,0.37204,0.58467
JAK1,random,CellFlow,5,21,0.52323,0.40939,0.63536
JAK1,random,CellFlow,10,21,0.52581,0.40684,0.63612
JAK1,random,CellFlow,20,21,0.52458,0.41005,0.636
JAK1,random,CellFlow,25,21,0.5246,0.41002,0.63687
JAK1,random,CellFlow,26,21,0.52468,0.4102,0.64351
JAK1,random,GBoost-esm,5,23,0.44318,0.35057,0.52832
JAK1,random,GBoost-esm,10,23,0.44295,0.3563,0.53277
JAK1,random,GBoost-esm,20,23,0.44388,0.35524,0.53001
JAK1,random,GBoost-esm,25,23,0.44414,0.35693,0.53506
JAK1,random,GBoost-esm,26,23,0.44389,0.35635,0.53369
JAK1,random,GBoost-esm+theta,5,23,0.45455,0.36529,0.54129
JAK1,random,GBoost-esm+theta,10,23,0.4559,0.37382,0.53504
JAK1,random,GBoost-esm+theta,20,23,0.45561,0.37106,0.53791
JAK1,random,GBoost-esm+theta,25,23,0.45526,0.3721,0.54011
JAK1,random,GBoost-esm+theta,26,23,0.45539,0.36995,0.54157
JAK1,random,GBoost-theta,5,26,0.42993,0.34799,0.5091
JAK1,random,GBoost-theta,10,26,0.4303,0.34728,0.5111
JAK1,random,GBoost-theta,20,26,0.43026,0.34468,0.50969
JAK1,random,GBoost-theta,25,26,0.43052,0.34931,0.51094
JAK1,random,GBoost-theta,26,26,0.43041,0.34427,0.51187
JAK1,random,Gene-mean,5,26,0.41002,0.31697,0.49688
JAK1,random,Gene-mean,10,26,0.40997,0.32506,0.49839
JAK1,random,Gene-mean,20,26,0.40919,0.3158,0.49581
JAK1,random,Gene-mean,25,26,0.40931,0.32254,0.49489
JAK1,random,Gene-mean,26,26,0.40938,0.31948,0.49317
JAK1,random,KNN-esm,5,23,0.43958,0.35085,0.52146
JAK1,random,KNN-esm,10,23,0.44042,0.35124,0.52723
JAK1,random,KNN-esm,20,23,0.44107,0.35194,0.52468
JAK1,random,KNN-esm,25,23,0.44091,0.34731,0.52455
JAK1,random,KNN-esm,26,23,0.44071,0.34896,0.52516
JAK1,random,KNN-esm+theta,5,23,0.44136,0.35584,0.52494
JAK1,random,KNN-esm+theta,10,23,0.44177,0.35579,0.52088
JAK1,random,KNN-esm+theta,20,23,0.44171,0.35975,0.5253
JAK1,random,KNN-esm+theta,25,23,0.44201,0.35226,0.52049
JAK1,random,KNN-esm+theta,26,23,0.44183,0.35348,0.51894
JAK1,random,KNN-theta,5,26,0.4086,0.31781,0.49314
JAK1,random,KNN-theta,10,26,0.40869,0.31808,0.49056
JAK1,random,KNN-theta,20,26,0.40879,0.32445,0.49314
JAK1,random,KNN-theta,25,26,0.40865,0.32381,0.49024
JAK1,random,KNN-theta,26,26,0.40863,0.32512,0.49072
JAK1,random,Lasso-esm,5,23,0.44417,0.36368,0.52581
JAK1,random,Lasso-esm,10,23,0.44427,0.36252,0.52872
JAK1,random,Lasso-esm,20,23,0.44361,0.35782,0.52605
JAK1,random,Lasso-esm,25,23,0.44372,0.35439,0.53142
JAK1,random,Lasso-esm,26,23,0.4437,0.35896,0.52753
JAK1,random,Lasso-esm+theta,5,23,0.4252,0.34528,0.50058
JAK1,random,Lasso-esm+theta,10,23,0.42675,0.34382,0.50821
JAK1,random,Lasso-esm+theta,20,23,0.4269,0.34825,0.50457
JAK1,random,Lasso-esm+theta,25,23,0.42687,0.34905,0.50631
JAK1,random,Lasso-esm+theta,26,23,0.42674,0.3477,0.50138
JAK1,random,Lasso-theta,5,26,0.38625,0.30396,0.46845
JAK1,random,Lasso-theta,10,26,0.38611,0.29869,0.47488
JAK1,random,Lasso-theta,20,26,0.38625,0.29941,0.46735
JAK1,random,Lasso-theta,25,26,0.38616,0.30036,0.46874
JAK1,random,Lasso-theta,26,26,0.38615,0.30085,0.47217
JAK1,random,MLP-esm,5,23,0.44687,0.35936,0.53122
JAK1,random,MLP-esm,10,23,0.44753,0.36303,0.53384
JAK1,random,MLP-esm,20,23,0.44671,0.35869,0.53004
JAK1,random,MLP-esm,25,23,0.44638,0.35429,0.53112
JAK1,random,MLP-esm,26,23,0.44648,0.35693,0.5259
JAK1,random,MLP-esm+theta,5,23,0.43091,0.3429,0.51413
JAK1,random,MLP-esm+theta,10,23,0.43162,0.34687,0.51318
JAK1,random,MLP-esm+theta,20,23,0.43061,0.34983,0.50924
JAK1,random,MLP-esm+theta,25,23,0.43109,0.34581,0.51881
JAK1,random,MLP-esm+theta,26,23,0.43106,0.34474,0.51784
JAK1,random,MLP-theta,5,26,0.39611,0.30673,0.47906
JAK1,random,MLP-theta,10,26,0.39475,0.31174,0.48121
JAK1,random,MLP-theta,20,26,0.39488,0.3057,0.47452
JAK1,random,MLP-theta,25,26,0.39501,0.30716,0.48193
JAK1,random,MLP-theta,26,26,0.39499,0.30909,0.4826
JAK1,random,PerturbNet,5,21,0.53826,0.43194,0.64733
JAK1,random,PerturbNet,10,21,0.53764,0.42119,0.64974
JAK1,random,PerturbNet,20,21,0.53774,0.42573,0.65072
JAK1,random,PerturbNet,25,21,0.53756,0.42823,0.64685
JAK1,random,PerturbNet,26,21,0.53761,0.41955,0.6494
JAK1,random,RF-esm,5,23,0.43908,0.34848,0.52151
JAK1,random,RF-esm,10,23,0.43905,0.35069,0.52495
JAK1,random,RF-esm,20,23,0.43896,0.35596,0.52721
JAK1,random,RF-esm,25,23,0.43908,0.34876,0.52387
JAK1,random,RF-esm,26,23,0.43892,0.34809,0.52223
JAK1,random,RF-esm+theta,5,23,0.44013,0.35682,0.52508
JAK1,random,RF-esm+theta,10,23,0.44001,0.35083,0.52396
JAK1,random,RF-esm+theta,20,23,0.4405,0.35421,0.52366
JAK1,random,RF-esm+theta,25,23,0.44105,0.35222,0.52699
JAK1,random,RF-esm+theta,26,23,0.441,0.34933,0.52547
JAK1,random,RF-theta,5,26,0.40885,0.32412,0.4877
JAK1,random,RF-theta,10,26,0.40974,0.32456,0.49401
JAK1,random,RF-theta,20,26,0.40982,0.31931,0.49088
JAK1,random,RF-theta,25,26,0.4096,0.32469,0.49029
JAK1,random,RF-theta,26,26,0.40956,0.32144,0.49168
JAK1,random,Ridge-esm,5,23,0.44804,0.36047,0.52779
JAK1,random,Ridge-esm,10,23,0.44914,0.36354,0.53421
JAK1,random,Ridge-esm,20,23,0.44838,0.36062,0.53484
JAK1,random,Ridge-esm,25,23,0.44851,0.36295,0.53149
JAK1,random,Ridge-esm,26,23,0.44856,0.36508,0.53443
JAK1,random,Ridge-esm+theta,5,23,0.40167,0.32406,0.48122
JAK1,random,Ridge-esm+theta,10,23,0.40315,0.3244,0.48198
JAK1,random,Ridge-esm+theta,20,23,0.40309,0.32029,0.48209
JAK1,random,Ridge-esm+theta,25,23,0.4029,0.32517,0.48404
JAK1,random,Ridge-esm+theta,26,23,0.40299,0.32337,0.48249
JAK1,random,Ridge-theta,5,26,0.37955,0.29674,0.46103
JAK1,random,Ridge-theta,10,26,0.3792,0.2897,0.46145
JAK1,random,Ridge-theta,20,26,0.37928,0.2966,0.46046
JAK1,random,Ridge-theta,25,26,0.37913,0.30008,0.45973
JAK1,random,Ridge-theta,26,26,0.37912,0.29594,0.46333
JAK1,random,WT-null,5,26,0.5,0.5,0.5
JAK1,random,WT-null,10,26,0.5,0.5,0.5
JAK1,random,WT-null,20,26,0.5,0.5,0.5
JAK1,random,WT-null,25,26,0.5,0.5,0.5
JAK1,random,WT-null,26,26,0.5,0.5,0.5
JAK1,random,scGen,5,26,0.39464,0.31668,0.47108
JAK1,random,scGen,10,26,0.3949,0.31228,0.46736
JAK1,random,scGen,20,26,0.39522,0.31497,0.47071
JAK1,random,scGen,25,26,0.39478,0.31892,0.46895
JAK1,random,scGen,26,26,0.39488,0.31852,0.46695
JAK1,random,split-half measurement,5,26,0.80788,0.7334,0.87994
JAK1,random,split-half measurement,10,26,0.80713,0.72951,0.87576
JAK1,random,split-half measurement,20,26,0.80728,0.72676,0.88103
JAK1,random,split-half measurement,25,26,0.80674,0.72783,0.87555
JAK1,random,split-half measurement,26,26,0.80687,0.72615,0.88205
KRAS,hard,Biolord,5,51,0.44899,0.40212,0.49516
KRAS,hard,Biolord,10,51,0.46264,0.41641,0.5089
KRAS,hard,Biolord,20,51,0.46387,0.42024,0.51099
KRAS,hard,Biolord,25,51,0.46512,0.41867,0.51108
KRAS,hard,Biolord,45,51,0.47203,0.42565,0.51719
KRAS,hard,Biolord,90,51,0.50566,0.46298,0.54939
KRAS,hard,Biolord,92,51,0.51017,0.46638,0.55354
KRAS,hard,CellFlow,5,51,0.48829,0.43322,0.54124
KRAS,hard,CellFlow,10,51,0.49366,0.43576,0.5498
KRAS,hard,CellFlow,20,51,0.49805,0.4434,0.55306
KRAS,hard,CellFlow,25,51,0.4999,0.44604,0.55478
KRAS,hard,CellFlow,45,51,0.50705,0.44881,0.56284
KRAS,hard,CellFlow,90,51,0.5168,0.46049,0.57312
KRAS,hard,CellFlow,92,51,0.51908,0.46292,0.57475
KRAS,hard,GBoost-esm,5,51,0.41705,0.36372,0.47011
KRAS,hard,GBoost-esm,10,51,0.42957,0.37681,0.48329
KRAS,hard,GBoost-esm,20,51,0.43804,0.38523,0.48949
KRAS,hard,GBoost-esm,25,51,0.44096,0.38305,0.49786
KRAS,hard,GBoost-esm,45,51,0.45153,0.39802,0.50765
KRAS,hard,GBoost-esm,90,51,0.49105,0.43868,0.54432
KRAS,hard,GBoost-esm,92,51,0.49714,0.445,0.54941
KRAS,hard,GBoost-esm+theta,5,51,0.4165,0.3634,0.46803
KRAS,hard,GBoost-esm+theta,10,51,0.42899,0.3756,0.48319
KRAS,hard,GBoost-esm+theta,20,51,0.43683,0.38472,0.49166
KRAS,hard,GBoost-esm+theta,25,51,0.43819,0.38388,0.49003
KRAS,hard,GBoost-esm+theta,45,51,0.44942,0.39583,0.50505
KRAS,hard,GBoost-esm+theta,90,51,0.48897,0.43741,0.53984
KRAS,hard,GBoost-esm+theta,92,51,0.49508,0.44458,0.54639
KRAS,hard,GBoost-theta,5,51,0.42473,0.3697,0.48241
KRAS,hard,GBoost-theta,10,51,0.43183,0.37896,0.48831
KRAS,hard,GBoost-theta,20,51,0.44075,0.38848,0.49598
KRAS,hard,GBoost-theta,25,51,0.44199,0.38742,0.49635
KRAS,hard,GBoost-theta,45,51,0.45376,0.40004,0.50564
KRAS,hard,GBoost-theta,90,51,0.4972,0.44495,0.54693
KRAS,hard,GBoost-theta,92,51,0.50236,0.4503,0.55335
KRAS,hard,Gene-mean,5,51,0.42949,0.37213,0.48617
KRAS,hard,Gene-mean,10,51,0.44225,0.38587,0.49957
KRAS,hard,Gene-mean,20,51,0.44876,0.3909,0.50527
KRAS,hard,Gene-mean,25,51,0.44962,0.39277,0.50766
KRAS,hard,Gene-mean,45,51,0.45949,0.40183,0.51635
KRAS,hard,Gene-mean,90,51,0.49998,0.44529,0.55448
KRAS,hard,Gene-mean,92,51,0.5067,0.45006,0.56071
KRAS,hard,KNN-esm,5,51,0.4162,0.36331,0.47516
KRAS,hard,KNN-esm,10,51,0.42664,0.37364,0.48138
KRAS,hard,KNN-esm,20,51,0.43928,0.38665,0.49405
KRAS,hard,KNN-esm,25,51,0.44212,0.38917,0.49792
KRAS,hard,KNN-esm,45,51,0.45647,0.40211,0.51104
KRAS,hard,KNN-esm,90,51,0.4999,0.44778,0.55242
KRAS,hard,KNN-esm,92,51,0.50614,0.45592,0.55532
KRAS,hard,KNN-esm+theta,5,51,0.43826,0.37946,0.50059
KRAS,hard,KNN-esm+theta,10,51,0.45113,0.39092,0.51133
KRAS,hard,KNN-esm+theta,20,51,0.45984,0.39895,0.52067
KRAS,hard,KNN-esm+theta,25,51,0.46267,0.40461,0.52289
KRAS,hard,KNN-esm+theta,45,51,0.47625,0.418,0.53756
KRAS,hard,KNN-esm+theta,90,51,0.51476,0.45688,0.57237
KRAS,hard,KNN-esm+theta,92,51,0.51971,0.45897,0.57611
KRAS,hard,KNN-theta,5,51,0.43491,0.37395,0.49744
KRAS,hard,KNN-theta,10,51,0.44701,0.38729,0.50428
KRAS,hard,KNN-theta,20,51,0.45428,0.39391,0.51297
KRAS,hard,KNN-theta,25,51,0.45806,0.39785,0.51662
KRAS,hard,KNN-theta,45,51,0.46943,0.41033,0.52944
KRAS,hard,KNN-theta,90,51,0.50874,0.44938,0.56367
KRAS,hard,KNN-theta,92,51,0.51396,0.45657,0.57093
KRAS,hard,Lasso-esm,5,51,0.42949,0.37105,0.48388
KRAS,hard,Lasso-esm,10,51,0.44225,0.38649,0.49946
KRAS,hard,Lasso-esm,20,51,0.44876,0.39028,0.50416
KRAS,hard,Lasso-esm,25,51,0.44962,0.39183,0.50925
KRAS,hard,Lasso-esm,45,51,0.45949,0.40243,0.51731
KRAS,hard,Lasso-esm,90,51,0.49998,0.44376,0.55632
KRAS,hard,Lasso-esm,92,51,0.5067,0.44735,0.56336
KRAS,hard,Lasso-esm+theta,5,51,0.43083,0.37208,0.49094
KRAS,hard,Lasso-esm+theta,10,51,0.44079,0.38477,0.49734
KRAS,hard,Lasso-esm+theta,20,51,0.44732,0.38967,0.5019
KRAS,hard,Lasso-esm+theta,25,51,0.44875,0.38913,0.50439
KRAS,hard,Lasso-esm+theta,45,51,0.45913,0.40071,0.51539
KRAS,hard,Lasso-esm+theta,90,51,0.50025,0.44514,0.55407
KRAS,hard,Lasso-esm+theta,92,51,0.50701,0.45111,0.56044
KRAS,hard,Lasso-theta,5,51,0.43083,0.37363,0.48656
KRAS,hard,Lasso-theta,10,51,0.44079,0.3826,0.49732
KRAS,hard,Lasso-theta,20,51,0.44732,0.38989,0.50668
KRAS,hard,Lasso-theta,25,51,0.44875,0.38871,0.50393
KRAS,hard,Lasso-theta,45,51,0.45913,0.40356,0.51671
KRAS,hard,Lasso-theta,90,51,0.50025,0.44286,0.55589
KRAS,hard,Lasso-theta,92,51,0.50701,0.45018,0.56261
KRAS,hard,MLP-esm,5,51,0.43636,0.37653,0.4966
KRAS,hard,MLP-esm,10,51,0.44179,0.38468,0.50102
KRAS,hard,MLP-esm,20,51,0.44998,0.38983,0.508
KRAS,hard,MLP-esm,25,51,0.45113,0.39547,0.50848
KRAS,hard,MLP-esm,45,51,0.46174,0.40355,0.52121
KRAS,hard,MLP-esm,90,51,0.49928,0.44173,0.55525
KRAS,hard,MLP-esm,92,51,0.50598,0.44716,0.5628
KRAS,hard,MLP-esm+theta,5,51,0.43091,0.3754,0.48693
KRAS,hard,MLP-esm+theta,10,51,0.4356,0.37959,0.48975
KRAS,hard,MLP-esm+theta,20,51,0.44446,0.38385,0.50061
KRAS,hard,MLP-esm+theta,25,51,0.44677,0.38975,0.50563
KRAS,hard,MLP-esm+theta,45,51,0.45842,0.3984,0.51604
KRAS,hard,MLP-esm+theta,90,51,0.49956,0.44582,0.5556
KRAS,hard,MLP-esm+theta,92,51,0.50644,0.45172,0.56217
KRAS,hard,MLP-theta,5,51,0.42723,0.36917,0.48176
KRAS,hard,MLP-theta,10,51,0.44011,0.38559,0.49557
KRAS,hard,MLP-theta,20,51,0.44614,0.38642,0.50197
KRAS,hard,MLP-theta,25,51,0.44944,0.39055,0.50622
KRAS,hard,MLP-theta,45,51,0.46023,0.40658,0.51846
KRAS,hard,MLP-theta,90,51,0.49938,0.4436,0.55367
KRAS,hard,MLP-theta,92,51,0.50588,0.44626,0.56193
KRAS,hard,PerturbNet,5,51,0.52301,0.46674,0.57811
KRAS,hard,PerturbNet,10,51,0.5241,0.47079,0.58328
KRAS,hard,PerturbNet,20,51,0.53114,0.47459,0.58294
KRAS,hard,PerturbNet,25,51,0.53462,0.47875,0.59191
KRAS,hard,PerturbNet,45,51,0.54197,0.48845,0.5987
KRAS,hard,PerturbNet,90,51,0.54798,0.49356,0.60107
KRAS,hard,PerturbNet,92,51,0.5486,0.49783,0.6008
KRAS,hard,RF-esm,5,51,0.42565,0.36683,0.48072
KRAS,hard,RF-esm,10,51,0.43612,0.37925,0.49335
KRAS,hard,RF-esm,20,51,0.44417,0.38872,0.50186
KRAS,hard,RF-esm,25,51,0.44605,0.38952,0.50661
KRAS,hard,RF-esm,45,51,0.4569,0.39903,0.5157
KRAS,hard,RF-esm,90,51,0.4976,0.44214,0.55321
KRAS,hard,RF-esm,92,51,0.50429,0.44916,0.55959
KRAS,hard,RF-esm+theta,5,51,0.42206,0.36601,0.48073
KRAS,hard,RF-esm+theta,10,51,0.43642,0.38029,0.49562
KRAS,hard,RF-esm+theta,20,51,0.44494,0.3882,0.50254
KRAS,hard,RF-esm+theta,25,51,0.4458,0.38921,0.50193
KRAS,hard,RF-esm+theta,45,51,0.45661,0.40197,0.51451
KRAS,hard,RF-esm+theta,90,51,0.49875,0.44324,0.55323
KRAS,hard,RF-esm+theta,92,51,0.50547,0.45109,0.56236
KRAS,hard,RF-theta,5,51,0.4165,0.35915,0.47625
KRAS,hard,RF-theta,10,51,0.42646,0.36725,0.48204
KRAS,hard,RF-theta,20,51,0.43657,0.37884,0.49167
KRAS,hard,RF-theta,25,51,0.43834,0.38455,0.49704
KRAS,hard,RF-theta,45,51,0.44872,0.39214,0.50632
KRAS,hard,RF-theta,90,51,0.49392,0.4402,0.55025
KRAS,hard,RF-theta,92,51,0.5002,0.44756,0.55435
KRAS,hard,Ridge-esm,5,51,0.43265,0.37899,0.48878
KRAS,hard,Ridge-esm,10,51,0.44208,0.38793,0.49819
KRAS,hard,Ridge-esm,20,51,0.44813,0.39255,0.50609
KRAS,hard,Ridge-esm,25,51,0.44856,0.39368,0.50617
KRAS,hard,Ridge-esm,45,51,0.45996,0.40264,0.5178
KRAS,hard,Ridge-esm,90,51,0.50219,0.44624,0.55912
KRAS,hard,Ridge-esm,92,51,0.50872,0.453,0.56488
KRAS,hard,Ridge-esm+theta,5,51,0.42326,0.36535,0.48306
KRAS,hard,Ridge-esm+theta,10,51,0.43266,0.38103,0.48922
KRAS,hard,Ridge-esm+theta,20,51,0.43934,0.38284,0.49399
KRAS,hard,Ridge-esm+theta,25,51,0.44031,0.38286,0.49462
KRAS,hard,Ridge-esm+theta,45,51,0.45207,0.39642,0.50857
KRAS,hard,Ridge-esm+theta,90,51,0.49506,0.43974,0.55167
KRAS,hard,Ridge-esm+theta,92,51,0.50073,0.44545,0.55464
KRAS,hard,Ridge-theta,5,51,0.42996,0.37581,0.48383
KRAS,hard,Ridge-theta,10,51,0.4364,0.37937,0.49211
KRAS,hard,Ridge-theta,20,51,0.44219,0.38674,0.49899
KRAS,hard,Ridge-theta,25,51,0.44352,0.3857,0.49651
KRAS,hard,Ridge-theta,45,51,0.45383,0.39784,0.5104
KRAS,hard,Ridge-theta,90,51,0.49619,0.43698,0.551
KRAS,hard,Ridge-theta,92,51,0.50223,0.44472,0.55862
KRAS,hard,WT-null,5,51,0.5,0.5,0.5
KRAS,hard,WT-null,10,51,0.5,0.5,0.5
KRAS,hard,WT-null,20,51,0.5,0.5,0.5
KRAS,hard,WT-null,25,51,0.5,0.5,0.5
KRAS,hard,WT-null,45,51,0.5,0.5,0.5
KRAS,hard,WT-null,90,51,0.5,0.5,0.5
KRAS,hard,WT-null,92,51,0.5,0.5,0.5
KRAS,hard,scGen,5,51,0.40577,0.34579,0.46478
KRAS,hard,scGen,10,51,0.41451,0.35437,0.47641
KRAS,hard,scGen,20,51,0.4283,0.36603,0.48814
KRAS,hard,scGen,25,51,0.43244,0.3722,0.49331
KRAS,hard,scGen,45,51,0.44413,0.38297,0.50337
KRAS,hard,scGen,90,51,0.48264,0.42368,0.54459
KRAS,hard,scGen,92,51,0.48842,0.43042,0.54994
KRAS,hard,scVIDR,5,51,0.42653,0.37037,0.48562
KRAS,hard,scVIDR,10,51,0.42549,0.36695,0.48067
KRAS,hard,scVIDR,20,51,0.43967,0.3856,0.49837
KRAS,hard,scVIDR,25,51,0.44078,0.38524,0.49608
KRAS,hard,scVIDR,45,51,0.45072,0.39717,0.50704
KRAS,hard,scVIDR,90,51,0.48915,0.43075,0.54642
KRAS,hard,scVIDR,92,51,0.49512,0.43865,0.54827
KRAS,hard,split-half measurement,5,51,0.45915,0.41077,0.5098
KRAS,hard,split-half measurement,10,51,0.46739,0.41699,0.51634
KRAS,hard,split-half measurement,20,51,0.47589,0.42663,0.52528
KRAS,hard,split-half measurement,25,51,0.47565,0.42576,0.52452
KRAS,hard,split-half measurement,45,51,0.48268,0.43303,0.53536
KRAS,hard,split-half measurement,90,51,0.48162,0.42915,0.5318
KRAS,hard,split-half measurement,92,51,0.48112,0.43241,0.53035
KRAS,random,Biolord,5,51,0.48387,0.44204,0.52796
KRAS,random,Biolord,10,51,0.48501,0.43976,0.52766
KRAS,random,Biolord,20,51,0.48504,0.44268,0.5294
KRAS,random,Biolord,25,51,0.48494,0.44243,0.52807
KRAS,random,Biolord,45,51,0.48563,0.44443,0.52959
KRAS,random,Biolord,90,51,0.48517,0.44194,0.52748
KRAS,random,Biolord,92,51,0.48515,0.44197,0.52826
KRAS,random,CellFlow,5,51,0.51481,0.45162,0.57343
KRAS,random,CellFlow,10,51,0.51505,0.45899,0.57244
KRAS,random,CellFlow,20,51,0.51508,0.45853,0.57347
KRAS,random,CellFlow,25,51,0.51483,0.45406,0.57598
KRAS,random,CellFlow,45,51,0.51536,0.45395,0.57454
KRAS,random,CellFlow,90,51,0.51481,0.45701,0.57559
KRAS,random,CellFlow,92,51,0.51478,0.45552,0.57105
KRAS,random,GBoost-esm,5,51,0.48575,0.43191,0.54137
KRAS,random,GBoost-esm,10,51,0.48589,0.43171,0.5377
KRAS,random,GBoost-esm,20,51,0.48539,0.43386,0.53745
KRAS,random,GBoost-esm,25,51,0.48497,0.43406,0.53912
KRAS,random,GBoost-esm,45,51,0.48588,0.43061,0.53877
KRAS,random,GBoost-esm,90,51,0.48548,0.4335,0.53824
KRAS,random,GBoost-esm,92,51,0.48546,0.43371,0.54131
