gene,method,split,stratum,n_pairs,accuracy,ci_lo,ci_hi,n_refused,n_predicted
GATA1,Biolord,split6,unresolvable,1282,0.50239,0.48549,0.51911,0,52
GATA1,Biolord,split6,resolvable_xfit,45,0.71944,0.62222,0.81389,0,52
GATA1,Biolord,split6,unresolvable_xfit,1281,0.49619,0.47951,0.51327,0,52
GATA1,CellFlow,split1,all,1326,0.48758,0.47114,0.50332,0,52
GATA1,CellFlow,split1,resolvable,44,0.26212,0.15152,0.38034,0,52
GATA1,CellFlow,split1,unresolvable,1282,0.49532,0.47852,0.5117,0,52
GATA1,CellFlow,split1,resolvable_xfit,45,0.275,0.16944,0.38889,0,52
GATA1,CellFlow,split1,unresolvable_xfit,1281,0.48634,0.46809,0.50361,0,52
GATA1,CellFlow,split2,all,8001,0.51606,0.50838,0.52289,0,127
GATA1,CellFlow,split2,resolvable,346,0.52331,0.47303,0.56975,0,127
GATA1,CellFlow,split2,unresolvable,7655,0.51573,0.50847,0.52266,0,127
GATA1,CellFlow,split2,resolvable_xfit,340,0.55368,0.50368,0.60257,0,127
GATA1,CellFlow,split2,unresolvable_xfit,7661,0.50826,0.50068,0.51588,0,127
GATA1,CellFlow,split3,all,496,0.44328,0.41317,0.46963,0,32
GATA1,CellFlow,split3,resolvable,40,0.315,0.19329,0.45,0,32
GATA1,CellFlow,split3,unresolvable,456,0.45453,0.4269,0.48187,0,32
GATA1,CellFlow,split3,resolvable_xfit,34,0.27941,0.15809,0.41176,0,32
GATA1,CellFlow,split3,unresolvable_xfit,462,0.45346,0.42316,0.4854,0,32
GATA1,CellFlow,split5,all,990,0.49239,0.47145,0.51232,0,45
GATA1,CellFlow,split5,resolvable,86,0.56279,0.46822,0.6512,0,45
GATA1,CellFlow,split5,unresolvable,904,0.48569,0.46475,0.50664,0,45
GATA1,CellFlow,split5,resolvable_xfit,93,0.58199,0.49059,0.67204,0,45
GATA1,CellFlow,split5,unresolvable_xfit,897,0.47408,0.45234,0.4954,0,45
GATA1,CellFlow,split6,all,1326,0.48758,0.47104,0.50448,0,52
GATA1,CellFlow,split6,resolvable,44,0.26212,0.14848,0.38182,0,52
GATA1,CellFlow,split6,unresolvable,1282,0.49532,0.47847,0.51233,0,52
GATA1,CellFlow,split6,resolvable_xfit,45,0.275,0.16111,0.39167,0,52
GATA1,CellFlow,split6,unresolvable_xfit,1281,0.48634,0.46809,0.50449,0,52
GATA1,GBoost-esm+theta,split1,all,1326,0.56682,0.55093,0.58301,0,52
GATA1,GBoost-esm+theta,split1,resolvable,44,0.80303,0.70602,0.89091,0,52
GATA1,GBoost-esm+theta,split1,unresolvable,1282,0.55871,0.54092,0.57572,0,52
GATA1,GBoost-esm+theta,split1,resolvable_xfit,45,0.77778,0.68056,0.87229,0,52
GATA1,GBoost-esm+theta,split1,unresolvable_xfit,1281,0.57338,0.55562,0.59114,0,52
GATA1,GBoost-esm+theta,split2,all,8001,0.51823,0.51173,0.52539,0,127
GATA1,GBoost-esm+theta,split2,resolvable,346,0.6578,0.61329,0.69982,0,127
GATA1,GBoost-esm+theta,split2,unresolvable,7655,0.51192,0.50499,0.51906,0,127
GATA1,GBoost-esm+theta,split2,resolvable_xfit,340,0.68272,0.64007,0.7239,0,127
GATA1,GBoost-esm+theta,split2,unresolvable_xfit,7661,0.51548,0.50827,0.5227,0,127
GATA1,GBoost-esm+theta,split3,all,496,0.51478,0.48535,0.54435,0,32
GATA1,GBoost-esm+theta,split3,resolvable,40,0.7,0.56833,0.82833,0,32
GATA1,GBoost-esm+theta,split3,unresolvable,456,0.49854,0.46886,0.52866,0,32
GATA1,GBoost-esm+theta,split3,resolvable_xfit,34,0.76103,0.62491,0.88612,0,32
GATA1,GBoost-esm+theta,split3,unresolvable_xfit,462,0.50271,0.47186,0.53463,0,32
GATA1,GBoost-esm+theta,split5,all,990,0.52835,0.50909,0.54809,0,45
GATA1,GBoost-esm+theta,split5,resolvable,86,0.53721,0.45498,0.6225,0,45
GATA1,GBoost-esm+theta,split5,unresolvable,904,0.52751,0.50774,0.54668,0,45
GATA1,GBoost-esm+theta,split5,resolvable_xfit,93,0.55242,0.47715,0.63575,0,45
GATA1,GBoost-esm+theta,split5,unresolvable_xfit,897,0.53163,0.51142,0.55212,0,45
GATA1,GBoost-esm+theta,split6,all,1326,0.56682,0.54922,0.58472,0,52
GATA1,GBoost-esm+theta,split6,resolvable,44,0.80303,0.70152,0.89091,0,52
GATA1,GBoost-esm+theta,split6,unresolvable,1282,0.55871,0.54123,0.57587,0,52
GATA1,GBoost-esm+theta,split6,resolvable_xfit,45,0.77778,0.67215,0.86944,0,52
GATA1,GBoost-esm+theta,split6,unresolvable_xfit,1281,0.57338,0.55464,0.59085,0,52
GATA1,GBoost-esm,split1,all,1326,0.56953,0.55244,0.58567,0,52
GATA1,GBoost-esm,split1,resolvable,44,0.86212,0.7697,0.94242,0,52
GATA1,GBoost-esm,split1,unresolvable,1282,0.55949,0.54274,0.57551,0,52
GATA1,GBoost-esm,split1,resolvable_xfit,45,0.82778,0.72771,0.91389,0,52
GATA1,GBoost-esm,split1,unresolvable_xfit,1281,0.56977,0.5523,0.58782,0,52
GATA1,GBoost-esm,split2,all,8001,0.5166,0.50914,0.52363,0,127
GATA1,GBoost-esm,split2,resolvable,346,0.64913,0.60442,0.69133,0,127
GATA1,GBoost-esm,split2,unresolvable,7655,0.51061,0.50338,0.51737,0,127
GATA1,GBoost-esm,split2,resolvable_xfit,340,0.67941,0.63528,0.7206,0,127
GATA1,GBoost-esm,split2,unresolvable_xfit,7661,0.51437,0.50724,0.52154,0,127
GATA1,GBoost-esm,split3,all,496,0.47191,0.44314,0.50162,0,32
GATA1,GBoost-esm,split3,resolvable,40,0.55167,0.41,0.685,0,32
GATA1,GBoost-esm,split3,unresolvable,456,0.46491,0.43611,0.49386,0,32
GATA1,GBoost-esm,split3,resolvable_xfit,34,0.60294,0.44853,0.76103,0,32
GATA1,GBoost-esm,split3,unresolvable_xfit,462,0.47132,0.43912,0.50189,0,32
GATA1,GBoost-esm,split5,all,990,0.52229,0.5039,0.54189,0,45
GATA1,GBoost-esm,split5,resolvable,86,0.5186,0.43174,0.60155,0,45
GATA1,GBoost-esm,split5,unresolvable,904,0.52264,0.50317,0.54145,0,45
GATA1,GBoost-esm,split5,resolvable_xfit,93,0.50403,0.42339,0.59009,0,45
GATA1,GBoost-esm,split5,unresolvable_xfit,897,0.53163,0.51101,0.5524,0,45
GATA1,GBoost-esm,split6,all,1326,0.56953,0.55194,0.58683,0,52
GATA1,GBoost-esm,split6,resolvable,44,0.86212,0.77117,0.94545,0,52
GATA1,GBoost-esm,split6,unresolvable,1282,0.55949,0.54248,0.57691,0,52
GATA1,GBoost-esm,split6,resolvable_xfit,45,0.82778,0.73333,0.91667,0,52
GATA1,GBoost-esm,split6,unresolvable_xfit,1281,0.56977,0.55201,0.58704,0,52
GATA1,GBoost-theta,split1,all,1326,0.52685,0.50978,0.54357,0,52
GATA1,GBoost-theta,split1,resolvable,44,0.84167,0.73485,0.93485,0,52
GATA1,GBoost-theta,split1,unresolvable,1282,0.51604,0.49799,0.53349,0,52
GATA1,GBoost-theta,split1,resolvable_xfit,45,0.81944,0.71111,0.91111,0,52
GATA1,GBoost-theta,split1,unresolvable_xfit,1281,0.52049,0.50342,0.53747,0,52
GATA1,GBoost-theta,split2,all,8001,0.55231,0.54568,0.55935,0,127
GATA1,GBoost-theta,split2,resolvable,346,0.629,0.58285,0.67275,0,127
GATA1,GBoost-theta,split2,unresolvable,7655,0.54884,0.54222,0.55605,0,127
GATA1,GBoost-theta,split2,resolvable_xfit,340,0.61471,0.56765,0.6614,0,127
GATA1,GBoost-theta,split2,unresolvable_xfit,7661,0.54324,0.53611,0.55014,0,127
GATA1,GBoost-theta,split3,all,496,0.44462,0.41787,0.47164,0,32
GATA1,GBoost-theta,split3,resolvable,40,0.25083,0.14583,0.36335,0,32
GATA1,GBoost-theta,split3,unresolvable,456,0.46162,0.4356,0.48816,0,32
GATA1,GBoost-theta,split3,resolvable_xfit,34,0.18382,0.09917,0.28676,0,32
GATA1,GBoost-theta,split3,unresolvable_xfit,462,0.47538,0.44615,0.50299,0,32
GATA1,GBoost-theta,split5,all,990,0.47306,0.45316,0.49256,0,45
GATA1,GBoost-theta,split5,resolvable,86,0.44225,0.35695,0.52598,0,45
GATA1,GBoost-theta,split5,unresolvable,904,0.476,0.45682,0.49576,0,45
GATA1,GBoost-theta,split5,resolvable_xfit,93,0.4207,0.33468,0.50269,0,45
GATA1,GBoost-theta,split5,unresolvable_xfit,897,0.46572,0.44482,0.48704,0,45
GATA1,GBoost-theta,split6,all,1326,0.52685,0.50907,0.54467,0,52
GATA1,GBoost-theta,split6,resolvable,44,0.84167,0.74241,0.92652,0,52
GATA1,GBoost-theta,split6,unresolvable,1282,0.51604,0.49841,0.53367,0,52
GATA1,GBoost-theta,split6,resolvable_xfit,45,0.81944,0.7166,0.91389,0,52
GATA1,GBoost-theta,split6,unresolvable_xfit,1281,0.52049,0.50273,0.53806,0,52
GATA1,Gene-mean,split1,all,1326,0.5,0.5,0.5,0,52
GATA1,Gene-mean,split1,resolvable,44,0.5,0.5,0.5,0,52
GATA1,Gene-mean,split1,unresolvable,1282,0.5,0.5,0.5,0,52
GATA1,Gene-mean,split1,resolvable_xfit,45,0.5,0.5,0.5,0,52
GATA1,Gene-mean,split1,unresolvable_xfit,1281,0.5,0.5,0.5,0,52
GATA1,Gene-mean,split2,all,8001,0.5,0.5,0.5,0,127
GATA1,Gene-mean,split2,resolvable,346,0.5,0.5,0.5,0,127
GATA1,Gene-mean,split2,unresolvable,7655,0.5,0.5,0.5,0,127
GATA1,Gene-mean,split2,resolvable_xfit,340,0.5,0.5,0.5,0,127
GATA1,Gene-mean,split2,unresolvable_xfit,7661,0.5,0.5,0.5,0,127
GATA1,Gene-mean,split3,all,496,0.5,0.5,0.5,0,32
GATA1,Gene-mean,split3,resolvable,40,0.5,0.5,0.5,0,32
GATA1,Gene-mean,split3,unresolvable,456,0.5,0.5,0.5,0,32
GATA1,Gene-mean,split3,resolvable_xfit,34,0.5,0.5,0.5,0,32
GATA1,Gene-mean,split3,unresolvable_xfit,462,0.5,0.5,0.5,0,32
GATA1,Gene-mean,split5,all,990,0.5,0.5,0.5,0,45
GATA1,Gene-mean,split5,resolvable,86,0.5,0.5,0.5,0,45
GATA1,Gene-mean,split5,unresolvable,904,0.5,0.5,0.5,0,45
GATA1,Gene-mean,split5,resolvable_xfit,93,0.5,0.5,0.5,0,45
GATA1,Gene-mean,split5,unresolvable_xfit,897,0.5,0.5,0.5,0,45
GATA1,Gene-mean,split6,all,1326,0.5,0.5,0.5,0,52
GATA1,Gene-mean,split6,resolvable,44,0.5,0.5,0.5,0,52
GATA1,Gene-mean,split6,unresolvable,1282,0.5,0.5,0.5,0,52
GATA1,Gene-mean,split6,resolvable_xfit,45,0.5,0.5,0.5,0,52
GATA1,Gene-mean,split6,unresolvable_xfit,1281,0.5,0.5,0.5,0,52
GATA1,KNN-esm+theta,split1,all,1326,0.58017,0.56352,0.59749,0,52
GATA1,KNN-esm+theta,split1,resolvable,44,0.8553,0.76591,0.93788,0,52
GATA1,KNN-esm+theta,split1,unresolvable,1282,0.57072,0.55398,0.58804,0,52
GATA1,KNN-esm+theta,split1,resolvable_xfit,45,0.85,0.75556,0.93611,0,52
GATA1,KNN-esm+theta,split1,unresolvable_xfit,1281,0.57787,0.56001,0.59524,0,52
GATA1,KNN-esm+theta,split2,all,8001,0.55303,0.54615,0.55983,0,127
GATA1,KNN-esm+theta,split2,resolvable,346,0.59056,0.5439,0.63643,0,127
GATA1,KNN-esm+theta,split2,unresolvable,7655,0.55133,0.54442,0.55829,0,127
GATA1,KNN-esm+theta,split2,resolvable_xfit,340,0.57904,0.53197,0.62537,0,127
GATA1,KNN-esm+theta,split2,unresolvable_xfit,7661,0.55538,0.54808,0.56243,0,127
GATA1,KNN-esm+theta,split3,all,496,0.51317,0.48521,0.54012,0,32
GATA1,KNN-esm+theta,split3,resolvable,40,0.41583,0.2975,0.54085,0,32
GATA1,KNN-esm+theta,split3,unresolvable,456,0.52171,0.49525,0.54898,0,32
GATA1,KNN-esm+theta,split3,resolvable_xfit,34,0.45588,0.31618,0.59926,0,32
GATA1,KNN-esm+theta,split3,unresolvable_xfit,462,0.50947,0.48214,0.53869,0,32
GATA1,KNN-esm+theta,split5,all,990,0.45145,0.43242,0.47027,0,45
GATA1,KNN-esm+theta,split5,resolvable,86,0.30814,0.23566,0.38451,0,45
GATA1,KNN-esm+theta,split5,unresolvable,904,0.46508,0.44594,0.48522,0,45
GATA1,KNN-esm+theta,split5,resolvable_xfit,93,0.30914,0.24194,0.38172,0,45
GATA1,KNN-esm+theta,split5,unresolvable_xfit,897,0.46321,0.44231,0.48301,0,45
GATA1,KNN-esm+theta,split6,all,1326,0.58017,0.56372,0.59603,0,52
GATA1,KNN-esm+theta,split6,resolvable,44,0.8553,0.76136,0.93335,0,52
GATA1,KNN-esm+theta,split6,unresolvable,1282,0.57072,0.55418,0.58788,0,52
GATA1,KNN-esm+theta,split6,resolvable_xfit,45,0.85,0.75278,0.9334,0,52
GATA1,KNN-esm+theta,split6,unresolvable_xfit,1281,0.57787,0.55991,0.59514,0,52
GATA1,KNN-esm,split1,all,1326,0.52149,0.50457,0.53786,0,52
GATA1,KNN-esm,split1,resolvable,44,0.77576,0.66515,0.87424,0,52
GATA1,KNN-esm,split1,unresolvable,1282,0.51277,0.49568,0.52917,0,52
GATA1,KNN-esm,split1,resolvable_xfit,45,0.71944,0.59993,0.83333,0,52
GATA1,KNN-esm,split1,unresolvable_xfit,1281,0.52908,0.5119,0.54577,0,52
GATA1,KNN-esm,split2,all,8001,0.50076,0.49337,0.50779,0,127
GATA1,KNN-esm,split2,resolvable,346,0.54576,0.49769,0.59336,0,127
GATA1,KNN-esm,split2,unresolvable,7655,0.49873,0.49151,0.50574,0,127
GATA1,KNN-esm,split2,resolvable_xfit,340,0.53824,0.4886,0.5864,0,127
GATA1,KNN-esm,split2,unresolvable_xfit,7661,0.50423,0.49674,0.51176,0,127
GATA1,KNN-esm,split3,all,496,0.51378,0.4844,0.54335,0,32
GATA1,KNN-esm,split3,resolvable,40,0.70333,0.57,0.81837,0,32
GATA1,KNN-esm,split3,unresolvable,456,0.49715,0.46747,0.52618,0,32
GATA1,KNN-esm,split3,resolvable_xfit,34,0.80515,0.68015,0.91544,0,32
GATA1,KNN-esm,split3,unresolvable_xfit,462,0.48214,0.45292,0.51489,0,32
GATA1,KNN-esm,split5,all,990,0.46875,0.44774,0.48943,0,45
GATA1,KNN-esm,split5,resolvable,86,0.43101,0.34572,0.51783,0,45
GATA1,KNN-esm,split5,unresolvable,904,0.47235,0.45206,0.49344,0,45
GATA1,KNN-esm,split5,resolvable_xfit,93,0.40726,0.3333,0.48656,0,45
GATA1,KNN-esm,split5,unresolvable_xfit,897,0.46934,0.44941,0.48885,0,45
GATA1,KNN-esm,split6,all,1326,0.52149,0.50432,0.53753,0,52
GATA1,KNN-esm,split6,resolvable,44,0.77576,0.66364,0.87273,0,52
GATA1,KNN-esm,split6,unresolvable,1282,0.51277,0.49607,0.53001,0,52
GATA1,KNN-esm,split6,resolvable_xfit,45,0.71944,0.59722,0.83618,0,52
GATA1,KNN-esm,split6,unresolvable_xfit,1281,0.52908,0.51171,0.54635,0,52
GATA1,KNN-theta,split1,all,1326,0.51933,0.50332,0.53602,0,52
GATA1,KNN-theta,split1,resolvable,44,0.60379,0.47345,0.72652,0,52
GATA1,KNN-theta,split1,unresolvable,1282,0.51643,0.49948,0.53346,0,52
GATA1,KNN-theta,split1,resolvable_xfit,45,0.6,0.47222,0.72778,0,52
GATA1,KNN-theta,split1,unresolvable_xfit,1281,0.53464,0.51815,0.55221,0,52
GATA1,KNN-theta,split2,all,8001,0.50685,0.50002,0.51408,0,127
GATA1,KNN-theta,split2,resolvable,346,0.53738,0.48998,0.58257,0,127
GATA1,KNN-theta,split2,unresolvable,7655,0.50547,0.49841,0.51235,0,127
GATA1,KNN-theta,split2,resolvable_xfit,340,0.53015,0.48346,0.57611,0,127
GATA1,KNN-theta,split2,unresolvable_xfit,7661,0.50718,0.49985,0.51416,0,127
GATA1,KNN-theta,split3,all,496,0.46425,0.43461,0.49274,0,32
GATA1,KNN-theta,split3,resolvable,40,0.29417,0.17,0.4175,0,32
GATA1,KNN-theta,split3,unresolvable,456,0.47917,0.45146,0.50812,0,32
GATA1,KNN-theta,split3,resolvable_xfit,34,0.21691,0.10294,0.342,0,32
GATA1,KNN-theta,split3,unresolvable_xfit,462,0.48566,0.4567,0.51326,0,32
GATA1,KNN-theta,split5,all,990,0.44236,0.42229,0.46364,0,45
GATA1,KNN-theta,split5,resolvable,86,0.33295,0.2496,0.42404,0,45
GATA1,KNN-theta,split5,unresolvable,904,0.45277,0.43344,0.47276,0,45
GATA1,KNN-theta,split5,resolvable_xfit,93,0.33333,0.25538,0.4207,0,45
GATA1,KNN-theta,split5,unresolvable_xfit,897,0.45471,0.43353,0.47701,0,45
GATA1,KNN-theta,split6,all,1326,0.51933,0.50261,0.53587,0,52
GATA1,KNN-theta,split6,resolvable,44,0.60379,0.47347,0.72352,0,52
GATA1,KNN-theta,split6,unresolvable,1282,0.51643,0.5001,0.53318,0,52
GATA1,KNN-theta,split6,resolvable_xfit,45,0.6,0.47493,0.73062,0,52
GATA1,KNN-theta,split6,unresolvable_xfit,1281,0.53464,0.51727,0.55143,0,52
GATA1,Lasso-esm+theta,split1,all,1326,0.48653,0.47066,0.50179,0,52
GATA1,Lasso-esm+theta,split1,resolvable,44,0.72955,0.6318,0.8197,0,52
GATA1,Lasso-esm+theta,split1,unresolvable,1282,0.47819,0.46287,0.49449,0,52
GATA1,Lasso-esm+theta,split1,resolvable_xfit,45,0.725,0.63611,0.81389,0,52
GATA1,Lasso-esm+theta,split1,unresolvable_xfit,1281,0.48663,0.47111,0.50361,0,52
GATA1,Lasso-esm+theta,split2,all,8001,0.53898,0.5322,0.54576,0,127
GATA1,Lasso-esm+theta,split2,resolvable,346,0.45665,0.41068,0.50337,0,127
GATA1,Lasso-esm+theta,split2,unresolvable,7655,0.5427,0.53595,0.54979,0,127
GATA1,Lasso-esm+theta,split2,resolvable_xfit,340,0.48051,0.4375,0.525,0,127
GATA1,Lasso-esm+theta,split2,unresolvable_xfit,7661,0.54401,0.53677,0.55112,0,127
GATA1,Lasso-esm+theta,split3,all,496,0.45081,0.42446,0.47756,0,32
GATA1,Lasso-esm+theta,split3,resolvable,40,0.28583,0.1775,0.3975,0,32
GATA1,Lasso-esm+theta,split3,unresolvable,456,0.46528,0.43743,0.49306,0,32
GATA1,Lasso-esm+theta,split3,resolvable_xfit,34,0.25735,0.15074,0.375,0,32
GATA1,Lasso-esm+theta,split3,unresolvable_xfit,462,0.47917,0.4494,0.50731,0,32
GATA1,Lasso-esm+theta,split5,all,990,0.46845,0.44646,0.48882,0,45
GATA1,Lasso-esm+theta,split5,resolvable,86,0.24225,0.17052,0.31977,0,45
GATA1,Lasso-esm+theta,split5,unresolvable,904,0.48997,0.46961,0.51114,0,45
GATA1,Lasso-esm+theta,split5,resolvable_xfit,93,0.24597,0.17742,0.32124,0,45
GATA1,Lasso-esm+theta,split5,unresolvable_xfit,897,0.50321,0.48174,0.52453,0,45
GATA1,Lasso-esm+theta,split6,all,1326,0.48653,0.47109,0.50262,0,52
GATA1,Lasso-esm+theta,split6,resolvable,44,0.72955,0.63182,0.825,0,52
GATA1,Lasso-esm+theta,split6,unresolvable,1282,0.47819,0.46316,0.49399,0,52
GATA1,Lasso-esm+theta,split6,resolvable_xfit,45,0.725,0.63049,0.8084,0,52
GATA1,Lasso-esm+theta,split6,unresolvable_xfit,1281,0.48663,0.47024,0.50283,0,52
GATA1,Lasso-esm,split1,all,1326,0.5,0.5,0.5,0,52
GATA1,Lasso-esm,split1,resolvable,44,0.5,0.5,0.5,0,52
GATA1,Lasso-esm,split1,unresolvable,1282,0.5,0.5,0.5,0,52
GATA1,Lasso-esm,split1,resolvable_xfit,45,0.5,0.5,0.5,0,52
GATA1,Lasso-esm,split1,unresolvable_xfit,1281,0.5,0.5,0.5,0,52
GATA1,Lasso-esm,split2,all,8001,0.5,0.5,0.5,0,127
GATA1,Lasso-esm,split2,resolvable,346,0.5,0.5,0.5,0,127
GATA1,Lasso-esm,split2,unresolvable,7655,0.5,0.5,0.5,0,127
GATA1,Lasso-esm,split2,resolvable_xfit,340,0.5,0.5,0.5,0,127
GATA1,Lasso-esm,split2,unresolvable_xfit,7661,0.5,0.5,0.5,0,127
GATA1,Lasso-esm,split3,all,496,0.5,0.5,0.5,0,32
GATA1,Lasso-esm,split3,resolvable,40,0.5,0.5,0.5,0,32
GATA1,Lasso-esm,split3,unresolvable,456,0.5,0.5,0.5,0,32
GATA1,Lasso-esm,split3,resolvable_xfit,34,0.5,0.5,0.5,0,32
GATA1,Lasso-esm,split3,unresolvable_xfit,462,0.5,0.5,0.5,0,32
GATA1,Lasso-esm,split5,all,990,0.5,0.5,0.5,0,45
GATA1,Lasso-esm,split5,resolvable,86,0.5,0.5,0.5,0,45
GATA1,Lasso-esm,split5,unresolvable,904,0.5,0.5,0.5,0,45
GATA1,Lasso-esm,split5,resolvable_xfit,93,0.5,0.5,0.5,0,45
GATA1,Lasso-esm,split5,unresolvable_xfit,897,0.5,0.5,0.5,0,45
GATA1,Lasso-esm,split6,all,1326,0.5,0.5,0.5,0,52
GATA1,Lasso-esm,split6,resolvable,44,0.5,0.5,0.5,0,52
GATA1,Lasso-esm,split6,unresolvable,1282,0.5,0.5,0.5,0,52
GATA1,Lasso-esm,split6,resolvable_xfit,45,0.5,0.5,0.5,0,52
GATA1,Lasso-esm,split6,unresolvable_xfit,1281,0.5,0.5,0.5,0,52
GATA1,Lasso-theta,split1,all,1326,0.48653,0.47215,0.50121,0,52
GATA1,Lasso-theta,split1,resolvable,44,0.72955,0.63104,0.82197,0,52
GATA1,Lasso-theta,split1,unresolvable,1282,0.47819,0.46313,0.49384,0,52
GATA1,Lasso-theta,split1,resolvable_xfit,45,0.725,0.63333,0.81118,0,52
GATA1,Lasso-theta,split1,unresolvable_xfit,1281,0.48663,0.47033,0.50254,0,52
GATA1,Lasso-theta,split2,all,8001,0.53898,0.53204,0.54597,0,127
GATA1,Lasso-theta,split2,resolvable,346,0.45665,0.41301,0.50097,0,127
GATA1,Lasso-theta,split2,unresolvable,7655,0.5427,0.53598,0.5494,0,127
GATA1,Lasso-theta,split2,resolvable_xfit,340,0.48051,0.43565,0.52391,0,127
GATA1,Lasso-theta,split2,unresolvable_xfit,7661,0.54401,0.53665,0.55124,0,127
GATA1,Lasso-theta,split3,all,496,0.45081,0.42413,0.47742,0,32
GATA1,Lasso-theta,split3,resolvable,40,0.28583,0.17917,0.39919,0,32
GATA1,Lasso-theta,split3,unresolvable,456,0.46528,0.43925,0.49386,0,32
GATA1,Lasso-theta,split3,resolvable_xfit,34,0.25735,0.15809,0.375,0,32
GATA1,Lasso-theta,split3,unresolvable_xfit,462,0.47917,0.44994,0.50812,0,32
GATA1,Lasso-theta,split5,all,990,0.46845,0.44798,0.48997,0,45
GATA1,Lasso-theta,split5,resolvable,86,0.24225,0.1717,0.319,0,45
GATA1,Lasso-theta,split5,unresolvable,904,0.48997,0.46858,0.51073,0,45
GATA1,Lasso-theta,split5,resolvable_xfit,93,0.24597,0.17339,0.31993,0,45
GATA1,Lasso-theta,split5,unresolvable_xfit,897,0.50321,0.48244,0.52564,0,45
GATA1,Lasso-theta,split6,all,1326,0.48653,0.47061,0.50282,0,52
GATA1,Lasso-theta,split6,resolvable,44,0.72955,0.62725,0.82197,0,52
GATA1,Lasso-theta,split6,unresolvable,1282,0.47819,0.46242,0.49399,0,52
GATA1,Lasso-theta,split6,resolvable_xfit,45,0.725,0.63056,0.81396,0,52
GATA1,Lasso-theta,split6,unresolvable_xfit,1281,0.48663,0.4715,0.50283,0,52
GATA1,MLP-esm+theta,split1,all,1326,0.50845,0.49236,0.52454,0,52
GATA1,MLP-esm+theta,split1,resolvable,44,0.82576,0.73636,0.90303,0,52
GATA1,MLP-esm+theta,split1,unresolvable,1282,0.49756,0.48154,0.51409,0,52
GATA1,MLP-esm+theta,split1,resolvable_xfit,45,0.80833,0.71944,0.88611,0,52
GATA1,MLP-esm+theta,split1,unresolvable_xfit,1281,0.4958,0.47922,0.51269,0,52
GATA1,MLP-esm+theta,split2,all,8001,0.53588,0.52918,0.54273,0,127
GATA1,MLP-esm+theta,split2,resolvable,346,0.6605,0.62524,0.69577,0,127
GATA1,MLP-esm+theta,split2,unresolvable,7655,0.53025,0.5234,0.53723,0,127
GATA1,MLP-esm+theta,split2,resolvable_xfit,340,0.64853,0.61101,0.68346,0,127
GATA1,MLP-esm+theta,split2,unresolvable_xfit,7661,0.52596,0.51883,0.53351,0,127
GATA1,MLP-esm+theta,split3,all,496,0.46667,0.4383,0.49369,0,32
GATA1,MLP-esm+theta,split3,resolvable,40,0.48167,0.37667,0.58833,0,32
GATA1,MLP-esm+theta,split3,unresolvable,456,0.46535,0.43713,0.49342,0,32
GATA1,MLP-esm+theta,split3,resolvable_xfit,34,0.45588,0.35294,0.5625,0,32
GATA1,MLP-esm+theta,split3,unresolvable_xfit,462,0.4586,0.42938,0.48918,0,32
GATA1,MLP-esm+theta,split5,all,990,0.44599,0.42707,0.4666,0,45
GATA1,MLP-esm+theta,split5,resolvable,86,0.32636,0.24574,0.40314,0,45
GATA1,MLP-esm+theta,split5,unresolvable,904,0.45737,0.4365,0.47618,0,45
GATA1,MLP-esm+theta,split5,resolvable_xfit,93,0.34946,0.27419,0.42611,0,45
GATA1,MLP-esm+theta,split5,unresolvable_xfit,897,0.47324,0.45262,0.49429,0,45
GATA1,MLP-esm+theta,split6,all,1326,0.50845,0.49301,0.52494,0,52
GATA1,MLP-esm+theta,split6,resolvable,44,0.82576,0.73485,0.90152,0,52
GATA1,MLP-esm+theta,split6,unresolvable,1282,0.49756,0.48154,0.51389,0,52
GATA1,MLP-esm+theta,split6,resolvable_xfit,45,0.80833,0.72222,0.88333,0,52
GATA1,MLP-esm+theta,split6,unresolvable_xfit,1281,0.4958,0.47912,0.51298,0,52
GATA1,MLP-esm,split1,all,1326,0.47959,0.4637,0.49588,0,52
GATA1,MLP-esm,split1,resolvable,44,0.66061,0.56057,0.75455,0,52
GATA1,MLP-esm,split1,unresolvable,1282,0.47337,0.45757,0.48929,0,52
GATA1,MLP-esm,split1,resolvable_xfit,45,0.61389,0.51111,0.71389,0,52
GATA1,MLP-esm,split1,unresolvable_xfit,1281,0.45999,0.44281,0.47639,0,52
GATA1,MLP-esm,split2,all,8001,0.49957,0.49343,0.50608,0,127
GATA1,MLP-esm,split2,resolvable,346,0.51118,0.47784,0.54528,0,127
GATA1,MLP-esm,split2,unresolvable,7655,0.49905,0.49209,0.5054,0,127
GATA1,MLP-esm,split2,resolvable_xfit,340,0.50551,0.47021,0.54081,0,127
GATA1,MLP-esm,split2,unresolvable_xfit,7661,0.49156,0.48478,0.49825,0,127
GATA1,MLP-esm,split3,all,496,0.48091,0.45605,0.50618,0,32
GATA1,MLP-esm,split3,resolvable,40,0.285,0.195,0.385,0,32
GATA1,MLP-esm,split3,unresolvable,456,0.4981,0.47208,0.52529,0,32
GATA1,MLP-esm,split3,resolvable_xfit,34,0.20956,0.12858,0.30882,0,32
GATA1,MLP-esm,split3,unresolvable_xfit,462,0.49756,0.47104,0.52516,0,32
GATA1,MLP-esm,split5,all,990,0.51886,0.49892,0.53778,0,45
GATA1,MLP-esm,split5,resolvable,86,0.3969,0.32403,0.47132,0,45
