perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"at7519|5.0",True,False,False,-559.997,1512.79
"ataluren|0.05",False,False,False,1218.28,8223.94
"ataluren|0.5",True,False,False,-197.878,2286.5
"ataluren|5.0",True,False,False,351.623,2917.42
"atazanavir|0.05",True,False,False,-365.967,2253.19
"atazanavir|0.5",True,False,False,-488.915,1951.03
"atazanavir|5.0",True,False,False,-250.801,3514.84
"auranofin|0.05",False,False,False,1636.89,9016.39
"auranofin|0.5",True,False,False,-456.444,1711.13
"auranofin|5.0",True,False,False,2184.8,6611.55
"azd-7648|0.05",True,False,False,2696.75,5685.62
"azd-7648|0.5",True,False,False,643.909,4528.03
"azd-7648|5.0",True,False,False,-599.132,1062.43
"azd-8055|0.05",True,False,False,596.392,3827.5
"azd-8055|0.5",False,False,False,4498.17,21691.6
"azd-8055|5.0",True,False,False,-15.2571,4318.03
"azd1390|0.05",True,False,False,2809.98,7019.87
"azd1390|0.5",True,False,False,1908.78,5270.32
"azd1390|5.0",True,False,False,-161.533,2784.96
"azd2858|0.05",True,False,False,1104.27,4574.2
"azd2858|0.5",False,False,False,-530.935,1806.11
"azd2858|5.0",True,False,False,-502.609,815.648
"azithromycin|0.05",False,False,False,1472.36,6399.43
"azithromycin|0.5",True,False,False,195.241,4920.57
"azithromycin|5.0",False,False,False,1003.05,5933.91
"baicalin|0.05",True,False,False,-195.793,2952.57
"baicalin|0.5",True,False,False,-553.935,1742.24
"baicalin|5.0",False,False,False,61.3403,2698.11
"balsalazide|0.05",True,False,False,4891.06,11888.4
"balsalazide|0.5",False,False,False,550.266,3825.24
"balsalazide|5.0",True,False,False,5129.13,12044
"bay1125976|0.05",True,False,False,1216.4,5636.36
"bay1125976|0.5",True,False,False,235.877,3613.03
"bay1125976|5.0",True,False,False,3868.36,10949.3
"belinostat|0.05",True,False,False,291.743,3102.02
"belinostat|0.5",True,False,False,-46.1627,2221.26
"belinostat|5.0",True,False,False,2932.95,6949.52
"belumosudil|0.05",False,False,False,609.656,4625.29
"belumosudil|0.5",True,False,False,835.292,5197.77
"belumosudil|5.0",True,False,False,2307.07,15097.4
"belzutifan|0.5",False,False,False,2359.53,5864.93
"belzutifan|5.0",True,False,False,-161.812,4621.5
"bendamustine|0.05",True,False,False,1821.37,8991.65
"bendamustine|0.5",False,False,False,5175.85,17376.5
"bendamustine|5.0",True,False,False,1443.74,5389.99
"benproperine|0.05",True,False,False,309.137,3997.36
"benproperine|0.5",False,False,False,909.286,6403.54
"benproperine|5.0",True,False,False,359.029,3231.86
"bentamapimod|0.05",True,False,False,-144.328,2342.17
"bentamapimod|0.5",False,False,False,331.594,4140.25
"bentamapimod|5.0",True,False,False,-209.784,2768.09
"benztropine|0.05",True,False,False,-255.887,2555.63
"benztropine|0.5",False,False,False,871.006,2892.26
"benztropine|5.0",False,False,False,1582.78,5761.91
"berbamine|0.05",True,False,False,913.776,6493.23
"berbamine|0.5",False,False,False,344.552,2146.24
"berbamine|5.0",True,False,False,268.402,3187.92
"berberine|0.05",True,False,False,844.167,5701.45
"berberine|0.5",True,False,False,-566.475,1600.35
"berberine|5.0",True,False,False,3074.09,11269.3
"bergenin|0.05",True,False,False,151.932,3572.82
"bergenin|0.5",True,False,False,-169.888,1871.03
