perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Azacitidine  | 100.0",False,False,False,-4503.66,24596.9
"Azacitidine  | 1000.0",False,False,False,-13191.9,18732.2
"Azacitidine  | 10000.0",False,False,False,-5738.62,62090.2
"BMS-265246 | 10.0",False,False,False,13102.6,122785
"BMS-265246 | 100.0",False,False,False,15438.9,92616.2
"BMS-265246 | 1000.0",False,False,False,12753.9,65616.3
"BMS-265246 | 10000.0",False,False,False,43001.1,188669
"BMS-536924 | 10.0",False,False,False,-7157.74,28209.9
"BMS-536924 | 100.0",False,False,False,-2515.06,30677
"BMS-536924 | 1000.0",False,False,False,1421.7,62096.3
"BMS-536924 | 10000.0",False,False,False,15688.6,103413
"BMS-754807 | 10.0",False,False,False,-966.643,39805.4
"BMS-754807 | 100.0",False,False,False,-13895.9,15112.4
"BMS-754807 | 1000.0",False,False,False,15229.6,175040
"BMS-911543 | 10.0",False,False,False,1535.37,79600.3
"BMS-911543 | 100.0",False,False,False,-6191.29,39382.8
"BMS-911543 | 1000.0",False,False,False,17946.7,143548
"BMS-911543 | 10000.0",False,False,False,-5137.59,40941.1
"BRD4770 | 10.0",False,False,False,7382.78,74312.8
"BRD4770 | 100.0",False,False,False,-1135.26,56196.1
"BRD4770 | 1000.0",False,False,False,27423,120227
"BRD4770 | 10000.0",False,False,False,-2271.11,39421
"Barasertib (AZD1152-HQPA) | 10.0",False,False,False,-644.263,69277
"Barasertib (AZD1152-HQPA) | 100.0",False,False,False,21269.2,123748
"Barasertib (AZD1152-HQPA) | 1000.0",False,False,False,17711.1,68905.4
"Barasertib (AZD1152-HQPA) | 10000.0",False,False,False,14572,95151.2
"Baricitinib (LY3009104, INCB028050) | 10.0",False,False,False,6085.51,81176.6
"Baricitinib (LY3009104, INCB028050) | 100.0",False,False,False,-21.4612,60139.8
"Baricitinib (LY3009104, INCB028050) | 1000.0",False,False,False,5087.51,64794.9
"Baricitinib (LY3009104, INCB028050) | 10000.0",False,False,False,-6507.75,18968.8
"Belinostat (PXD101) | 10.0",False,False,False,-8330.5,25375.9
"Belinostat (PXD101) | 100.0",False,False,False,23755.4,191693
"Belinostat (PXD101) | 1000.0",False,False,False,5379.07,77701.8
"Belinostat (PXD101) | 10000.0",False,False,False,-10254.2,23995.8
"Bisindolylmaleimide IX (Ro 31-8220 Mesylate) | 10.0",False,False,False,-23.3661,67191
"Bisindolylmaleimide IX (Ro 31-8220 Mesylate) | 100.0",False,False,False,-7079,27350.3
"Bisindolylmaleimide IX (Ro 31-8220 Mesylate) | 1000.0",False,False,False,-282.731,60740.6
"Bosutinib (SKI-606) | 10.0",False,False,False,6661.67,56604.4
"Bosutinib (SKI-606) | 100.0",False,False,False,27203.8,138812
"Bosutinib (SKI-606) | 1000.0",False,False,False,74493.2,82911.7
"Bosutinib (SKI-606) | 10000.0",False,False,False,3039.67,102725
"Busulfan  | 10.0",False,False,False,-11872.2,32137
