perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Mocetinostat (MGCD0103) | 10000.0",False,False,False,12444.8,123274
"Momelotinib (CYT387) | 10.0",False,False,False,-4764.45,25056.3
"Momelotinib (CYT387) | 100.0",False,False,False,28453.9,161228
"Momelotinib (CYT387) | 1000.0",False,False,False,12203.8,111443
"Momelotinib (CYT387) | 10000.0",False,False,False,-5676.81,38485.5
"Motesanib Diphosphate (AMG-706) | 10.0",False,False,False,1085.24,41201.9
"Motesanib Diphosphate (AMG-706) | 100.0",False,False,False,-2590.07,43089.5
"Motesanib Diphosphate (AMG-706) | 1000.0",False,False,False,-5790.37,23398
"Motesanib Diphosphate (AMG-706) | 10000.0",False,False,False,12938.2,90378.8
"NVP-BSK805 2HCl | 10.0",False,False,False,-9357.4,28757.1
"NVP-BSK805 2HCl | 100.0",False,False,False,-4086.06,44046.7
"NVP-BSK805 2HCl | 1000.0",False,False,False,-279.048,79238.1
"NVP-BSK805 2HCl | 10000.0",False,False,False,25772.8,144018
"Navitoclax (ABT-263) | 10.0",False,False,False,810.583,75487.2
"Navitoclax (ABT-263) | 100.0",False,False,False,-2842.47,37560.4
"Navitoclax (ABT-263) | 1000.0",False,False,False,7954.2,69658.9
"Navitoclax (ABT-263) | 10000.0",True,False,False,7184.65,69923.4
"Nilotinib (AMN-107) | 10.0",False,False,False,839.061,68875.7
"Nilotinib (AMN-107) | 100.0",False,False,False,19336.6,59364.3
"Nilotinib (AMN-107) | 1000.0",False,False,False,-8477.04,17368.8
"Nilotinib (AMN-107) | 10000.0",False,False,False,-12108.2,22498.8
"Nintedanib (BIBF 1120) | 10.0",False,False,False,-11239.9,17424.5
"Nintedanib (BIBF 1120) | 100.0",False,False,False,-3725.12,43874.8
"Nintedanib (BIBF 1120) | 1000.0",False,False,False,38298.9,177170
"Nintedanib (BIBF 1120) | 10000.0",False,False,False,-2632.66,35523.9
"Obatoclax Mesylate (GX15-070) | 10.0",False,False,False,10295.4,75404.1
"Obatoclax Mesylate (GX15-070) | 100.0",False,False,False,55091.7,117674
"Obatoclax Mesylate (GX15-070) | 1000.0",False,False,False,7859.91,50558.5
"Obatoclax Mesylate (GX15-070) | 10000.0",True,False,False,9265.4,65878.9
"Ofloxacin | 10.0",False,False,False,2942.25,78644.6
"Ofloxacin | 100.0",False,False,False,18888.3,168456
"Ofloxacin | 1000.0",False,False,False,-5410.95,16878.9
"Ofloxacin | 10000.0",False,False,False,3700.69,76485
"PCI-34051 | 10.0",False,False,False,10971.4,81513
"PCI-34051 | 100.0",False,False,False,-7533.55,33131
"PCI-34051 | 1000.0",False,False,False,-8862.45,21359.7
"PCI-34051 | 10000.0",False,False,False,1645.82,34205.7
"PD173074 | 10.0",False,False,False,7720.97,63194.3
"PD173074 | 100.0",True,False,False,-3597.27,28478.4
"PD173074 | 1000.0",True,False,False,-4629.87,46010.3
"PD173074 | 10000.0",False,False,False,109.144,46104.2
"PD98059 | 10.0",False,False,False,557.331,80070.8
"PD98059 | 100.0",False,False,False,4236.76,73056.6
"PD98059 | 1000.0",False,False,False,13763.9,72651
"PD98059 | 10000.0",False,False,False,4455.73,91442.8
"PF-3845 | 10.0",False,False,False,4450.38,59293.7
"PF-3845 | 100.0",False,False,False,-11328.4,24454.4
"PF-3845 | 1000.0",False,False,False,457.866,33526
"PF-3845 | 10000.0",False,False,False,-1585,43548.9
"PF-573228 | 10.0",False,False,False,1826.62,43979.2
"PF-573228 | 100.0",False,False,False,2785.05,48286.6
"PF-573228 | 1000.0",False,False,False,-1707.35,56995.1
"PF-573228 | 10000.0",False,False,False,8266.12,66380.1
"PFI-1 (PF-6405761) | 10.0",False,False,False,7266.23,62492.5
"PFI-1 (PF-6405761) | 100.0",False,False,False,-6611.01,25508.3
"PFI-1 (PF-6405761) | 1000.0",False,False,False,24536.3,82358
"PFI-1 (PF-6405761) | 10000.0",False,False,False,-4801.2,42836.3
"PHA-680632 | 10.0",False,False,False,-4555.81,43924.1
"PHA-680632 | 100.0",False,False,False,12521,60906.6
"PHA-680632 | 1000.0",False,False,False,-9824.29,24111.8
"PHA-680632 | 10000.0",False,False,False,118350,265891
"PJ34 | 10.0",False,False,False,2148.29,70309.8
"PJ34 | 100.0",False,False,False,-3502.99,46054.1
"PJ34 | 1000.0",False,False,False,-12711.3,14020.2
"PJ34 | 10000.0",False,False,False,-2684.05,43234
"Panobinostat (LBH589) | 10.0",True,False,False,-7298.32,28495.6
"Panobinostat (LBH589) | 100.0",False,False,False,-4688.85,26545.8
"Panobinostat (LBH589) | 1000.0",True,False,False,-4615.25,18842.2
"Panobinostat (LBH589) | 10000.0",False,False,False,-8516.16,21876.9
"Patupilone (EPO906, Epothilone B) | 10.0",False,False,False,10143.7,64511.5
"Patupilone (EPO906, Epothilone B) | 100.0",False,False,False,4325.17,59948.8
"Patupilone (EPO906, Epothilone B) | 1000.0",False,False,False,7363.76,43870.6
"Patupilone (EPO906, Epothilone B) | 10000.0",False,False,False,72763.4,163709
"Pelitinib (EKB-569) | 10.0",False,False,False,58036.6,206600
"Pelitinib (EKB-569) | 100.0",False,False,False,-2560.82,33029.7
"Pelitinib (EKB-569) | 1000.0",False,False,False,-5707.69,39293.8
"Pelitinib (EKB-569) | 10000.0",False,False,False,-5138.05,32351.8
"Pirarubicin | 10.0",False,False,False,2895.69,55217
"Pirarubicin | 100.0",False,False,False,-1998.83,40146
"Pirarubicin | 1000.0",False,False,False,-3056.31,55581.9
"Pirarubicin | 10000.0",False,False,False,57146.1,156462
"Pracinostat (SB939) | 10.0",False,False,False,5766.4,69858.1
"Pracinostat (SB939) | 100.0",False,False,False,-6914.29,25993.2
"Pracinostat (SB939) | 1000.0",False,False,False,3674.94,77855.8
"Pracinostat (SB939) | 10000.0",False,False,False,-9364.18,22400.5
"Prednisone  | 10.0",False,False,False,40917.7,128019
"Prednisone  | 100.0",False,False,False,-203.714,46681.1
"Prednisone  | 1000.0",False,False,False,6083.98,42417.7
"Prednisone  | 10000.0",False,False,False,-8823.4,26926
"Quercetin | 10.0",False,False,False,12656.1,128185
"Quercetin | 100.0",False,False,False,-1155.96,37535.6
"Quercetin | 1000.0",False,False,False,677.68,87057.7
"Quercetin | 10000.0",False,False,False,-7013.9,38577.2
"Quisinostat (JNJ-26481585) 2HCl | 10.0",False,False,False,14755.6,108765
"Quisinostat (JNJ-26481585) 2HCl | 100.0",False,False,False,-380.604,43281.2
"Quisinostat (JNJ-26481585) 2HCl | 1000.0",False,False,False,-7228.79,34200.5
"Quisinostat (JNJ-26481585) 2HCl | 10000.0",True,False,False,-8179.21,20792.1
"RG108 | 10.0",False,False,False,3350.74,58088.4
"RG108 | 100.0",False,False,False,-10859.8,18334.7
"RG108 | 1000.0",False,False,False,4989.13,58976.6
"RG108 | 10000.0",False,False,False,-2257.31,34688.2
"Raltitrexed | 10.0",True,False,False,106697,234254
"Raltitrexed | 100.0",False,False,False,19604,64156.4
"Raltitrexed | 1000.0",True,False,False,92839,323156
"Raltitrexed | 10000.0",False,False,False,50166.3,100789
"Ramelteon | 10.0",False,False,False,16236.4,56026.6
"Ramelteon | 100.0",False,False,False,3054.77,65942.1
"Ramelteon | 1000.0",False,False,False,1238.78,47404.2
"Ramelteon | 10000.0",False,False,False,-67.0217,88785.6
"Regorafenib (BAY 73-4506) | 10.0",False,False,False,2687.47,35712.7
"Regorafenib (BAY 73-4506) | 100.0",False,False,False,15270.6,128080
"Regorafenib (BAY 73-4506) | 1000.0",False,False,False,-7410.19,26289.8
"Regorafenib (BAY 73-4506) | 10000.0",True,False,False,5526.9,53335.8
"Resminostat | 10.0",False,False,False,3048.09,48810.2
"Resminostat | 100.0",False,False,False,3161.17,97824.8
"Resminostat | 1000.0",False,False,False,-2617.51,49627.7
"Resminostat | 10000.0",False,False,False,-1321.42,70898
"Resveratrol | 10.0",False,False,False,15485.3,83792.9
"Resveratrol | 100.0",False,False,False,1482.07,44552.5
"Resveratrol | 1000.0",False,False,False,-5470.31,36389.6
"Resveratrol | 10000.0",False,False,False,-6357.47,37967.2
"Rigosertib (ON-01910) | 10.0",False,False,False,-1506.79,41739.8
"Rigosertib (ON-01910) | 100.0",False,False,False,4138.43,70850.7
"Rigosertib (ON-01910) | 1000.0",False,False,False,27839.1,91138.6
"Roscovitine (Seliciclib,CYC202) | 10.0",False,False,False,6708.47,49235.8
"Roscovitine (Seliciclib,CYC202) | 100.0",False,False,False,-11088,25468.7
"Roscovitine (Seliciclib,CYC202) | 1000.0",False,False,False,11646.5,57051.7
"Roscovitine (Seliciclib,CYC202) | 10000.0",False,False,False,-6322.44,26975.3
"Roxadustat (FG-4592) | 10.0",False,False,False,2719.71,49210.1
"Roxadustat (FG-4592) | 100.0",False,False,False,-749.766,69315.3
"Roxadustat (FG-4592) | 1000.0",False,False,False,-4547.17,28477.4
"Roxadustat (FG-4592) | 10000.0",False,False,False,994.408,46207.5
"Rucaparib (AG-014699,PF-01367338) phosphate | 10.0",False,False,False,11444.8,78564.2
"Rucaparib (AG-014699,PF-01367338) phosphate | 100.0",False,False,False,895.066,44358.5
"Rucaparib (AG-014699,PF-01367338) phosphate | 1000.0",False,False,False,-5017.3,44455.1
"Rucaparib (AG-014699,PF-01367338) phosphate | 10000.0",False,False,False,-3412.66,49599.8
"Ruxolitinib (INCB018424) | 10.0",False,False,False,16768.3,55805.7
"Ruxolitinib (INCB018424) | 100.0",False,False,False,7707.35,25816.5
"Ruxolitinib (INCB018424) | 1000.0",False,False,False,11868.6,82245.3
"Ruxolitinib (INCB018424) | 10000.0",False,False,False,22442.9,149920
"S-Ruxolitinib (INCB018424) | 10.0",False,False,False,14136.4,155782
"S-Ruxolitinib (INCB018424) | 100.0",False,False,False,-1946.18,40667.7
"S-Ruxolitinib (INCB018424) | 1000.0",False,False,False,-1784.43,32356.4
"S-Ruxolitinib (INCB018424) | 10000.0",False,False,False,-8472.46,33320.7
"S3I-201 | 10.0",False,False,False,26056.6,166324
"S3I-201 | 100.0",False,False,False,-813.045,49152.5
"S3I-201 | 1000.0",False,False,False,1323.72,47419
"S3I-201 | 10000.0",False,False,False,3585.49,72654.8
"SB431542 | 10.0",False,False,False,10085.7,45107.4
"SB431542 | 100.0",False,False,False,-11297.7,19881
"SB431542 | 1000.0",False,False,False,-3413.12,21669.7
"SB431542 | 10000.0",False,False,False,-8058.08,17329.3
"SGI-1776 free base | 10.0",True,False,False,14453.6,154912
"SGI-1776 free base | 100.0",False,False,False,-3013,50642.5
"SGI-1776 free base | 1000.0",False,False,False,28544.7,169545
"SGI-1776 free base | 10000.0",False,False,False,-3222.59,39637.8
"SL-327 | 10.0",False,False,False,-6998.19,34653.1
"SL-327 | 100.0",False,False,False,-8855.48,33977.2
"SL-327 | 1000.0",False,False,False,-8412.55,22343.9
"SL-327 | 10000.0",False,False,False,14153.7,113002
"SNS-314 | 10.0",False,False,False,35096.9,143601
"SNS-314 | 100.0",True,False,False,51094.2,78091.7
"SNS-314 | 1000.0",False,False,False,27508.4,94697.4
"SNS-314 | 10000.0",False,False,False,21064.5,100014
"SRT1720 HCl | 10.0",False,False,False,3791.83,67175.6
"SRT1720 HCl | 100.0",False,False,False,4060.24,73870
"SRT1720 HCl | 1000.0",False,False,False,-14130.3,17016.4
"SRT1720 HCl | 10000.0",False,False,False,25732.2,126675
"SRT2104 (GSK2245840) | 10.0",False,False,False,554.825,58351.1
"SRT2104 (GSK2245840) | 100.0",False,False,False,13453.4,94875.5
"SRT2104 (GSK2245840) | 1000.0",False,False,False,-3602.22,33042.5
"SRT2104 (GSK2245840) | 10000.0",False,False,False,-3747.95,44596.9
"SRT3025 HCl | 10.0",False,False,False,-159.783,38722.6
"SRT3025 HCl | 100.0",True,False,False,-10646.2,19183.8
"SRT3025 HCl | 1000.0",False,False,False,-5830.08,38570.1
"SRT3025 HCl | 10000.0",False,False,False,378.148,24739.2
"Selisistat (EX 527) | 10.0",False,False,False,21223,147357
"Selisistat (EX 527) | 100.0",False,False,False,7075.54,52804.3
"Selisistat (EX 527) | 1000.0",False,False,False,9273.88,71093.1
"Selisistat (EX 527) | 10000.0",False,False,False,-609.711,60179.4
"Sirtinol | 10.0",False,False,False,-7636.15,27141
"Sirtinol | 100.0",False,False,False,-11345.3,20734.6
"Sirtinol | 1000.0",False,False,False,3918.09,78212
"Sirtinol | 10000.0",False,False,False,-5824.79,45255.1
"Sodium Phenylbutyrate | 10.0",False,False,False,-2125.84,44663.4
"Sodium Phenylbutyrate | 100.0",False,False,False,-1537.72,55706.8
"Sodium Phenylbutyrate | 1000.0",False,False,False,-2654.35,25965.9
"Sodium Phenylbutyrate | 10000.0",False,False,False,-5701.72,31174.1
"Sorafenib Tosylate | 10.0",False,False,False,13531.4,120502
"Sorafenib Tosylate | 100.0",False,False,False,7901.69,66184.1
"Sorafenib Tosylate | 1000.0",False,False,False,6800.42,75978.8
"Sorafenib Tosylate | 10000.0",True,False,False,-3438.92,35373.5
"Streptozotocin (STZ) | 10.0",False,False,False,6436.25,49141.7
"Streptozotocin (STZ) | 100.0",False,False,False,-5440.71,50432.8
"Streptozotocin (STZ) | 1000.0",False,False,False,3424.18,44155.1
"Streptozotocin (STZ) | 10000.0",False,False,False,-4383.94,29286
"TAK-901 | 10.0",False,False,False,40187.9,152805
"TAK-901 | 100.0",False,False,False,-5865.82,44256.1
"TAK-901 | 1000.0",False,False,False,1278.08,48946.5
"TG101209 | 10.0",True,False,False,6560.2,62857.8
"TG101209 | 100.0",False,False,False,5319.87,74966.4
"TG101209 | 1000.0",False,False,False,66318.6,193281
"TG101209 | 10000.0",False,False,False,1897.52,77820.5
"TGX-221 | 10.0",False,False,False,12748.1,100570
"TGX-221 | 100.0",False,False,False,-3995.34,26180.8
"TGX-221 | 1000.0",False,False,False,-11899.7,12087.2
"TGX-221 | 10000.0",False,False,False,8434.32,79993.6
"TMP195 | 10.0",False,False,False,3428.01,47062.6
"TMP195 | 100.0",False,False,False,5171.85,89336.8
"TMP195 | 1000.0",False,False,False,-5842.25,30290.8
"TMP195 | 10000.0",False,False,False,12305.8,82772.6
"Tacedinaline (CI994) | 10.0",False,False,False,1175.19,58213.9
"Tacedinaline (CI994) | 100.0",False,False,False,10669.2,66533.2
"Tacedinaline (CI994) | 1000.0",False,False,False,2227.3,90608.5
"Tacedinaline (CI994) | 10000.0",False,False,False,-3870.45,53252.7
"Tanespimycin (17-AAG) | 10.0",False,False,False,9475.46,53650.6
"Tanespimycin (17-AAG) | 100.0",False,False,False,84317.9,233631
"Tanespimycin (17-AAG) | 10000.0",True,False,False,74277.8,117539
"Tazemetostat (EPZ-6438) | 10.0",False,False,False,19346.6,160285
"Tazemetostat (EPZ-6438) | 100.0",False,False,False,-7396.27,10288.4
"Tazemetostat (EPZ-6438) | 1000.0",False,False,False,7619.4,76128.5
"Tazemetostat (EPZ-6438) | 10000.0",False,False,False,-672.153,35696.4
"Temsirolimus (CCI-779, NSC 683864) | 10.0",False,False,False,20590.5,55485
"Temsirolimus (CCI-779, NSC 683864) | 100.0",False,False,False,19018.9,195065
"Temsirolimus (CCI-779, NSC 683864) | 1000.0",False,False,False,-7998.96,33577
"Temsirolimus (CCI-779, NSC 683864) | 10000.0",False,False,False,-104.064,55571.4
"Thalidomide | 10.0",False,False,False,-2831.7,30757.5
"Thalidomide | 100.0",False,False,False,-8017.76,34356
"Thalidomide | 1000.0",False,False,False,5037.36,70721.8
"Thalidomide | 10000.0",False,False,False,16751.2,109360
"Thiotepa | 10.0",False,False,False,-8731.54,32953.5
"Thiotepa | 100.0",False,False,False,529.733,42510.7
"Thiotepa | 1000.0",False,False,False,22928,143184
"Thiotepa | 10000.0",False,False,False,21174.8,114774
"Tie2 kinase inhibitor | 10.0",False,False,False,-7923.51,29647.5
"Tie2 kinase inhibitor | 100.0",False,False,False,-3807.78,35229.9
"Tie2 kinase inhibitor | 1000.0",False,False,False,14721.7,71713
"Tie2 kinase inhibitor | 10000.0",False,False,False,2010.94,51980.7
"Tofacitinib (CP-690550) Citrate | 10.0",False,False,False,-8031.03,23323.7
"Tofacitinib (CP-690550) Citrate | 100.0",False,False,False,-655.686,53148.6
"Tofacitinib (CP-690550) Citrate | 1000.0",False,False,False,-4426.81,45225
"Tofacitinib (CP-690550) Citrate | 10000.0",False,False,False,-7883.19,27402.4
"Toremifene Citrate | 10.0",False,False,False,-10289.8,16017.2
"Toremifene Citrate | 100.0",False,False,False,4028.72,81159.7
"Toremifene Citrate | 1000.0",False,False,False,-9397.25,22498
"Toremifene Citrate | 10000.0",True,False,False,-6703.82,24194.9
"Tozasertib (VX-680, MK-0457) | 10.0",False,False,False,-3784.81,39601.1
"Tozasertib (VX-680, MK-0457) | 100.0",False,False,False,5711.62,66758
"Tozasertib (VX-680, MK-0457) | 1000.0",False,False,False,8071.31,50368.6
"Tozasertib (VX-680, MK-0457) | 10000.0",False,False,False,16960.5,75409.7
"Trametinib (GSK1120212) | 10.0",False,False,False,1668.06,63375.8
"Trametinib (GSK1120212) | 100.0",False,False,False,-12188.4,16620.6
"Trametinib (GSK1120212) | 1000.0",False,False,False,2203.23,52962.4
"Trametinib (GSK1120212) | 10000.0",False,False,False,17481.6,65782.4
"Tranylcypromine (2-PCPA) HCl | 10.0",False,False,False,-6596.92,28887.2
"Tranylcypromine (2-PCPA) HCl | 100.0",False,False,False,9090.56,119938
"Tranylcypromine (2-PCPA) HCl | 1000.0",False,False,False,-8897.42,19877.6
"Tranylcypromine (2-PCPA) HCl | 10000.0",False,False,False,-953.942,44836.9
"Triamcinolone Acetonide | 10.0",False,False,False,4287.17,40300.6
"Triamcinolone Acetonide | 100.0",False,False,False,15148.7,59246
"Triamcinolone Acetonide | 1000.0",False,False,False,1556.91,32341.5
"Triamcinolone Acetonide | 10000.0",False,False,False,-1833.79,44387.9
"Trichostatin A (TSA) | 10.0",False,False,False,18562,80505.5
"Trichostatin A (TSA) | 100.0",False,False,False,15627.6,93322.2
"Trichostatin A (TSA) | 1000.0",False,False,False,6023.08,110472
"Trichostatin A (TSA) | 10000.0",False,False,False,16559.2,84435
"Tubastatin A HCl | 10.0",False,False,False,-5679,27429.2
"Tubastatin A HCl | 100.0",False,False,False,13627,105031
"Tubastatin A HCl | 1000.0",False,False,False,-3285.66,37877
"Tubastatin A HCl | 10000.0",False,False,False,582.028,45814.8
"Tucidinostat (Chidamide) | 10.0",False,False,False,-10040.8,17512.9
"Tucidinostat (Chidamide) | 100.0",False,False,False,5604.01,46752.2
"Tucidinostat (Chidamide) | 1000.0",False,False,False,-10201.1,21923.3
"Tucidinostat (Chidamide) | 10000.0",False,False,False,-5452.68,32891.9
"UNC0379 | 10.0",False,False,False,-8020.92,48746.2
"UNC0379 | 100.0",False,False,False,11496.4,68943.4
"UNC0379 | 1000.0",False,False,False,31877.3,212843
"UNC0379 | 10000.0",False,False,False,11273.4,51594.3
"UNC0631 | 10.0",False,False,False,-10498.2,30862.6
"UNC0631 | 100.0",False,False,False,15321.1,150242
"UNC0631 | 1000.0",False,False,False,2381.45,89151.8
"UNC0631 | 10000.0",False,False,False,18486.3,69693.3
"UNC1999 | 10.0",False,False,False,-5377.3,30905.1
"UNC1999 | 100.0",False,False,False,3114,30302.1
"UNC1999 | 1000.0",False,False,False,-3537.6,33643.8
"UNC1999 | 10000.0",False,False,False,-8408.41,25155
"Valproic acid sodium salt (Sodium valproate) | 10.0",False,False,False,-4816.22,33794
"Valproic acid sodium salt (Sodium valproate) | 100.0",False,False,False,-11565.2,16630.7
"Valproic acid sodium salt (Sodium valproate) | 1000.0",False,False,False,762.612,70520.4
"Valproic acid sodium salt (Sodium valproate) | 10000.0",False,False,False,21437.6,66857.7
"Vandetanib (ZD6474) | 10.0",False,False,False,6015.5,117284
"Vandetanib (ZD6474) | 100.0",False,False,False,14472.5,71633
"Vandetanib (ZD6474) | 1000.0",False,False,False,-8500.78,20074.5
"Vandetanib (ZD6474) | 10000.0",True,False,False,22753.2,118246
"Veliparib (ABT-888) | 10.0",False,False,False,-3183.75,32155.2
"Veliparib (ABT-888) | 100.0",False,False,False,-6670.56,27331.2
"Veliparib (ABT-888) | 1000.0",False,False,False,-1910.51,33679.7
"Veliparib (ABT-888) | 10000.0",False,False,False,1249.46,67228
"WHI-P154 | 10.0",False,False,False,-4443.14,36298.1
"WHI-P154 | 100.0",False,False,False,13066.7,88527.4
"WHI-P154 | 1000.0",False,False,False,10260.9,81615.8
"WHI-P154 | 10000.0",False,False,False,-6161.23,23179.1
"WP1066 | 10.0",False,False,False,821.615,47755.7
"WP1066 | 100.0",False,False,False,-8202.62,39846.3
"WP1066 | 1000.0",False,False,False,-6571.69,29737.4
"WP1066 | 10000.0",False,False,False,15071.8,80096.1
"XAV-939 | 10.0",False,False,False,7568.2,112202
"XAV-939 | 100.0",False,False,False,17795.8,61944.8
"XAV-939 | 1000.0",False,False,False,9939.51,98193.4
"XAV-939 | 10000.0",False,False,False,6462.92,59475.5
"ZM 447439 | 10.0",False,False,False,-3868.55,39377.9
"ZM 447439 | 100.0",False,False,False,-3662.2,62452.6
"ZM 447439 | 1000.0",False,False,False,3558.97,56789.2
"ZM 447439 | 10000.0",False,False,False,7925.95,118947
"Zileuton | 10.0",False,False,False,-7797.93,23311.2
"Zileuton | 100.0",False,False,False,-9291.48,18619.5
"Zileuton | 1000.0",False,False,False,28757.5,136315
"Zileuton | 10000.0",False,False,False,3627.23,81293.1
