perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"(r)-verapamil|0.05",False,False,False,224.453,924.224
"(r)-verapamil|0.5",True,False,False,197.443,1163.31
"(r)-verapamil|5.0",False,False,False,213.652,860.258
"(s)-crizotinib|0.05",True,False,False,-0.709636,437.822
"(s)-crizotinib|0.5",True,False,False,189.931,748.544
"(s)-crizotinib|5.0",True,False,False,305.254,550.505
"18β-glycyrrhetinic acid|0.05",True,False,False,59.4977,608.949
"18β-glycyrrhetinic acid|0.5",True,False,False,30.021,738.484
"18β-glycyrrhetinic acid|5.0",True,False,False,-26.2417,355.464
"4egi-1|0.05",True,False,False,16.53,331.053
"4egi-1|0.5",True,False,False,850.79,1845.71
"4egi-1|5.0",True,False,False,-140.402,155.696
"5-azacytidine|0.05",False,False,False,268.991,786.215
"5-azacytidine|0.5",True,False,False,307.607,2286.45
"5-azacytidine|5.0",True,False,False,472.108,1162.27
"5-fluorouracil|0.05",False,False,False,75.1351,453.573
"5-fluorouracil|0.5",True,False,False,-2.0293,355.788
"5-fluorouracil|5.0",True,False,False,311.336,891.448
"8-hydroxyquinoline|0.05",True,False,False,403.231,869.329
"8-hydroxyquinoline|0.5",True,False,False,-17.2433,511.397
"8-hydroxyquinoline|5.0",True,False,False,294.665,657.062
"9-ing-41|0.05",False,False,False,50.2458,317.231
"9-ing-41|0.5",True,False,False,50.1722,923.256
"9-ing-41|5.0",False,False,False,467.978,2419.06
"abemaciclib|0.05",True,False,False,420.519,1235.51
"abemaciclib|0.5",True,False,False,632.514,2002.02
"abemaciclib|5.0",True,False,False,77.8752,391.914
"abiraterone acetate|0.05",True,False,False,62.8107,401.15
"abiraterone acetate|0.5",True,False,False,273.328,1054.11
"abiraterone acetate|5.0",True,False,False,225.691,959.495
"acetazolamide|0.05",True,False,False,237.991,883.073
"acetazolamide|0.5",True,False,False,346.361,1979.93
"acetazolamide|5.0",True,False,False,205.257,1124.61
"acetohexamide|0.05",True,False,False,869.771,5217.93
"acetohexamide|0.5",True,False,False,-43.9181,387.747
"acetohexamide|5.0",True,False,False,342.487,1070.14
"adagrasib|0.05",False,False,False,328.601,1336.11
"adagrasib|0.5",True,False,False,440.183,1107.75
"adagrasib|5.0",True,False,False,97.3679,529.375
"adenine|0.05",True,False,False,86.2939,401.762
"adenine|0.5",True,False,False,-93.4876,190.588
"adenine|5.0",True,False,False,259.381,612.439
"adenosine|0.05",True,False,False,352.626,1033.52
"adenosine|0.5",True,False,False,82.0174,470.101
"adenosine|5.0",True,False,False,454.695,1239.81
"afatinib|0.05",True,False,False,233.779,1221.69
"afatinib|0.5",True,False,False,292.138,1508.12
"afatinib|5.0",False,False,False,348.037,914.093
"aliskiren|0.05",True,False,False,224.891,751.767
"aliskiren|0.5",True,False,False,121.119,705.655
"aliskiren|5.0",True,False,False,597.367,1089.31
"allantoin|0.05",True,False,False,142.802,703.664
"allantoin|0.5",True,False,False,58.4037,618.164
"allantoin|5.0",True,False,False,335.766,677.964
"allopurinol|0.05",True,False,False,5.60712,280.804
"allopurinol|0.5",True,False,False,491.654,1234.27
"allopurinol|5.0",True,False,False,256.924,684.727
"almonertinib|0.05",True,False,False,186.586,1200.83
"almonertinib|0.5",True,False,False,345.711,1422.57
"almonertinib|5.0",True,False,False,93.06,400.16
"alpelisib|0.05",True,False,False,4.84182,350.725
"alpelisib|0.5",True,False,False,384.322,1236.83
"alpelisib|5.0",True,False,False,-109.114,198.147
"altretamine|0.05",True,False,False,255.853,2100.32
"altretamine|0.5",True,False,False,524.352,1002.73
"altretamine|5.0",True,False,False,120.62,506.98
"amsacrine|0.05",True,False,False,43.2177,480.344
"amsacrine|0.5",True,False,False,159.112,671.218
"amsacrine|5.0",True,False,False,152.914,763.094
"anastrozole|0.05",True,False,False,264.941,1032.78
"anastrozole|0.5",True,False,False,600.297,1492.94
"anastrozole|5.0",True,False,False,-11.7607,618.874
"anethole trithione|0.05",True,False,False,551.376,1572.79
"anethole trithione|0.5",True,False,False,724.828,1589.95
"anethole trithione|5.0",True,False,False,1399.65,2570.66
"apalutamide|0.05",True,False,False,55.5635,575.904
"apalutamide|0.5",True,False,False,194.607,425.674
"apalutamide|5.0",True,False,False,304.547,2006.83
"aprepitant|0.05",False,False,False,91.793,587.706
"aprepitant|0.5",False,False,False,74.3599,738.464
"aprepitant|5.0",False,False,False,546.253,1398.41
"apto-253|0.05",True,False,False,253.653,661.304
"apto-253|0.5",True,False,False,529.047,1449.68
"apto-253|5.0",True,False,False,247.417,1087.05
"arbutin|0.05",True,False,False,126.459,667.525
"arbutin|0.5",False,False,False,324.722,1485.93
"arbutin|5.0",True,False,False,-68.7598,244.984
"artemether|0.05",True,False,False,295.636,1472.64
"artemether|0.5",True,False,False,263.4,929.625
"artemether|5.0",True,False,False,459.127,1704.32
"artesunate|0.05",False,False,False,228.556,665.689
"artesunate|0.5",True,False,False,149.519,538.795
"artesunate|5.0",True,False,False,392.378,1304.43
"asciminib|0.05",True,False,False,525.904,2209.44
"asciminib|0.5",True,False,False,-69.4563,305.756
"asciminib|5.0",True,False,False,-39.9113,206.11
"aspirin|0.05",True,False,False,403.652,860.428
"aspirin|0.5",True,False,False,231.865,1085.46
"aspirin|5.0",True,False,False,1135.97,2783.71
"at7519|0.05",True,False,False,51.123,422.27
"at7519|0.5",True,False,False,20.5894,325.528
"at7519|5.0",True,False,False,-48.4862,388.686
"ataluren|0.05",True,False,False,-17.6658,464.914
"ataluren|0.5",True,False,False,56.7635,500.397
"ataluren|5.0",True,False,False,274.238,738.846
"atazanavir|0.05",True,False,False,-144.948,111.211
"atazanavir|0.5",True,False,False,-122.595,154.215
"atazanavir|5.0",True,False,False,155.981,471.066
"auranofin|0.05",False,False,False,387.561,1451.84
"auranofin|0.5",True,False,False,26.6424,326.776
"auranofin|5.0",True,False,False,949.712,1312.01
"azd-7648|0.05",True,False,False,1145.04,2860.23
"azd-7648|0.5",True,False,False,-51.77,312.408
"azd-7648|5.0",True,False,False,-63.6168,139.388
"azd-8055|0.05",True,False,False,96.9267,580.834
"azd-8055|0.5",True,False,False,346.652,527.351
"azd-8055|5.0",True,False,False,-59.7799,257.341
"azd1390|0.05",True,False,False,324.836,1377.06
"azd1390|0.5",True,False,False,318.027,1330.8
"azd1390|5.0",True,False,False,62.1073,912.547
"azd2858|0.05",True,False,False,-31.934,369.413
"azd2858|0.5",True,False,False,243.65,836.875
"azd2858|5.0",True,False,False,-107.784,388.632
"azithromycin|0.05",False,False,False,311.404,805.384
"azithromycin|0.5",True,False,False,404.513,2582.33
"azithromycin|5.0",True,False,False,237.14,1186.03
"baicalin|0.05",True,False,False,-14.5041,304.772
"baicalin|0.5",True,False,False,-38.5317,393.999
"baicalin|5.0",True,False,False,115.195,289.242
"balsalazide|0.05",True,False,False,923.37,2027.08
"balsalazide|0.5",True,False,False,272.792,717.525
"balsalazide|5.0",True,False,False,778.169,1435.72
"bay1125976|0.05",False,False,False,200.504,941.87
"bay1125976|0.5",True,False,False,-57.0003,373.897
"bay1125976|5.0",True,False,False,409.988,856.873
"belinostat|0.05",True,False,False,36.358,411.812
"belinostat|0.5",True,False,False,-82.4534,326.661
"belinostat|5.0",True,False,False,865.261,1128.67
"belumosudil|0.05",True,False,False,149.138,625.629
"belumosudil|0.5",True,False,False,413.704,1272.93
"belumosudil|5.0",True,False,False,-35.5356,563.193
"belzutifan|0.5",False,False,False,350.036,951.373
"belzutifan|5.0",True,False,False,-140.405,115.829
"bendamustine|0.05",True,False,False,90.7893,1402.1
"bendamustine|0.5",True,False,False,553.45,1097.84
"bendamustine|5.0",True,False,False,82.955,356.147
"benproperine|0.05",True,False,False,6.66575,302.708
"benproperine|0.5",True,False,False,31.4344,378.118
"benproperine|5.0",True,False,False,77.684,416.299
"bentamapimod|0.05",False,False,False,138.733,736.089
"bentamapimod|0.5",True,False,False,26.9269,692.534
"bentamapimod|5.0",True,False,False,69.4908,627.673
"benztropine|0.05",True,False,False,207.865,728.866
"benztropine|0.5",False,False,False,152.129,719.066
"benztropine|5.0",False,False,False,214.294,754.594
"berbamine|0.05",True,False,False,89.1116,512.696
"berbamine|0.5",False,False,False,75.604,437.793
"berbamine|5.0",True,False,False,81.3011,604.711
"berberine|0.05",True,False,False,123.014,616.539
"berberine|0.5",True,False,False,-66.6083,635.536
"berberine|5.0",True,False,False,73.9259,435.986
"bergenin|0.05",False,False,False,-1.91915,417.189
"bergenin|0.5",True,False,False,-44.8091,420.986
"bergenin|5.0",True,False,False,156.249,776.793
"bestatin|0.05",True,False,False,-7.00772,362.026
"bestatin|0.5",False,False,False,231.963,1137.55
"bestatin|5.0",True,False,False,3.88179,262.295
"betamethasone dipropionate|0.05",True,False,False,50.9428,481.831
"betamethasone dipropionate|0.5",True,False,False,434.436,1492.17
"betamethasone dipropionate|5.0",True,False,False,54.1471,555.625
"bexarotene|0.05",True,False,False,165.871,790.704
"bexarotene|0.5",True,False,False,73.9606,556.625
