perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"CUDC-907 | 10.0",False,False,False,6752.28,19343.1
"CYC116 | 10.0",False,False,False,-234.117,7616.94
"CYC116 | 100.0",False,False,False,1745.6,10452.6
"Capecitabine  | 10.0",False,False,False,-1661.07,2394.31
"Capecitabine  | 100.0",False,False,False,2180.61,6412.36
"Capecitabine  | 1000.0",False,False,False,-1031.12,6047.73
"Capecitabine  | 10000.0",True,False,False,1311.92,11531.3
"Carmofur | 10.0",False,False,False,2050.77,12699.6
"Carmofur | 100.0",False,False,False,-1179.25,3887.72
"Carmofur | 1000.0",True,False,False,9153.24,15959.1
"Cediranib (AZD2171) | 10.0",False,False,False,2025.13,10538.7
"Cediranib (AZD2171) | 100.0",False,False,False,879.04,10567.9
"Cediranib (AZD2171) | 1000.0",False,False,False,-131.361,6810.6
"Celecoxib | 10.0",False,False,False,122.186,7870.31
"Celecoxib | 10000.0",False,False,False,1136.91,7188.08
"Cerdulatinib (PRT062070, PRT2070) | 10.0",False,False,False,-1110.01,3588.4
"Cerdulatinib (PRT062070, PRT2070) | 100.0",False,False,False,1434.18,13049.1
"Cerdulatinib (PRT062070, PRT2070) | 1000.0",False,False,False,-431.751,5788.83
"Cimetidine  | 10.0",False,False,False,266.959,6177.39
"Cimetidine  | 100.0",False,False,False,886.599,10856.5
"Clevudine  | 10.0",False,False,False,936.088,7921.1
"Clevudine  | 100.0",False,False,False,-1645.53,4747.51
"Clevudine  | 1000.0",False,False,False,-383.049,6009.6
"Clevudine  | 10000.0",False,False,False,-274.528,4443.34
"Costunolide | 10.0",False,False,False,-730.405,4221
"Costunolide | 100.0",False,False,False,-447.251,9049.73
"Costunolide | 1000.0",False,False,False,-278.082,5876.57
"Costunolide | 10000.0",False,False,False,-565.189,6420.27
"Crizotinib (PF-02341066) | 10.0",False,False,False,265.791,6479.29
"Crizotinib (PF-02341066) | 100.0",False,False,False,1580.56,12295
"Crizotinib (PF-02341066) | 1000.0",False,False,False,-1477.49,4958.82
"Curcumin | 10.0",False,False,False,-1354.97,3835.55
"Curcumin | 100.0",False,False,False,1254.12,17558.9
"Curcumin | 1000.0",False,False,False,3508.08,24072.7
"Curcumin | 10000.0",False,False,False,-520.888,6016.55
"Cyclocytidine HCl | 10.0",False,False,False,2400.46,10466.7
"Dacinostat (LAQ824) | 10.0",False,False,False,-702.501,4569.59
"Danusertib (PHA-739358) | 10.0",False,False,False,-1021.74,4487.43
"Daphnetin | 10.0",False,False,False,-165.905,4670.67
"Daphnetin | 100.0",False,False,False,-1073.43,6360.63
"Daphnetin | 1000.0",True,False,False,-475.058,4032.29
"Daphnetin | 10000.0",False,False,False,4034.43,21965.2
"Dasatinib | 10.0",False,False,False,1249.28,7430.6
"Dasatinib | 100.0",False,False,False,-266.226,6273.12
"Decitabine | 1000.0",False,False,False,-38.1796,9763.41
"Decitabine | 10000.0",False,False,False,0.410251,7053.71
"Disulfiram  | 10.0",False,False,False,3677.8,16514.6
"Disulfiram  | 100.0",False,False,False,-1260.9,2930.31
"Disulfiram  | 1000.0",False,False,False,-426.266,3890.68
"Disulfiram  | 10000.0",False,False,False,-1248.91,5670.92
"Divalproex Sodium | 100.0",False,False,False,-1655.89,2454.38
"Droxinostat | 10.0",False,False,False,10.2487,9709.8
"Droxinostat | 100.0",False,False,False,-744.662,7811.78
"Droxinostat | 1000.0",True,False,False,539.209,12690.4
"Droxinostat | 10000.0",False,False,False,1184.36,7399.97
"EED226 | 1000.0",True,False,False,708.079,9858.09
"ENMD-2076 | 10.0",True,False,False,-476.549,9405.29
"ENMD-2076 | 100.0",False,False,False,-474.086,8882.71
"ENMD-2076 L-(+)-Tartaric acid  | 10.0",False,False,False,3275.31,12373
"ENMD-2076 L-(+)-Tartaric acid  | 100.0",False,False,False,789.359,13211.3
"Ellagic acid | 10.0",False,False,False,2112.05,12630.2
"Ellagic acid | 1000.0",False,False,False,-307.621,6507.69
"Entacapone | 10.0",False,False,False,-32.5261,11932.4
"Entacapone | 100.0",False,False,False,-75.1803,9448.01
