method,split,gene,metric,n_test,obs_pds,null_mean,null_lo,null_hi,p_above_obs
MLP-esm,split2,TP53,PDS_cos,49,0.5004,0.5,0.4974,0.5021,0.448
MLP-esm,split2,TP53,PDS_L1,49,0.5009,0.5,0.4974,0.5026,0.318
MLP-esm,split2,TP53,PDS_L2,49,0.4991,0.5,0.4979,0.5021,0.791
MLP-esm+theta,split2,TP53,PDS_cos,49,0.4979,0.5,0.4945,0.5051,0.801
MLP-esm+theta,split2,TP53,PDS_L1,49,0.4983,0.4999,0.4932,0.5064,0.711
MLP-esm+theta,split2,TP53,PDS_L2,49,0.5004,0.5001,0.4911,0.5089,0.494
Gene-mean,split2,TP53,PDS_cos,49,0.5,0.5,0.5,0.5,1.0
Gene-mean,split2,TP53,PDS_L1,49,0.5,0.5,0.5,0.5,1.0
Gene-mean,split2,TP53,PDS_L2,49,0.5,0.5,0.5,0.5,1.0
WT-null,split2,TP53,PDS_cos,49,0.5,0.5,0.5,0.5,1.0
WT-null,split2,TP53,PDS_L1,49,0.5,0.5,0.5,0.5,1.0
WT-null,split2,TP53,PDS_L2,49,0.5,0.5,0.5,0.5,1.0
Ridge-theta,split2,KRAS,PDS_cos,41,0.5134,0.5005,0.4799,0.5207,0.108
Ridge-theta,split2,KRAS,PDS_L1,41,0.5091,0.4996,0.4787,0.5213,0.198
Ridge-theta,split2,KRAS,PDS_L2,41,0.5104,0.5,0.478,0.5238,0.181
Ridge-esm,split2,KRAS,PDS_cos,41,0.5018,0.4999,0.4854,0.5128,0.422
Ridge-esm,split2,KRAS,PDS_L1,41,0.4963,0.4999,0.4866,0.5128,0.725
Ridge-esm,split2,KRAS,PDS_L2,41,0.4927,0.5001,0.4872,0.5134,0.87
Ridge-esm+theta,split2,KRAS,PDS_cos,41,0.5091,0.5,0.4756,0.5232,0.228
Ridge-esm+theta,split2,KRAS,PDS_L1,41,0.5037,0.4995,0.4768,0.5226,0.366
Ridge-esm+theta,split2,KRAS,PDS_L2,41,0.5067,0.5002,0.4756,0.5244,0.31
Lasso-theta,split2,KRAS,PDS_cos,41,0.4982,0.5,0.4951,0.5049,0.772
Lasso-theta,split2,KRAS,PDS_L1,41,0.497,0.4999,0.4963,0.5037,0.946
Lasso-theta,split2,KRAS,PDS_L2,41,0.4994,0.4999,0.4957,0.5043,0.644
Lasso-esm,split2,KRAS,PDS_cos,41,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split2,KRAS,PDS_L1,41,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split2,KRAS,PDS_L2,41,0.5,0.5,0.5,0.5,1.0
Lasso-esm+theta,split2,KRAS,PDS_cos,41,0.4982,0.5002,0.4951,0.5055,0.785
Lasso-esm+theta,split2,KRAS,PDS_L1,41,0.497,0.4999,0.4957,0.5037,0.95
Lasso-esm+theta,split2,KRAS,PDS_L2,41,0.4994,0.4999,0.4951,0.5043,0.653
RF-theta,split2,KRAS,PDS_cos,41,0.5226,0.4993,0.4677,0.5335,0.082
RF-theta,split2,KRAS,PDS_L1,41,0.5079,0.5002,0.4671,0.5348,0.342
RF-theta,split2,KRAS,PDS_L2,41,0.5171,0.5002,0.4658,0.5341,0.181
RF-esm,split2,KRAS,PDS_cos,41,0.4988,0.5004,0.4866,0.5152,0.589
RF-esm,split2,KRAS,PDS_L1,41,0.5024,0.4998,0.486,0.514,0.38
RF-esm,split2,KRAS,PDS_L2,41,0.5,0.5001,0.4866,0.5159,0.511
RF-esm+theta,split2,KRAS,PDS_cos,41,0.4915,0.5003,0.4866,0.5146,0.896
RF-esm+theta,split2,KRAS,PDS_L1,41,0.4927,0.5002,0.486,0.5152,0.84
RF-esm+theta,split2,KRAS,PDS_L2,41,0.4896,0.5001,0.4848,0.514,0.924
GBoost-theta,split2,KRAS,PDS_cos,41,0.4939,0.5012,0.4414,0.5659,0.589
GBoost-theta,split2,KRAS,PDS_L1,41,0.4976,0.5022,0.4469,0.5616,0.566
GBoost-theta,split2,KRAS,PDS_L2,41,0.486,0.5004,0.4439,0.561,0.701
GBoost-esm,split2,KRAS,PDS_cos,41,0.4659,0.5005,0.4597,0.5439,0.948
GBoost-esm,split2,KRAS,PDS_L1,41,0.4787,0.5003,0.4512,0.5482,0.808
GBoost-esm,split2,KRAS,PDS_L2,41,0.4665,0.4995,0.4543,0.5482,0.912
GBoost-esm+theta,split2,KRAS,PDS_cos,41,0.4652,0.5007,0.4585,0.5451,0.937
GBoost-esm+theta,split2,KRAS,PDS_L1,41,0.4707,0.5007,0.4506,0.5512,0.887
GBoost-esm+theta,split2,KRAS,PDS_L2,41,0.4573,0.4996,0.4555,0.5439,0.971
KNN-theta,split2,KRAS,PDS_cos,41,0.5189,0.4996,0.4475,0.5518,0.215
KNN-theta,split2,KRAS,PDS_L1,41,0.528,0.5006,0.4439,0.5543,0.183
KNN-theta,split2,KRAS,PDS_L2,41,0.5213,0.4997,0.4445,0.5549,0.211
KNN-esm,split2,KRAS,PDS_cos,41,0.4915,0.5001,0.461,0.539,0.668
KNN-esm,split2,KRAS,PDS_L1,41,0.4994,0.4996,0.4567,0.5415,0.52
KNN-esm,split2,KRAS,PDS_L2,41,0.4988,0.5006,0.4622,0.547,0.507
KNN-esm+theta,split2,KRAS,PDS_cos,41,0.5134,0.5006,0.4561,0.5457,0.286
KNN-esm+theta,split2,KRAS,PDS_L1,41,0.5098,0.4992,0.4518,0.5488,0.336
KNN-esm+theta,split2,KRAS,PDS_L2,41,0.5128,0.5008,0.4469,0.5537,0.326
MLP-theta,split2,KRAS,PDS_cos,41,0.4976,0.5002,0.4835,0.5165,0.623
MLP-theta,split2,KRAS,PDS_L1,41,0.4994,0.5004,0.4805,0.5189,0.549
MLP-theta,split2,KRAS,PDS_L2,41,0.4927,0.5,0.4835,0.5177,0.79
MLP-esm,split2,KRAS,PDS_cos,41,0.5006,0.5,0.4976,0.503,0.391
MLP-esm,split2,KRAS,PDS_L1,41,0.5006,0.5,0.4963,0.5037,0.433
MLP-esm,split2,KRAS,PDS_L2,41,0.5024,0.5,0.4976,0.5024,0.049
MLP-esm+theta,split2,KRAS,PDS_cos,41,0.5,0.5001,0.4951,0.5049,0.561
MLP-esm+theta,split2,KRAS,PDS_L1,41,0.4957,0.4998,0.4933,0.5067,0.889
MLP-esm+theta,split2,KRAS,PDS_L2,41,0.5,0.4999,0.4945,0.5055,0.536
Gene-mean,split2,KRAS,PDS_cos,41,0.5,0.5,0.5,0.5,1.0
Gene-mean,split2,KRAS,PDS_L1,41,0.5,0.5,0.5,0.5,1.0
Gene-mean,split2,KRAS,PDS_L2,41,0.5,0.5,0.5,0.5,1.0
WT-null,split2,KRAS,PDS_cos,41,0.5,0.5,0.5,0.5,1.0
WT-null,split2,KRAS,PDS_L1,41,0.5,0.5,0.5,0.5,1.0
WT-null,split2,KRAS,PDS_L2,41,0.5,0.5,0.5,0.5,1.0
Ridge-theta,split2,GATA1,PDS_cos,127,0.5186,0.5,0.4884,0.512,0.001
Ridge-theta,split2,GATA1,PDS_L1,127,0.5178,0.5002,0.4777,0.5219,0.055
Ridge-theta,split2,GATA1,PDS_L2,127,0.516,0.4999,0.4777,0.5211,0.077
Ridge-esm,split2,GATA1,PDS_cos,127,0.5011,0.5,0.4983,0.5016,0.111
Ridge-esm,split2,GATA1,PDS_L1,127,0.5014,0.5,0.4973,0.5026,0.167
Ridge-esm,split2,GATA1,PDS_L2,127,0.5002,0.4999,0.4972,0.5026,0.399
Ridge-esm+theta,split2,GATA1,PDS_cos,127,0.5187,0.4998,0.4884,0.5109,0.0
Ridge-esm+theta,split2,GATA1,PDS_L1,127,0.5187,0.4997,0.4792,0.5204,0.036
Ridge-esm+theta,split2,GATA1,PDS_L2,127,0.5166,0.5001,0.4806,0.5215,0.06
Lasso-theta,split2,GATA1,PDS_cos,127,0.5012,0.5,0.499,0.5009,0.01
Lasso-theta,split2,GATA1,PDS_L1,127,0.5002,0.5,0.4987,0.5014,0.381
Lasso-theta,split2,GATA1,PDS_L2,127,0.5009,0.5,0.4989,0.5013,0.093
Lasso-esm,split2,GATA1,PDS_cos,127,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split2,GATA1,PDS_L1,127,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split2,GATA1,PDS_L2,127,0.5,0.5,0.5,0.5,1.0
Lasso-esm+theta,split2,GATA1,PDS_cos,127,0.5012,0.5,0.4991,0.501,0.008
Lasso-esm+theta,split2,GATA1,PDS_L1,127,0.5002,0.5,0.4987,0.5012,0.39
Lasso-esm+theta,split2,GATA1,PDS_L2,127,0.5009,0.5,0.4987,0.5013,0.106
RF-theta,split2,GATA1,PDS_cos,127,0.5152,0.4999,0.4884,0.5119,0.005
RF-theta,split2,GATA1,PDS_L1,127,0.5179,0.4999,0.4848,0.517,0.022
RF-theta,split2,GATA1,PDS_L2,127,0.5182,0.5002,0.4854,0.5159,0.019
RF-esm,split2,GATA1,PDS_cos,127,0.5016,0.4999,0.4919,0.5082,0.34
RF-esm,split2,GATA1,PDS_L1,127,0.4989,0.4999,0.486,0.5145,0.545
RF-esm,split2,GATA1,PDS_L2,127,0.4995,0.5004,0.4872,0.5139,0.55
RF-esm+theta,split2,GATA1,PDS_cos,127,0.5038,0.4999,0.4924,0.5076,0.153
RF-esm+theta,split2,GATA1,PDS_L1,127,0.5,0.5002,0.4867,0.5136,0.506
RF-esm+theta,split2,GATA1,PDS_L2,127,0.5016,0.5002,0.4864,0.5142,0.404
GBoost-theta,split2,GATA1,PDS_cos,127,0.521,0.4999,0.4838,0.5169,0.003
GBoost-theta,split2,GATA1,PDS_L1,127,0.5216,0.5003,0.4811,0.5194,0.018
GBoost-theta,split2,GATA1,PDS_L2,127,0.5239,0.4998,0.4806,0.5181,0.009
GBoost-esm,split2,GATA1,PDS_cos,127,0.4954,0.4993,0.4792,0.5181,0.649
GBoost-esm,split2,GATA1,PDS_L1,127,0.5003,0.5001,0.4784,0.5219,0.496
GBoost-esm,split2,GATA1,PDS_L2,127,0.4981,0.5001,0.4787,0.5216,0.568
GBoost-esm+theta,split2,GATA1,PDS_cos,127,0.4983,0.4999,0.4812,0.5183,0.567
GBoost-esm+theta,split2,GATA1,PDS_L1,127,0.5019,0.5005,0.4789,0.5215,0.444
GBoost-esm+theta,split2,GATA1,PDS_L2,127,0.5,0.5005,0.4804,0.5199,0.522
KNN-theta,split2,GATA1,PDS_cos,127,0.5111,0.5004,0.4802,0.52,0.156
KNN-theta,split2,GATA1,PDS_L1,127,0.5145,0.5008,0.4786,0.5242,0.121
KNN-theta,split2,GATA1,PDS_L2,127,0.5151,0.4994,0.4766,0.5235,0.088
KNN-esm,split2,GATA1,PDS_cos,127,0.5025,0.5001,0.481,0.521,0.387
KNN-esm,split2,GATA1,PDS_L1,127,0.5011,0.4997,0.4767,0.5246,0.442
KNN-esm,split2,GATA1,PDS_L2,127,0.5037,0.4998,0.4768,0.5224,0.375
KNN-esm+theta,split2,GATA1,PDS_cos,127,0.5258,0.4999,0.4801,0.5188,0.008
KNN-esm+theta,split2,GATA1,PDS_L1,127,0.5288,0.5001,0.4763,0.5254,0.012
KNN-esm+theta,split2,GATA1,PDS_L2,127,0.529,0.5003,0.4778,0.5227,0.006
MLP-theta,split2,GATA1,PDS_cos,127,0.5065,0.5001,0.4919,0.5081,0.066
MLP-theta,split2,GATA1,PDS_L1,127,0.4906,0.4991,0.4623,0.5329,0.682
MLP-theta,split2,GATA1,PDS_L2,127,0.4938,0.5002,0.4661,0.5363,0.634
MLP-esm,split2,GATA1,PDS_cos,127,0.5,0.5,0.4997,0.5003,0.611
MLP-esm,split2,GATA1,PDS_L1,127,0.4996,0.5,0.4989,0.5011,0.778
MLP-esm,split2,GATA1,PDS_L2,127,0.5001,0.5,0.4991,0.501,0.484
MLP-esm+theta,split2,GATA1,PDS_cos,127,0.5,0.5,0.4989,0.5011,0.523
MLP-esm+theta,split2,GATA1,PDS_L1,127,0.5047,0.4998,0.4926,0.508,0.108
MLP-esm+theta,split2,GATA1,PDS_L2,127,0.5043,0.4999,0.4919,0.5073,0.128
Gene-mean,split2,GATA1,PDS_cos,127,0.5,0.5,0.5,0.5,1.0
Gene-mean,split2,GATA1,PDS_L1,127,0.5,0.5,0.5,0.5,1.0
Gene-mean,split2,GATA1,PDS_L2,127,0.5,0.5,0.5,0.5,1.0
WT-null,split2,GATA1,PDS_cos,127,0.5,0.5,0.5,0.5,1.0
WT-null,split2,GATA1,PDS_L1,127,0.5,0.5,0.5,0.5,1.0
WT-null,split2,GATA1,PDS_L2,127,0.5,0.5,0.5,0.5,1.0
Ridge-theta,split2,JAK1,PDS_cos,13,0.5,0.4975,0.359,0.641,0.48
Ridge-theta,split2,JAK1,PDS_L1,13,0.4936,0.5011,0.3782,0.6346,0.537
Ridge-theta,split2,JAK1,PDS_L2,13,0.4936,0.501,0.3652,0.6474,0.561
Ridge-esm,split2,JAK1,PDS_cos,12,0.5,0.5,0.4924,0.5076,0.855
Ridge-esm,split2,JAK1,PDS_L1,12,0.5,0.5007,0.4773,0.5152,0.942
Ridge-esm,split2,JAK1,PDS_L2,12,0.4924,0.5001,0.4924,0.5076,1.0
Ridge-esm+theta,split2,JAK1,PDS_cos,12,0.447,0.5032,0.3407,0.6591,0.76
Ridge-esm+theta,split2,JAK1,PDS_L1,12,0.5682,0.503,0.3485,0.6515,0.207
Ridge-esm+theta,split2,JAK1,PDS_L2,12,0.5682,0.4969,0.3333,0.6669,0.192
Lasso-theta,split2,JAK1,PDS_cos,13,0.4487,0.5022,0.3524,0.6538,0.713
Lasso-theta,split2,JAK1,PDS_L1,13,0.4872,0.5037,0.3782,0.641,0.579
Lasso-theta,split2,JAK1,PDS_L2,13,0.4679,0.4988,0.3654,0.641,0.663
Lasso-esm,split2,JAK1,PDS_cos,12,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split2,JAK1,PDS_L1,12,0.5076,0.4999,0.4773,0.5076,0.245
Lasso-esm,split2,JAK1,PDS_L2,12,0.5,0.5,0.4848,0.5076,0.85
Lasso-esm+theta,split2,JAK1,PDS_cos,12,0.447,0.5008,0.3258,0.6818,0.712
Lasso-esm+theta,split2,JAK1,PDS_L1,12,0.5833,0.499,0.3636,0.6364,0.14
Lasso-esm+theta,split2,JAK1,PDS_L2,12,0.5606,0.4991,0.3409,0.6742,0.246
RF-theta,split2,JAK1,PDS_cos,13,0.5,0.4992,0.4744,0.5256,0.518
RF-theta,split2,JAK1,PDS_L1,13,0.5,0.4999,0.4423,0.5769,0.493
RF-theta,split2,JAK1,PDS_L2,13,0.5128,0.5005,0.4359,0.5897,0.415
RF-esm,split2,JAK1,PDS_cos,12,0.4773,0.5006,0.4773,0.5227,0.962
RF-esm,split2,JAK1,PDS_L1,12,0.4924,0.5003,0.4773,0.5076,0.923
RF-esm,split2,JAK1,PDS_L2,12,0.5076,0.4992,0.4621,0.5303,0.378
RF-esm+theta,split2,JAK1,PDS_cos,12,0.4848,0.5004,0.4621,0.5227,0.893
RF-esm+theta,split2,JAK1,PDS_L1,12,0.5,0.4995,0.4697,0.5152,0.718
RF-esm+theta,split2,JAK1,PDS_L2,12,0.5076,0.5007,0.447,0.5152,0.533
GBoost-theta,split2,JAK1,PDS_cos,13,0.5385,0.4987,0.4231,0.5897,0.216
GBoost-theta,split2,JAK1,PDS_L1,13,0.5385,0.4994,0.4103,0.6218,0.255
GBoost-theta,split2,JAK1,PDS_L2,13,0.5449,0.502,0.3974,0.6282,0.233
GBoost-esm,split2,JAK1,PDS_cos,12,0.4924,0.5004,0.4773,0.5227,0.815
GBoost-esm,split2,JAK1,PDS_L1,12,0.5076,0.5,0.4848,0.5152,0.321
GBoost-esm,split2,JAK1,PDS_L2,12,0.5,0.4999,0.4848,0.5152,0.657
GBoost-esm+theta,split2,JAK1,PDS_cos,12,0.5,0.5004,0.4848,0.5152,0.66
GBoost-esm+theta,split2,JAK1,PDS_L1,12,0.4924,0.5003,0.4848,0.5152,0.914
GBoost-esm+theta,split2,JAK1,PDS_L2,12,0.5,0.5001,0.4848,0.5152,0.631
KNN-theta,split2,JAK1,PDS_cos,13,0.4936,0.5002,0.4359,0.5899,0.464
KNN-theta,split2,JAK1,PDS_L1,13,0.4872,0.5023,0.3846,0.6218,0.598
KNN-theta,split2,JAK1,PDS_L2,13,0.4872,0.5018,0.3782,0.6284,0.582
KNN-esm,split2,JAK1,PDS_cos,12,0.5,0.5,0.5,0.5,1.0
KNN-esm,split2,JAK1,PDS_L1,12,0.5,0.5,0.5,0.5,1.0
KNN-esm,split2,JAK1,PDS_L2,12,0.5,0.5,0.5,0.5,1.0
KNN-esm+theta,split2,JAK1,PDS_cos,12,0.5076,0.4995,0.4545,0.553,0.415
KNN-esm+theta,split2,JAK1,PDS_L1,12,0.553,0.4975,0.4015,0.6212,0.148
KNN-esm+theta,split2,JAK1,PDS_L2,12,0.5455,0.5041,0.3939,0.6136,0.26
MLP-theta,split2,JAK1,PDS_cos,13,0.5513,0.499,0.3846,0.6154,0.21
MLP-theta,split2,JAK1,PDS_L1,13,0.5385,0.4988,0.359,0.6346,0.305
MLP-theta,split2,JAK1,PDS_L2,13,0.5449,0.5032,0.359,0.6474,0.307
MLP-esm,split2,JAK1,PDS_cos,12,0.5,0.5001,0.4924,0.5076,0.927
MLP-esm,split2,JAK1,PDS_L1,12,0.5076,0.4998,0.4773,0.5076,0.414
MLP-esm,split2,JAK1,PDS_L2,12,0.5076,0.4998,0.4545,0.5076,0.495
MLP-esm+theta,split2,JAK1,PDS_cos,12,0.5076,0.5003,0.4697,0.5303,0.416
MLP-esm+theta,split2,JAK1,PDS_L1,12,0.6288,0.5001,0.4091,0.5909,0.002
MLP-esm+theta,split2,JAK1,PDS_L2,12,0.6212,0.5008,0.4015,0.6061,0.019
Gene-mean,split2,JAK1,PDS_cos,13,0.5,0.5,0.5,0.5,1.0
Gene-mean,split2,JAK1,PDS_L1,13,0.5,0.5,0.5,0.5,1.0
Gene-mean,split2,JAK1,PDS_L2,13,0.5,0.5,0.5,0.5,1.0
WT-null,split2,JAK1,PDS_cos,13,0.5,0.5,0.5,0.5,1.0
WT-null,split2,JAK1,PDS_L1,13,0.5,0.5,0.5,0.5,1.0
WT-null,split2,JAK1,PDS_L2,13,0.5,0.5,0.5,0.5,1.0
Ridge-theta,split3,TP53,PDS_cos,9,0.5,0.5008,0.4583,0.5417,0.625
Ridge-theta,split3,TP53,PDS_L1,9,0.5139,0.5,0.4861,0.5139,0.113
Ridge-theta,split3,TP53,PDS_L2,9,0.5278,0.5005,0.4583,0.5417,0.228
Ridge-esm,split3,TP53,PDS_cos,9,0.5139,0.5003,0.4583,0.5417,0.405
Ridge-esm,split3,TP53,PDS_L1,9,0.5139,0.4997,0.4444,0.5556,0.415
Ridge-esm,split3,TP53,PDS_L2,9,0.5139,0.5009,0.4583,0.5417,0.359
Ridge-esm+theta,split3,TP53,PDS_cos,9,0.5139,0.4997,0.4583,0.5417,0.378
Ridge-esm+theta,split3,TP53,PDS_L1,9,0.5,0.5011,0.4444,0.5417,0.636
Ridge-esm+theta,split3,TP53,PDS_L2,9,0.5278,0.5013,0.4444,0.5417,0.242
Lasso-theta,split3,TP53,PDS_cos,9,0.5,0.4998,0.4861,0.5139,0.728
Lasso-theta,split3,TP53,PDS_L1,9,0.5,0.5,0.5,0.5,1.0
Lasso-theta,split3,TP53,PDS_L2,9,0.5278,0.5,0.4722,0.5278,0.126
Lasso-esm,split3,TP53,PDS_cos,9,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split3,TP53,PDS_L1,9,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split3,TP53,PDS_L2,9,0.5,0.5,0.5,0.5,1.0
Lasso-esm+theta,split3,TP53,PDS_cos,9,0.5,0.5004,0.4861,0.5139,0.727
Lasso-esm+theta,split3,TP53,PDS_L1,9,0.5,0.5,0.5,0.5,1.0
Lasso-esm+theta,split3,TP53,PDS_L2,9,0.5278,0.5002,0.4722,0.5278,0.133
RF-theta,split3,TP53,PDS_cos,9,0.4861,0.4999,0.4306,0.5833,0.671
RF-theta,split3,TP53,PDS_L1,9,0.5694,0.4994,0.3889,0.6111,0.142
RF-theta,split3,TP53,PDS_L2,9,0.5278,0.4994,0.4167,0.5833,0.31
RF-esm,split3,TP53,PDS_cos,9,0.5556,0.5002,0.4167,0.5833,0.128
RF-esm,split3,TP53,PDS_L1,9,0.5833,0.5007,0.3889,0.5972,0.077
RF-esm,split3,TP53,PDS_L2,9,0.5278,0.5002,0.4167,0.5833,0.32
RF-esm+theta,split3,TP53,PDS_cos,9,0.5278,0.4989,0.4167,0.5833,0.306
RF-esm+theta,split3,TP53,PDS_L1,9,0.5556,0.5005,0.4028,0.5972,0.157
RF-esm+theta,split3,TP53,PDS_L2,9,0.5417,0.502,0.4167,0.5972,0.238
GBoost-theta,split3,TP53,PDS_cos,9,0.4861,0.5005,0.375,0.625,0.624
GBoost-theta,split3,TP53,PDS_L1,9,0.4722,0.4999,0.3194,0.6806,0.634
GBoost-theta,split3,TP53,PDS_L2,9,0.5417,0.4976,0.3333,0.6944,0.329
GBoost-esm,split3,TP53,PDS_cos,9,0.5417,0.4993,0.3747,0.6253,0.326
GBoost-esm,split3,TP53,PDS_L1,9,0.4583,0.5049,0.3472,0.6528,0.746
GBoost-esm,split3,TP53,PDS_L2,9,0.4444,0.5026,0.3472,0.6667,0.78
GBoost-esm+theta,split3,TP53,PDS_cos,9,0.5,0.5012,0.3611,0.6389,0.542
GBoost-esm+theta,split3,TP53,PDS_L1,9,0.4583,0.5015,0.3333,0.6528,0.74
GBoost-esm+theta,split3,TP53,PDS_L2,9,0.4444,0.4986,0.3472,0.6667,0.764
KNN-theta,split3,TP53,PDS_cos,9,0.4861,0.4976,0.3472,0.6389,0.578
KNN-theta,split3,TP53,PDS_L1,9,0.4444,0.498,0.3472,0.6528,0.777
KNN-theta,split3,TP53,PDS_L2,9,0.5139,0.4998,0.3333,0.6531,0.46
KNN-esm,split3,TP53,PDS_cos,9,0.4444,0.5036,0.3333,0.6806,0.763
KNN-esm,split3,TP53,PDS_L1,9,0.3889,0.5001,0.3056,0.6944,0.887
KNN-esm,split3,TP53,PDS_L2,9,0.4306,0.5028,0.3333,0.6944,0.79
KNN-esm+theta,split3,TP53,PDS_cos,9,0.4028,0.4962,0.3611,0.6253,0.928
KNN-esm+theta,split3,TP53,PDS_L1,9,0.375,0.5015,0.3472,0.6528,0.969
KNN-esm+theta,split3,TP53,PDS_L2,9,0.4583,0.5025,0.3889,0.6389,0.777
MLP-theta,split3,TP53,PDS_cos,9,0.4861,0.4996,0.458,0.5556,0.776
MLP-theta,split3,TP53,PDS_L1,9,0.5139,0.5,0.4306,0.5556,0.42
MLP-theta,split3,TP53,PDS_L2,9,0.5139,0.4985,0.4444,0.5556,0.392
MLP-esm,split3,TP53,PDS_cos,9,0.4861,0.5001,0.4861,0.5139,1.0
MLP-esm,split3,TP53,PDS_L1,9,0.5,0.5,0.5,0.5,1.0
MLP-esm,split3,TP53,PDS_L2,9,0.5,0.4999,0.4861,0.5139,0.879
MLP-esm+theta,split3,TP53,PDS_cos,9,0.5,0.5001,0.4861,0.5139,0.812
MLP-esm+theta,split3,TP53,PDS_L1,9,0.4722,0.5,0.4583,0.5417,0.966
MLP-esm+theta,split3,TP53,PDS_L2,9,0.5,0.5,0.5,0.5,1.0
Gene-mean,split3,TP53,PDS_cos,9,0.5,0.5,0.5,0.5,1.0
Gene-mean,split3,TP53,PDS_L1,9,0.5,0.5,0.5,0.5,1.0
Gene-mean,split3,TP53,PDS_L2,9,0.5,0.5,0.5,0.5,1.0
WT-null,split3,TP53,PDS_cos,9,0.5,0.5,0.5,0.5,1.0
WT-null,split3,TP53,PDS_L1,9,0.5,0.5,0.5,0.5,1.0
WT-null,split3,TP53,PDS_L2,9,0.5,0.5,0.5,0.5,1.0
Ridge-theta,split3,KRAS,PDS_cos,10,0.5667,0.5,0.4333,0.5667,0.034
Ridge-theta,split3,KRAS,PDS_L1,10,0.5,0.5011,0.4556,0.5556,0.551
Ridge-theta,split3,KRAS,PDS_L2,10,0.5,0.4997,0.4667,0.5333,0.546
Ridge-esm,split3,KRAS,PDS_cos,10,0.4667,0.4998,0.4556,0.5444,0.937
Ridge-esm,split3,KRAS,PDS_L1,10,0.5111,0.4997,0.4444,0.5444,0.441
Ridge-esm,split3,KRAS,PDS_L2,10,0.5,0.501,0.4556,0.5444,0.64
Ridge-esm+theta,split3,KRAS,PDS_cos,10,0.4889,0.5001,0.4444,0.5556,0.648
Ridge-esm+theta,split3,KRAS,PDS_L1,10,0.5,0.5012,0.4444,0.5667,0.563
Ridge-esm+theta,split3,KRAS,PDS_L2,10,0.4889,0.5004,0.4444,0.5556,0.671
Lasso-theta,split3,KRAS,PDS_cos,10,0.5,0.5,0.5,0.5,1.0
Lasso-theta,split3,KRAS,PDS_L1,10,0.5,0.5,0.5,0.5,1.0
Lasso-theta,split3,KRAS,PDS_L2,10,0.5,0.5001,0.4889,0.5111,0.898
Lasso-esm,split3,KRAS,PDS_cos,10,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split3,KRAS,PDS_L1,10,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split3,KRAS,PDS_L2,10,0.5,0.5,0.5,0.5,1.0
Lasso-esm+theta,split3,KRAS,PDS_cos,10,0.5,0.5,0.5,0.5,1.0
Lasso-esm+theta,split3,KRAS,PDS_L1,10,0.5,0.5,0.5,0.5,1.0
Lasso-esm+theta,split3,KRAS,PDS_L2,10,0.5,0.5,0.4889,0.5111,0.899
RF-theta,split3,KRAS,PDS_cos,10,0.5111,0.4993,0.4667,0.5222,0.3
RF-theta,split3,KRAS,PDS_L1,10,0.4889,0.5001,0.4778,0.5222,0.935
RF-theta,split3,KRAS,PDS_L2,10,0.5111,0.4996,0.4778,0.5333,0.346
RF-esm,split3,KRAS,PDS_cos,10,0.5222,0.4997,0.4667,0.5333,0.171
RF-esm,split3,KRAS,PDS_L1,10,0.5222,0.5004,0.4667,0.5333,0.144
RF-esm,split3,KRAS,PDS_L2,10,0.5,0.5,0.4778,0.5222,0.672
RF-esm+theta,split3,KRAS,PDS_cos,10,0.5111,0.5009,0.4667,0.5333,0.368
RF-esm+theta,split3,KRAS,PDS_L1,10,0.5111,0.5001,0.4778,0.5333,0.29
RF-esm+theta,split3,KRAS,PDS_L2,10,0.5111,0.5002,0.4667,0.5333,0.251
GBoost-theta,split3,KRAS,PDS_cos,10,0.5,0.4984,0.4333,0.5667,0.521
GBoost-theta,split3,KRAS,PDS_L1,10,0.5333,0.4998,0.4333,0.5667,0.169
GBoost-theta,split3,KRAS,PDS_L2,10,0.5333,0.5012,0.4333,0.5667,0.146
GBoost-esm,split3,KRAS,PDS_cos,10,0.5222,0.4989,0.4,0.6,0.333
GBoost-esm,split3,KRAS,PDS_L1,10,0.5889,0.5016,0.4111,0.5889,0.033
GBoost-esm,split3,KRAS,PDS_L2,10,0.5444,0.4996,0.4111,0.5889,0.18
GBoost-esm+theta,split3,KRAS,PDS_cos,10,0.5222,0.4996,0.3889,0.6,0.367
GBoost-esm+theta,split3,KRAS,PDS_L1,10,0.6,0.4982,0.4111,0.5781,0.012
GBoost-esm+theta,split3,KRAS,PDS_L2,10,0.5333,0.4988,0.4222,0.5778,0.26
KNN-theta,split3,KRAS,PDS_cos,10,0.5111,0.4976,0.4,0.6,0.417
KNN-theta,split3,KRAS,PDS_L1,10,0.5111,0.5033,0.3889,0.6,0.503
KNN-theta,split3,KRAS,PDS_L2,10,0.4778,0.502,0.4,0.6,0.731
KNN-esm,split3,KRAS,PDS_cos,10,0.4333,0.4997,0.3444,0.6447,0.809
