method,split,gene,metric,n_test,obs_pds,null_mean,null_lo,null_hi,p_above_obs
WT-null,split1,TP53,PDS_L1,16,0.5,0.5,0.5,0.5,1.0
WT-null,split1,TP53,PDS_L2,16,0.5,0.5,0.5,0.5,1.0
Ridge-theta,split1,KRAS,PDS_cos,8,0.5179,0.5014,0.4464,0.5536,0.387
Ridge-theta,split1,KRAS,PDS_L1,8,0.5,0.5007,0.4286,0.5714,0.661
Ridge-theta,split1,KRAS,PDS_L2,8,0.5179,0.5003,0.4643,0.5357,0.349
Ridge-esm,split1,KRAS,PDS_cos,8,0.5,0.5011,0.4286,0.5714,0.605
Ridge-esm,split1,KRAS,PDS_L1,8,0.5536,0.5031,0.4286,0.5893,0.172
Ridge-esm,split1,KRAS,PDS_L2,8,0.5179,0.5009,0.4464,0.5357,0.41
Ridge-esm+theta,split1,KRAS,PDS_cos,8,0.5,0.5022,0.4107,0.5893,0.583
Ridge-esm+theta,split1,KRAS,PDS_L1,8,0.5179,0.5016,0.4107,0.5893,0.402
Ridge-esm+theta,split1,KRAS,PDS_L2,8,0.5,0.4997,0.4286,0.5714,0.602
Lasso-theta,split1,KRAS,PDS_cos,8,0.5179,0.4998,0.4821,0.5179,0.125
Lasso-theta,split1,KRAS,PDS_L1,8,0.5,0.5,0.5,0.5,1.0
Lasso-theta,split1,KRAS,PDS_L2,8,0.5179,0.5005,0.4821,0.5179,0.132
Lasso-esm,split1,KRAS,PDS_cos,8,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split1,KRAS,PDS_L1,8,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split1,KRAS,PDS_L2,8,0.5,0.5,0.5,0.5,1.0
Lasso-esm+theta,split1,KRAS,PDS_cos,8,0.5179,0.5,0.4821,0.5179,0.118
Lasso-esm+theta,split1,KRAS,PDS_L1,8,0.5,0.5,0.5,0.5,1.0
Lasso-esm+theta,split1,KRAS,PDS_L2,8,0.5179,0.5003,0.4821,0.5179,0.136
RF-theta,split1,KRAS,PDS_cos,8,0.4821,0.501,0.4286,0.5719,0.735
RF-theta,split1,KRAS,PDS_L1,8,0.4643,0.4996,0.4464,0.5536,0.947
RF-theta,split1,KRAS,PDS_L2,8,0.5,0.5006,0.4464,0.5536,0.649
RF-esm,split1,KRAS,PDS_cos,8,0.4821,0.5005,0.4286,0.5714,0.755
RF-esm,split1,KRAS,PDS_L1,8,0.5179,0.4988,0.4286,0.5536,0.451
RF-esm,split1,KRAS,PDS_L2,8,0.5,0.4999,0.4464,0.5536,0.628
RF-esm+theta,split1,KRAS,PDS_cos,8,0.4821,0.5006,0.4286,0.5536,0.782
RF-esm+theta,split1,KRAS,PDS_L1,8,0.5179,0.4981,0.4286,0.5714,0.221
RF-esm+theta,split1,KRAS,PDS_L2,8,0.5,0.5007,0.4464,0.5536,0.634
GBoost-theta,split1,KRAS,PDS_cos,8,0.5714,0.4966,0.3571,0.6429,0.21
GBoost-theta,split1,KRAS,PDS_L1,8,0.4821,0.497,0.3929,0.625,0.573
GBoost-theta,split1,KRAS,PDS_L2,8,0.5,0.4954,0.375,0.625,0.515
GBoost-esm,split1,KRAS,PDS_cos,8,0.5357,0.5006,0.3929,0.6429,0.328
GBoost-esm,split1,KRAS,PDS_L1,8,0.5893,0.5023,0.375,0.625,0.121
GBoost-esm,split1,KRAS,PDS_L2,8,0.4821,0.5005,0.3929,0.6071,0.558
GBoost-esm+theta,split1,KRAS,PDS_cos,8,0.5,0.5016,0.3929,0.6071,0.57
GBoost-esm+theta,split1,KRAS,PDS_L1,8,0.5536,0.4981,0.375,0.625,0.251
GBoost-esm+theta,split1,KRAS,PDS_L2,8,0.5,0.5014,0.3929,0.6071,0.569
KNN-theta,split1,KRAS,PDS_cos,8,0.4464,0.501,0.3571,0.6607,0.777
KNN-theta,split1,KRAS,PDS_L1,8,0.4643,0.4993,0.375,0.625,0.708
KNN-theta,split1,KRAS,PDS_L2,8,0.5,0.4987,0.3924,0.625,0.543
KNN-esm,split1,KRAS,PDS_cos,8,0.3929,0.4968,0.375,0.6429,0.916
KNN-esm,split1,KRAS,PDS_L1,8,0.3929,0.4974,0.3571,0.625,0.917
KNN-esm,split1,KRAS,PDS_L2,8,0.4286,0.5019,0.3929,0.6071,0.907
KNN-esm+theta,split1,KRAS,PDS_cos,8,0.4464,0.4987,0.3571,0.6429,0.792
KNN-esm+theta,split1,KRAS,PDS_L1,8,0.4286,0.4995,0.3929,0.625,0.879
KNN-esm+theta,split1,KRAS,PDS_L2,8,0.4821,0.5007,0.4107,0.625,0.564
MLP-theta,split1,KRAS,PDS_cos,8,0.5357,0.499,0.4286,0.5714,0.224
MLP-theta,split1,KRAS,PDS_L1,8,0.5179,0.5002,0.4643,0.5357,0.38
MLP-theta,split1,KRAS,PDS_L2,8,0.5179,0.501,0.4643,0.5536,0.282
MLP-esm,split1,KRAS,PDS_cos,8,0.4821,0.4997,0.4821,0.5179,1.0
MLP-esm,split1,KRAS,PDS_L1,8,0.4821,0.4998,0.4821,0.5179,1.0
MLP-esm,split1,KRAS,PDS_L2,8,0.5,0.4997,0.4821,0.5179,0.786
