perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Baricitinib (LY3009104, INCB028050) | 10000.0",False,False,False,3357.07,13641.3
"Belinostat (PXD101) | 10.0",False,False,False,-204.749,2008.68
"Belinostat (PXD101) | 100.0",True,False,False,756.5,3744.31
"Belinostat (PXD101) | 1000.0",False,False,False,-458.617,1815.19
"Bisindolylmaleimide IX (Ro 31-8220 Mesylate) | 10.0",False,False,False,2085.18,16688.6
"Bisindolylmaleimide IX (Ro 31-8220 Mesylate) | 100.0",False,False,False,1668.98,8097.44
"Bisindolylmaleimide IX (Ro 31-8220 Mesylate) | 1000.0",False,False,False,-929.535,913.661
"Bosutinib (SKI-606) | 10.0",False,False,False,-323.47,2412.32
"Busulfan  | 10.0",True,False,False,2783.25,8381.58
"Busulfan  | 100.0",False,False,False,304.969,2469.75
"Busulfan  | 1000.0",False,False,False,-92.911,2242.35
"Busulfan  | 10000.0",False,False,False,517.812,3185.98
"CEP-33779 | 10.0",False,False,False,44.0907,3305.66
"CEP-33779 | 100.0",False,False,False,-708.265,1571.48
"CEP-33779 | 1000.0",False,False,False,72.6194,5082.91
"CEP-33779 | 10000.0",False,False,False,-720.711,1212.11
"CUDC-101 | 10.0",False,False,False,-374.962,2215.57
"CUDC-101 | 100.0",False,False,False,181.395,3987.67
"CYC116 | 10.0",False,False,False,311.968,3287.62
"CYC116 | 100.0",False,False,False,-701.137,981.857
"CYC116 | 1000.0",False,False,False,639.875,4668.01
"Capecitabine  | 10.0",False,False,False,1291.83,7835.16
"Capecitabine  | 100.0",False,False,False,845.08,7964.98
"Capecitabine  | 1000.0",False,False,False,137.923,3249.94
"Capecitabine  | 10000.0",False,False,False,153.099,2833.6
"Carmofur | 10.0",False,False,False,7420.58,28198.6
"Carmofur | 100.0",False,False,False,1296.67,4984.05
"Carmofur | 1000.0",False,False,False,-443.593,2042.51
"Carmofur | 10000.0",False,False,False,-404.116,2304.77
"Cediranib (AZD2171) | 10.0",True,False,False,327.1,3000.89
"Cediranib (AZD2171) | 100.0",True,False,False,-451.159,1992.48
"Cediranib (AZD2171) | 1000.0",False,False,False,1848.35,13043.9
"Celecoxib | 10.0",False,False,False,664.548,4569.69
"Celecoxib | 100.0",False,False,False,349.243,4120.76
"Celecoxib | 1000.0",False,False,False,-264.792,4707.54
"Celecoxib | 10000.0",False,False,False,378.998,4084.81
"Cerdulatinib (PRT062070, PRT2070) | 10.0",False,False,False,68.114,3418.59
"Cerdulatinib (PRT062070, PRT2070) | 100.0",False,False,False,808.112,7286.21
"Cerdulatinib (PRT062070, PRT2070) | 1000.0",False,False,False,619.134,2953.66
"Cerdulatinib (PRT062070, PRT2070) | 10000.0",False,False,False,4607.36,7860.12
"Cimetidine  | 10.0",False,False,False,-587.844,1156.59
"Cimetidine  | 100.0",False,False,False,-380.21,2907.67
"Cimetidine  | 1000.0",False,False,False,4241.25,12597.3
"Cimetidine  | 10000.0",False,False,False,-277.072,1822.22
"Clevudine  | 10.0",False,False,False,-559.97,2074.5
"Clevudine  | 100.0",False,False,False,-530.563,1977.33
"Clevudine  | 1000.0",False,False,False,680.673,5375.33
"Clevudine  | 10000.0",False,False,False,246.154,4853.22
"Costunolide | 10.0",False,False,False,1734.92,10043
"Costunolide | 100.0",False,False,False,1275.51,5292.47
"Costunolide | 1000.0",False,False,False,139.563,3410.94
"Costunolide | 10000.0",False,False,False,226.695,4005.29
"Crizotinib (PF-02341066) | 10.0",False,False,False,1830.8,8449.31
"Crizotinib (PF-02341066) | 100.0",False,False,False,-127.221,3650.52
"Curcumin | 10.0",False,False,False,389.057,5765.43
"Curcumin | 100.0",False,False,False,464.295,4473.85
"Curcumin | 1000.0",False,False,False,-350.718,1898.39
"Curcumin | 10000.0",False,False,False,-194.571,2117.92
"Cyclocytidine HCl | 10.0",True,False,False,1037.74,7985.39
"Cyclocytidine HCl | 100.0",False,False,False,1216.05,4577.48
"Cyclocytidine HCl | 1000.0",False,False,False,3140.77,9367.02
"Cyclocytidine HCl | 10000.0",False,False,False,2074.2,7751.09
"Daphnetin | 10.0",False,False,False,168.267,2966.56
"Daphnetin | 100.0",False,False,False,127.872,2295.1
