held_out,is_core,auroc,obs_frac_unrankable,pred_frac_unrankable,err_pp,brier,n_test,obs_rankable_rate
Replogle,True,0.9811645094227051,0.6015622597410586,0.7283860061560186,12.682374641495997,0.134768554211973,32517,0.39843774025894146
Norman,True,0.9485891466673897,0.17565042403334774,0.5545661383275923,37.89157142942445,0.25142544811485085,6957,0.8243495759666523
Adamson,False,0.9511694139679511,0.4177660510114336,0.618273025745032,20.050697473359836,0.15417936892947687,3411,0.5822339489885664
TP53,False,0.9428686548908156,0.8420822397200349,0.6355285686461084,20.655367107392653,0.12602889120943542,2286,0.157917760279965
KRAS,False,0.9637575834175935,0.8982742960944596,0.735774004023303,16.250029207115666,0.08430149672425323,2202,0.10172570390554042
GATA1,True,0.9682656882242723,0.9638600538254517,0.23035028496608712,73.35097688593646,0.6454843855151197,7803,0.03613994617454825
JAK1,True,0.9989954075774972,0.08843537414965985,0.07590748029944105,1.2527893850218796,0.02967132972016018,294,0.9115646258503401
