dataset,depth,n_perturbations,n_pool,tau,n_perturbations_W,pds_W,W_comparable,pds_P,pds_P_lo,pds_P_hi,frac_P_above_065,pds_X,pds_X_lo,pds_X_hi,frac_X_above_065,delta_PX,delta_PX_lo,delta_PX_hi,delta_PX_signflip_p,frac_perturbations_delta_gt0,verdict_flip_frac,verdict
GATA1,30,209,209,0.05,0,,False,0.5168813642497853,0.5054943795239848,0.5286515074837443,0.08133971291866028,0.5061434179855233,0.4938051696110906,0.5186046190651454,0.07655502392344497,0.010737946264262051,-0.004074730094466951,0.025892720218378098,0.1715828417158284,0.5215311004784688,0.11004784688995216,CONCORDANT
GATA1,50,209,209,0.05,0,,False,0.5302401545822598,0.5174008940620782,0.5432832244509876,0.10526315789473684,0.5187461661145871,0.5048979803091644,0.5328937400318979,0.06220095693779904,0.01149398846767267,-0.004234334744203174,0.027061518525334307,0.14778522147785222,0.5119617224880383,0.11004784688995216,CONCORDANT
GATA1,100,200,200,0.05,0,,False,0.543675041876047,0.5274967755443887,0.5608163735343384,0.14,0.5270954773869346,0.5052593383584589,0.5493569095477386,0.195,0.016579564489112242,-0.006209840871021773,0.04009932998324956,0.1603839616038396,0.54,0.165,CONCORDANT
