dataset,depth,n_perturbations,n_pool,tau,pds_W,n_perturbations_W,pds_P,pds_P_lo,pds_P_hi,frac_P_above_065,pds_X,pds_X_lo,pds_X_hi,frac_X_above_065,delta_PX,delta_PX_lo,delta_PX_hi,delta_PX_signflip_p,frac_perturbations_delta_gt0,verdict_flip_frac,verdict
Norman,30,195,195,0.05,0.7944384384384384,75.0,0.7944840955150234,0.7722134108732046,0.8160478015684203,0.8102564102564103,0.7966569741827475,0.7730837959291569,0.8188451405410169,0.7948717948717948,-0.0021728786677240298,-0.013238787558375183,0.00915719446647282,0.7017298270172982,0.46153846153846156,0.06666666666666667,CONCORDANT
Norman,50,195,195,0.05,0.8276190476190476,15.0,0.8130390342761478,0.7898535994360738,0.8351440214996917,0.8205128205128205,0.8337139836108909,0.8114325931800159,0.8545769230769231,0.8358974358974359,-0.020674949334743155,-0.032838223632038074,-0.00878667724028549,0.0007999200079992001,0.40512820512820513,0.09743589743589744,CONCORDANT
Norman,100,191,191,0.05,,,0.8992633416000736,0.8818681914209606,0.9158656195462479,0.9424083769633508,0.9086341508220815,0.8902488748048131,0.9258401763571233,0.9267015706806283,-0.009370809222007899,-0.020003720033066955,0.0015763754937080884,0.08649135086491351,0.387434554973822,0.05759162303664921,CONCORDANT
