dataset,depth,n_perturbations,n_pool,tau,pds_P,pds_P_lo,pds_P_hi,frac_P_above_065,pds_X,pds_X_lo,pds_X_hi,frac_X_above_065,delta_PX,delta_PX_lo,delta_PX_hi,delta_PX_signflip_p,frac_perturbations_delta_gt0,verdict_flip_frac,verdict
VCC,30,139,139,0.05,0.7011156292357418,0.6679525944461822,0.7337809752198241,0.5251798561151079,0.6917457338477043,0.6628209606228062,0.7209992006394884,0.5179856115107914,0.009369895388037381,-0.007611476036562063,0.02599659402912451,0.28747125287471254,0.5683453237410072,0.1223021582733813,CONCORDANT
VCC,50,139,139,0.05,0.736641990755222,0.7051005282730338,0.7678138358878115,0.6546762589928058,0.7276474472595836,0.6961664581378376,0.7587675946199561,0.6115107913669064,0.00899454349563826,-0.003625186807076098,0.021638775935773083,0.1782821717828217,0.5467625899280576,0.11510791366906475,CONCORDANT
VCC,100,139,139,0.05,0.7957911931324506,0.7642148889583984,0.8266365168734576,0.7841726618705036,0.8034198727974142,0.7724517777082682,0.8334168317519898,0.7697841726618705,-0.00762867966496368,-0.020838980989121736,0.005842369582594796,0.2675732426757324,0.4316546762589928,0.04316546762589928,CONCORDANT
