perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Busulfan  | 10.0",False,False,False,17009,149265
"Busulfan  | 100.0",False,False,False,-8548.45,59155.6
"Busulfan  | 1000.0",False,False,False,14045,187574
"Busulfan  | 10000.0",False,False,False,3066.63,142189
"CEP-33779 | 10.0",False,False,False,3497.33,66396.1
"CEP-33779 | 100.0",False,False,False,-11863.8,31242.1
"CEP-33779 | 1000.0",False,False,False,-3036.76,53197.9
"CEP-33779 | 10000.0",False,False,False,11137,119942
"CUDC-101 | 10.0",False,False,False,9701,96142.1
"CUDC-101 | 100.0",False,False,False,-2753.11,104210
"CUDC-101 | 1000.0",False,False,False,-19757.9,47911
"CUDC-101 | 10000.0",False,False,False,23235.9,176921
"CUDC-907 | 10.0",False,False,False,-12177.4,40270.3
"CUDC-907 | 100.0",False,False,False,-11511.3,57531.6
"CUDC-907 | 1000.0",False,False,False,-15277.4,45973.8
"CYC116 | 10.0",False,False,False,-19547,41785.5
"CYC116 | 100.0",False,False,False,28003.1,143381
"CYC116 | 1000.0",False,False,False,551.496,80621.4
"Capecitabine  | 10.0",False,False,False,56106.2,158572
"Capecitabine  | 100.0",False,False,False,6503.36,115520
"Capecitabine  | 1000.0",False,False,False,25821.6,244569
"Capecitabine  | 10000.0",False,False,False,-420.941,138587
"Carmofur | 10.0",False,False,False,-14580.4,37560.1
"Carmofur | 1000.0",False,False,False,16353,58389.6
"Carmofur | 10000.0",False,False,False,68200.7,307975
"Cediranib (AZD2171) | 10.0",False,False,False,10020.1,93860
"Cediranib (AZD2171) | 100.0",False,False,False,22453.3,165968
"Celecoxib | 10.0",False,False,False,-4825.71,71629.7
"Celecoxib | 10000.0",False,False,False,-5184.71,93720.9
"Cerdulatinib (PRT062070, PRT2070) | 10.0",False,False,False,-5633.81,51160.2
"Cerdulatinib (PRT062070, PRT2070) | 100.0",False,False,False,4308.14,63042.9
"Cerdulatinib (PRT062070, PRT2070) | 1000.0",False,False,False,-14897.5,38522.1
"Cerdulatinib (PRT062070, PRT2070) | 10000.0",False,False,False,13430.1,114610
"Cimetidine  | 10.0",False,False,False,47122.5,161776
"Cimetidine  | 100.0",False,False,False,8411.48,55519.9
"Cimetidine  | 1000.0",False,False,False,-11692.3,69499.4
"Cimetidine  | 10000.0",False,False,False,78685,205752
"Clevudine  | 10.0",False,False,False,-3328.23,61112.3
"Clevudine  | 100.0",False,False,False,-4266.91,74501.4
"Clevudine  | 1000.0",False,False,False,9335.1,91555.8
"Clevudine  | 10000.0",False,False,False,-11149.3,82303.5
"Costunolide | 10.0",False,False,False,28227.7,251596
"Costunolide | 100.0",False,False,False,7278.18,152890
"Costunolide | 10000.0",False,False,False,-3665.81,53005.5
"Crizotinib (PF-02341066) | 10.0",False,False,False,16686.6,121807
"Crizotinib (PF-02341066) | 100.0",False,False,False,108476,467992
"Crizotinib (PF-02341066) | 1000.0",False,False,False,-22594.4,35293.3
"Curcumin | 10.0",False,False,False,25519.7,121703
"Curcumin | 100.0",False,False,False,-14798.2,67360
"Curcumin | 1000.0",False,False,False,-311.29,65306.3
"Curcumin | 10000.0",False,False,False,-15529.6,39196.7
"Cyclocytidine HCl | 10.0",False,False,False,29942.6,138838
"Cyclocytidine HCl | 100.0",False,False,False,20806,144668
"Dacinostat (LAQ824) | 10.0",False,False,False,8555.34,68259.6
"Dacinostat (LAQ824) | 10000.0",True,False,False,-21297.7,32723.5
"Danusertib (PHA-739358) | 10.0",False,False,False,-2878.39,56864.1
"Danusertib (PHA-739358) | 1000.0",False,False,False,95077.1,259138
"Daphnetin | 10.0",False,False,False,-9253.76,55050.7
"Daphnetin | 100.0",False,False,False,-6392.39,66459.6
"Daphnetin | 1000.0",False,False,False,44247,237727
"Daphnetin | 10000.0",False,False,False,73905.3,259186
"Dasatinib | 10.0",False,False,False,5067.68,91706.9
"Dasatinib | 100.0",False,False,False,-9962.94,65106.2
"Decitabine | 10.0",False,False,False,17751.8,161541
"Decitabine | 10000.0",False,False,False,3098.64,151812
"Disulfiram  | 10.0",False,False,False,32182.1,167666
"Disulfiram  | 10000.0",False,False,False,-1165.58,88579.7
"Divalproex Sodium | 10.0",False,False,False,6628.48,44182.4
"Divalproex Sodium | 100.0",False,False,False,1708.83,96032.6
"Divalproex Sodium | 1000.0",False,False,False,-4719.06,59195
"Divalproex Sodium | 10000.0",False,False,False,38746.2,254064
"Droxinostat | 10.0",False,False,False,-8412.63,60586.3
"Droxinostat | 100.0",False,False,False,13892.8,105471
"Droxinostat | 1000.0",False,False,False,6891.24,106579
"Droxinostat | 10000.0",False,False,False,31189.3,192327
"EED226 | 10.0",False,False,False,-20294.1,31595.8
"EED226 | 100.0",False,False,False,-2181.7,42873.5
"EED226 | 1000.0",False,False,False,-1751.66,68589.7
"EED226 | 10000.0",False,False,False,10886,192547
"ENMD-2076 | 10.0",False,False,False,63143.7,465979
"ENMD-2076 | 100.0",False,False,False,8842.11,65460.6
"ENMD-2076 | 1000.0",False,False,False,2711.63,67561.2
"ENMD-2076 L-(+)-Tartaric acid  | 10.0",False,False,False,89.4062,84472.6
"ENMD-2076 L-(+)-Tartaric acid  | 100.0",False,False,False,7942.67,110750
"ENMD-2076 L-(+)-Tartaric acid  | 1000.0",False,False,False,9490.61,137603
"Ellagic acid | 10.0",False,False,False,39732.1,245168
"Ellagic acid | 100.0",False,False,False,1206.49,67934.8
"Ellagic acid | 1000.0",False,False,False,21205.6,256291
"Ellagic acid | 10000.0",False,False,False,66035.7,455330
"Entacapone | 10.0",False,False,False,-10645.8,45340.1
"Entacapone | 100.0",False,False,False,-16899.5,40775.8
"Entacapone | 1000.0",False,False,False,32745.5,166221
"Entacapone | 10000.0",False,False,False,-8494.47,45114.2
"Entinostat (MS-275) | 10.0",False,False,False,-5713.76,68693.2
"Entinostat (MS-275) | 100.0",False,False,False,5622.36,134525
"Entinostat (MS-275) | 1000.0",False,False,False,5718.47,80060.1
"Entinostat (MS-275) | 10000.0",False,False,False,7692.85,108415
"Enzastaurin (LY317615) | 10.0",False,False,False,12854.1,123178
"Enzastaurin (LY317615) | 100.0",False,False,False,637.1,41451.9
"Enzastaurin (LY317615) | 1000.0",False,False,False,81729.2,265982
"Enzastaurin (LY317615) | 10000.0",False,False,False,-7073.8,49018
"FLLL32 | 10.0",False,False,False,-9387.79,73069.1
"FLLL32 | 100.0",False,False,False,-20961.6,28018.2
"FLLL32 | 1000.0",False,False,False,-16411.7,54182.7
"FLLL32 | 10000.0",False,False,False,5573.27,72267
"Fasudil (HA-1077) HCl | 10.0",False,False,False,4513.51,63037
"Fasudil (HA-1077) HCl | 100.0",False,False,False,-3975.5,115556
"Fasudil (HA-1077) HCl | 1000.0",False,False,False,-16286.4,34863.9
"Fasudil (HA-1077) HCl | 10000.0",False,False,False,33.4146,71748.6
"Fedratinib (SAR302503, TG101348) | 10.0",False,False,False,-1132.37,78189
"Fedratinib (SAR302503, TG101348) | 100.0",False,False,False,-7063.11,69645.8
"Fedratinib (SAR302503, TG101348) | 1000.0",False,False,False,7847.81,58939.8
"Filgotinib (GLPG0634) | 10.0",False,False,False,-5184.14,73539
"Filgotinib (GLPG0634) | 100.0",False,False,False,-13551.3,49252.2
"Filgotinib (GLPG0634) | 1000.0",False,False,False,32950.4,170172
"Filgotinib (GLPG0634) | 10000.0",False,False,False,32811.7,211611
"Fluorouracil (5-Fluoracil, 5-FU) | 10.0",False,False,False,3802.74,72568.2
"Fluorouracil (5-Fluoracil, 5-FU) | 100.0",False,False,False,-4625.58,39800.9
"Fluorouracil (5-Fluoracil, 5-FU) | 1000.0",False,False,False,1974.07,105332
"Fulvestrant | 10.0",False,False,False,71989.2,560671
"Fulvestrant | 100.0",False,False,False,-20370.2,36245.4
"Fulvestrant | 1000.0",False,False,False,-16371,38649.6
"Fulvestrant | 10000.0",False,False,False,8456.64,127429
"G007-LK | 10.0",False,False,False,8112.52,46883.1
"G007-LK | 100.0",False,False,False,8782.59,169741
"G007-LK | 1000.0",False,False,False,3510.18,108561
"G007-LK | 10000.0",False,False,False,-11564.1,62190
"GSK J1 | 10.0",False,False,False,3933.79,75579.7
"GSK J1 | 100.0",False,False,False,681.314,70374.8
"GSK J1 | 1000.0",False,False,False,7632.78,88522.6
"GSK J1 | 10000.0",False,False,False,9104.01,114047
"GSK-LSD1 2HCl | 10.0",False,False,False,-2635.12,75188.4
"GSK-LSD1 2HCl | 100.0",False,False,False,-14320.6,33422.3
"GSK-LSD1 2HCl | 1000.0",False,False,False,-925.603,103897
"GSK-LSD1 2HCl | 10000.0",False,False,False,-14772.6,50571.2
"GSK1070916 | 10.0",False,False,False,18477.4,147655
"GSK1070916 | 100.0",False,False,False,35062.1,106268
"GSK1070916 | 1000.0",False,False,False,80376.1,249379
"Gandotinib (LY2784544) | 10.0",False,False,False,-11958.6,48470.3
"Gandotinib (LY2784544) | 100.0",False,False,False,7358.97,82603.5
"Gandotinib (LY2784544) | 1000.0",False,False,False,-9704.23,24877.2
"Givinostat (ITF2357) | 10.0",False,False,False,2858.1,64361.4
"Givinostat (ITF2357) | 100.0",False,False,False,10988.4,174108
"Givinostat (ITF2357) | 1000.0",False,False,False,8279.25,123768
"Givinostat (ITF2357) | 10000.0",True,False,False,-15378.9,32331.1
"Glesatinib?(MGCD265) | 10.0",False,False,False,-5189.87,67357.2
"Glesatinib?(MGCD265) | 100.0",False,False,False,12147.9,87648.8
"Glesatinib?(MGCD265) | 1000.0",False,False,False,8324.89,236155
"INO-1001 (3-Aminobenzamide) | 10.0",False,False,False,-3668.93,100425
"INO-1001 (3-Aminobenzamide) | 100.0",False,False,False,-7294.69,106469
"INO-1001 (3-Aminobenzamide) | 1000.0",False,False,False,-5982.99,88039.1
"INO-1001 (3-Aminobenzamide) | 10000.0",False,False,False,-16376.7,49459.9
