perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"(+)-JQ1 | 10.0",False,False,False,18811.4,75981.7
"(+)-JQ1 | 100.0",False,False,False,8042.16,74764.1
"(+)-JQ1 | 1000.0",True,False,False,-5417.35,31523.2
"(+)-JQ1 | 10000.0",False,False,False,-1923.74,33589.4
"2-Methoxyestradiol (2-MeOE2) | 10.0",False,False,False,5410.68,68752.3
"2-Methoxyestradiol (2-MeOE2) | 100.0",False,False,False,-7246.25,30458.3
"2-Methoxyestradiol (2-MeOE2) | 1000.0",False,False,False,9163.08,124849
"A-366 | 10.0",False,False,False,3036.97,58333.4
"A-366 | 100.0",False,False,False,9833.13,74942.4
"A-366 | 1000.0",False,False,False,12831.3,71694.5
"A-366 | 10000.0",False,False,False,4678.47,46712.1
"ABT-737 | 10.0",False,False,False,1828.66,66163
"AC480 (BMS-599626) | 10.0",False,False,False,16023.8,93199
"AC480 (BMS-599626) | 100.0",False,False,False,935.051,45419.4
"AC480 (BMS-599626) | 1000.0",False,False,False,-1947,49288.1
"AG-14361 | 10.0",False,False,False,-1455.61,37120
"AG-14361 | 100.0",False,False,False,-3535.54,32389.8
"AG-14361 | 1000.0",False,False,False,2068.27,57046.6
"AG-14361 | 10000.0",False,False,False,24890.4,151338
"AG-490 (Tyrphostin B42) | 10.0",False,False,False,-5775.89,23359.8
"AG-490 (Tyrphostin B42) | 100.0",False,False,False,-9069.48,13579.5
"AG-490 (Tyrphostin B42) | 1000.0",False,False,False,5264.03,46886.4
"AG-490 (Tyrphostin B42) | 10000.0",False,False,False,1950.29,47221.8
"AICAR (Acadesine) | 10.0",False,False,False,7893.19,87764.8
"AICAR (Acadesine) | 100.0",False,False,False,8485.83,105199
"AICAR (Acadesine) | 1000.0",False,False,False,5200.17,68942.8
"AICAR (Acadesine) | 10000.0",False,False,False,9790.23,72857.5
"AMG-900 | 10.0",False,False,False,23164.7,98293.1
"AMG-900 | 100.0",False,False,False,60080,91565.1
"AMG-900 | 10000.0",False,False,False,15447.8,90722.5
"AR-42 | 10.0",False,False,False,-3301.38,31727.6
"AR-42 | 100.0",False,False,False,1003.27,33909.8
"AR-42 | 1000.0",False,False,False,3948.46,59018
"AR-42 | 10000.0",False,False,False,-5554.76,21051.9
"AT9283 | 10.0",False,False,False,3438.47,41950.4
"AZ 960 | 10.0",False,False,False,-11228.4,11935.9
"AZ 960 | 100.0",False,False,False,-6824.29,17274.1
"AZ 960 | 1000.0",False,False,False,-2229.84,35915.8
"AZD1480 | 10.0",False,False,False,-320.412,61014.5
"AZD1480 | 100.0",False,False,False,-4470.2,25898.1
"Abexinostat (PCI-24781) | 10.0",False,False,False,6364.28,54925.6
"Abexinostat (PCI-24781) | 100.0",True,False,False,2960.13,42827.7
"Abexinostat (PCI-24781) | 1000.0",False,False,False,-768.924,46845.3
