perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Bisindolylmaleimide IX (Ro 31-8220 Mesylate) | 1000.0",True,False,False,5523.65,23853.2
"Busulfan  | 10.0",False,False,False,1697.14,32786.6
"Busulfan  | 100.0",False,False,False,2965.1,23172.3
"Busulfan  | 1000.0",False,False,False,5019.23,27844.1
"Busulfan  | 10000.0",False,False,False,781.045,7981.82
"CEP-33779 | 10.0",False,False,False,3180.69,22791.6
"CEP-33779 | 100.0",False,False,False,3655.94,17565.2
"CEP-33779 | 1000.0",False,False,False,-1430.73,18570.5
"CEP-33779 | 10000.0",False,False,False,2680.83,29558.3
"CUDC-101 | 10.0",False,False,False,4301.62,29699.3
"CUDC-101 | 100.0",True,False,False,7357.33,52931.2
"CUDC-101 | 1000.0",False,False,False,-2428.55,15631.5
"CUDC-101 | 10000.0",False,False,False,-3632.46,13338.2
"CUDC-907 | 10.0",False,False,False,-3516.42,15090.4
"CUDC-907 | 100.0",False,False,False,-1132.6,11863
"CUDC-907 | 1000.0",False,False,False,4527.95,33658.9
"CYC116 | 10.0",False,False,False,5896.12,28423.2
"CYC116 | 100.0",False,False,False,4584.15,37973
"CYC116 | 1000.0",False,False,False,-392.654,26833.8
"Capecitabine  | 10.0",False,False,False,-1672.97,16121.6
"Capecitabine  | 100.0",False,False,False,2181.1,28351.9
"Capecitabine  | 1000.0",False,False,False,2817.62,16203.8
"Capecitabine  | 10000.0",False,False,False,2751.82,22674
"Carmofur | 10.0",False,False,False,2852.44,23776
"Carmofur | 1000.0",False,False,False,2865.09,25928
"Carmofur | 10000.0",True,False,False,24723.3,69911.2
"Cediranib (AZD2171) | 10.0",False,False,False,-827.441,22237.6
"Cediranib (AZD2171) | 100.0",False,False,False,2444.45,18070
"Celecoxib | 10.0",False,False,False,3245.29,38877.7
"Celecoxib | 10000.0",False,False,False,-1548.2,15122.8
"Cerdulatinib (PRT062070, PRT2070) | 10.0",False,False,False,2957.93,17802.5
"Cerdulatinib (PRT062070, PRT2070) | 100.0",False,False,False,8422.49,62042
"Cerdulatinib (PRT062070, PRT2070) | 1000.0",False,False,False,7366.68,27286.7
"Cerdulatinib (PRT062070, PRT2070) | 10000.0",False,False,False,19782.9,94224.3
